,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Patrick Sheehan,113,10.05,408,41
1,2,2,Mark O'Meara,58,9.6,177,17
2,3,3,Scott Hoch,52,8.52,176,15
3,4,4,Brenden Pappas,111,8.46,390,33
4,5,5,Carl Pettersson,100,8.39,298,25
5,6,6,David Morland IV,73,8.33,240,20
6,7,7,Nick Price,51,8.21,134,11
7,8,8,Chris Riley,78,7.94,214,17
8,9,9,Glen Day,101,7.83,332,26
9,10,10,Rod Pampling,98,7.76,322,25
10,11,11,Bob Burns,88,7.72,285,22
11,12,12,Steve Stricker,81,7.66,261,20
12,13,13,Justin Rose,77,7.62,210,16
13,14,14,Rich Barcelo,67,7.59,237,18
14,15,15,Frank Lickliter II,89,7.57,317,24
15,16,16,Jonathan Byrd,85,7.55,265,20
16,T17,T17,Stewart Cink,103,7.41,297,22
17,T17,T17,Geoff Ogilvy,91,7.41,297,22
18,19,19,Tim Petrovic,111,7.37,339,25
19,20,20,Tom Lehman,70,7.35,245,18
20,21,21,John Daly,79,7.31,260,19
21,22,22,Fred Couples,54,7.3,178,13
22,23,23,Hidemichi Tanaka,89,7.25,331,24
23,24,24,Mark Wilson,62,7.22,263,19
24,T25,T25,Alex Cejka,76,7.14,224,16
25,T25,T25,David Toms,80,7.14,238,17
26,T25,T25,Mike Weir,75,7.14,196,14
27,28,28,Jeff Sluman,98,7.12,323,23
28,29,29,Danny Briggs,85,7.03,313,22
29,30,30,Deane Pappas,72,6.97,244,17
30,31,31,Harrison Frazar,86,6.92,289,20
31,32,32,Greg Chalmers,70,6.91,246,17
32,33,33,Brad Faxon,94,6.9,261,18
33,34,34,Daniel Chopra,108,6.89,392,27
34,35,35,Tag Ridings,53,6.86,175,12
35,36,36,Russ Cochran,61,6.83,205,14
36,37,37,Hunter Mahan,94,6.82,337,23
37,38,38,Bart Bryant,73,6.79,265,18
38,39,39,Mark Hensby,97,6.78,295,20
39,40,40,Tim Clark,84,6.77,251,17
40,41,41,Gene Sauers,83,6.73,297,20
41,42,42,Vaughn Taylor,84,6.71,283,19
42,43,43,Matt Gogel,86,6.69,269,18
43,44,44,John Huston,62,6.67,180,12
44,45,45,J.L. Lewis,106,6.61,333,22
45,46,46,Aaron Baddeley,87,6.6,303,20
46,47,47,Matt Kuchar,83,6.59,334,22
47,48,48,Kirk Triplett,88,6.58,243,16
48,49,49,Stephen Ames,97,6.55,351,23
49,50,50,John Cook,57,6.54,214,14
50,51,51,Kenny Perry,79,6.5,246,16
51,52,52,Shaun Micheel,93,6.48,324,21
52,53,53,Ted Purdy,114,6.46,418,27
53,54,54,Brian Gay,96,6.42,296,19
54,55,55,David Frost,78,6.38,329,21
55,T56,T56,Ernie Els,62,6.37,157,10
56,T56,T56,Zach Johnson,109,6.37,377,24
57,58,58,Robert Damron,92,6.33,316,20
58,T59,T59,Briny Baird,100,6.3,365,23
59,T59,T59,Corey Pavin,83,6.3,270,17
60,T59,T59,Duffy Waldorf,79,6.3,270,17
61,62,62,Chris Couch,55,6.28,191,12
62,63,63,David Gossett,57,6.25,192,12
63,64,64,Rory Sabbatini,89,6.21,306,19
64,65,65,Tiger Woods,78,6.2,242,15
65,66,66,Steve Flesch,109,6.08,329,20
66,T67,T67,Tom Carter,113,6.07,428,26
67,T67,T67,Chris DiMarco,105,6.07,280,17
68,69,69,Steve Elkington,64,6.06,231,14
69,70,70,Steve Lowery,91,6.05,281,17
70,71,71,Tom Pernice Jr.,103,6.03,365,22
71,72,72,Ben Curtis,56,6.02,166,10
72,T73,T73,Hank Kuehne,91,6.01,333,20
73,T73,T73,Hirofumi Miyase,65,6.01,233,14
74,T75,T75,Stuart Appleby,84,5.98,251,15
75,T75,T75,Bob Tway,90,5.98,251,15
76,77,77,Niclas Fasth,61,5.97,201,12
77,78,78,Jason Dufner,79,5.96,302,18
78,79,79,Cameron Beckman,99,5.93,354,21
79,80,80,Brian Bateman,84,5.9,322,19
80,81,81,Joey Sindelar,100,5.85,376,22
81,82,82,Jonathan Kaye,79,5.84,274,16
82,T83,T83,Michael Allen,87,5.83,309,18
83,T83,T83,Robert Allenby,93,5.83,326,19
84,85,85,Steve Allan,102,5.81,344,20
85,T86,T86,Pat Bates,99,5.75,400,23
86,T86,T86,Neal Lancaster,106,5.75,400,23
87,88,88,Ben Crane,92,5.74,331,19
88,89,89,Scott Hend,81,5.73,279,16
89,T90,T90,Chad Campbell,100,5.71,333,19
