,Putts_per_Round_-_Round_1_RANK THIS WEEK,Putts_per_Round_-_Round_1_RANK LAST WEEK,Putts_per_Round_-_Round_1_PLAYER NAME,Putts_per_Round_-_Round_1_AVG,Putts_per_Round_-_Round_1_TOTAL PUTTS,Putts_per_Round_-_Round_1_TOTAL ROUNDS
0,1,1,José María Olazábal,27.19,435,16
1,2,2,Mark O'Meara,27.59,469,17
2,3,3,Greg Chalmers,27.77,611,22
3,4,4,Brian Gay,27.87,864,31
4,5,5,Kirk Triplett,27.91,642,23
5,T6,T6,Carl Pettersson,27.96,755,27
6,T6,T6,Steve Stricker,27.96,727,26
7,8,8,Billy Andrade,27.97,867,31
8,9,9,Brad Faxon,28.0,728,26
9,10,10,Ben Crane,28.07,758,27
10,11,11,Mike Weir,28.1,590,21
11,12,12,Jonathan Byrd,28.12,731,26
12,13,13,Matt Gogel,28.13,675,24
13,14,14,Skip Kendall,28.14,816,29
14,15,15,Mark Hensby,28.18,789,28
15,16,16,Aaron Baddeley,28.19,733,26
16,17,17,Patrick Sheehan,28.22,903,32
17,18,18,Corey Pavin,28.23,621,22
18,19,19,Duffy Waldorf,28.26,650,23
19,20,20,Hank Kuehne,28.28,820,29
20,21,21,Jesper Parnevik,28.29,679,24
21,22,22,Todd Hamilton,28.31,736,26
22,T23,T23,Darren Clarke,28.33,425,15
23,T23,T23,Loren Roberts,28.33,595,21
24,25,25,Freddie Jacobson,28.39,653,23
25,26,26,Scott McCarron,28.42,739,26
26,T27,T27,Deane Pappas,28.43,597,21
27,T27,T27,Nick Price,28.43,398,14
28,T27,T27,Chris Riley,28.43,597,21
29,T30,T30,Shigeki Maruyama,28.44,711,25
30,T30,T30,David Peoples,28.44,711,25
31,32,32,Mark Brooks,28.47,854,30
32,33,33,Chris DiMarco,28.48,712,25
33,34,34,Len Mattiace,28.52,713,25
34,T35,T35,Zach Johnson,28.55,828,29
35,T35,T35,Dean Wilson,28.55,942,33
36,37,37,Tiger Woods,28.56,514,18
37,38,38,Mark Calcavecchia,28.57,657,23
38,39,39,Tim Petrovic,28.58,886,31
39,40,40,Robert Gamez,28.61,887,31
40,41,41,Jay Haas,28.62,601,21
41,42,42,Craig Bowden,28.63,859,30
42,43,43,Ernie Els,28.67,430,15
43,44,44,Fred Funk,28.68,803,28
44,T45,T45,Tag Ridings,28.71,488,17
45,T45,T45,Kevin Sutherland,28.71,689,24
46,T47,T47,Daniel Chopra,28.72,919,32
47,T47,T47,Richard Johnson,28.72,919,32
48,49,49,Steve Elkington,28.74,546,19
49,50,50,Brenden Pappas,28.76,949,33
50,51,51,Stewart Cink,28.77,748,26
51,52,52,Scott Verplank,28.78,662,23
52,T53,T53,José Coceres,28.79,547,19
53,T53,T53,Bernhard Langer,28.79,403,14
54,T55,T55,Kevin Na,28.8,864,30
55,T55,T55,Craig Parry,28.8,432,15
56,57,57,Joe Ogilvie,28.81,893,31
57,58,58,John Daly,28.82,634,22
58,T59,T59,Paul Azinger,28.83,663,23
59,T59,T59,Bob Burns,28.83,836,29
60,T59,T59,Esteban Toledo,28.83,1009,35
61,62,62,Bob Estes,28.86,635,22
62,T63,T63,Glen Day,28.88,924,32
63,T63,T63,Tommy Tolles,28.88,722,25
64,T65,T65,Jerry Kelly,28.89,809,28
