,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Brad Faxon,28,33.6
1,2,2,Tiger Woods,19,40.5
2,3,3,Greg Chalmers,22,50.8
3,4,4,Shigeki Maruyama,26,57.9
4,5,5,Ben Crane,27,64.6
5,6,6,Len Mattiace,25,66.2
6,7,7,Loren Roberts,22,68.9
7,8,8,Aaron Baddeley,27,73.3
8,9,9,Adam Scott,16,82.1
9,10,10,Stewart Cink,28,85.5
10,11,11,Brian Bateman,24,86.4
11,12,12,Steve Stricker,27,90.5
12,13,13,Zach Johnson,30,91.9
13,14,14,Brent Geiberger,31,93.2
14,15,15,Richard Johnson,32,94.0
15,16,16,José María Olazábal,17,96.3
16,17,17,Retief Goosen,16,103.6
17,18,18,Bo Van Pelt,30,106.8
18,19,19,Dean Wilson,33,107.3
19,20,20,Tom Byrum,25,109.4
20,21,21,Darren Clarke,16,109.5
21,T22,T22,Brian Gay,32,109.6
22,T22,T22,Stephen Leaney,24,109.6
23,24,24,Stephen Ames,27,110.8
24,25,25,Jesper Parnevik,24,111.1
25,26,26,Matt Gogel,25,113.9
26,27,27,Danny Ellis,26,118.4
27,28,28,Jerry Kelly,29,119.0
28,29,29,Geoff Ogilvy,26,120.3
29,30,30,Todd Hamilton,27,121.0
30,31,31,Steve Flesch,31,127.9
31,32,32,Mark Hensby,29,128.0
32,33,33,Tim Herron,26,132.9
33,34,34,Scott Verplank,24,134.8
34,35,35,Davis Love III,24,137.3
35,36,36,Frank Lickliter II,27,139.9
36,37,37,Dan Forsman,28,140.5
37,38,38,Freddie Jacobson,24,140.8
38,39,39,Jay Haas,23,141.3
39,40,40,Michael Allen,28,144.7
40,41,41,Kirk Triplett,24,147.9
41,T42,T42,Todd Fischer,33,148.3
42,T42,T42,Joe Ogilvie,32,148.3
43,44,44,Tim Petrovic,32,152.5
44,45,45,Harrison Frazar,25,152.8
45,46,46,Patrick Sheehan,33,153.1
46,47,47,Luke Donald,21,153.2
47,48,48,Brenden Pappas,34,154.4
48,49,49,David Peoples,26,155.2
49,T50,T50,Paul Azinger,23,155.6
50,T50,T50,Carl Pettersson,28,155.6
51,52,52,Dan Olsen,31,159.3
52,53,53,Tag Ridings,18,159.6
53,54,54,Fred Funk,29,159.7
54,55,55,Chris Riley,23,160.2
55,56,56,Hidemichi Tanaka,27,161.6
56,57,57,Daniel Chopra,33,162.6
57,58,58,Tommy Tolles,25,166.3
58,59,59,David Frost,26,166.8
59,60,60,Tom Carter,35,167.4
60,61,61,Craig Bowden,30,168.5
61,62,62,Jonathan Byrd,27,168.8
62,63,63,John Rollins,29,170.5
63,64,64,José Coceres,20,172.2
64,65,65,Hunter Mahan,30,173.5
65,66,66,Brett Quigley,31,176.3
66,67,67,Nick Price,15,177.7
67,68,68,Craig Parry,16,178.0
68,69,69,Bob Burns,30,178.3
69,70,70,Kent Jones,32,180.9
70,71,71,J.J. Henry,30,181.4
71,72,72,Mark O'Meara,17,182.3
72,73,73,Scott McCarron,27,183.4
73,74,74,Bob Estes,23,184.3
74,75,75,Tommy Armour III,28,185.1
75,76,76,Rod Pampling,26,187.8
76,77,77,Stuart Appleby,25,188.6
77,78,78,Billy Andrade,31,189.8
78,79,79,Chris DiMarco,27,190.7
79,80,80,Glen Day,33,191.3
80,81,81,Skip Kendall,29,194.4
81,82,82,Scott Simpson,18,195.0
82,83,83,John Riegger,17,199.8
83,84,84,Hank Kuehne,30,201.6
84,85,85,Arjun Atwal,30,202.5
85,86,86,J.P. Hayes,27,202.6
86,87,87,Dudley Hart,23,203.0
87,88,88,Tim Clark,26,206.3
88,89,89,Ryan Palmer,33,206.8
89,90,90,Tom Pernice Jr.,31,207.1
90,91,91,Ernie Els,16,207.8
91,92,92,Arron Oberholser,23,208.3
92,93,93,John Cook,19,211.6
93,94,94,Chad Campbell,28,211.8
94,T95,T95,K.J. Choi,24,213.3
95,T95,T95,Kevin Na,32,213.3
96,97,97,John Daly,22,213.7
97,98,98,Jay Delsing,26,215.8
98,99,99,Robert Gamez,31,216.0
99,100,100,Olin Browne,30,217.3
