,3-Putts_per_Round_RANK THIS WEEK,3-Putts_per_Round_RANK LAST WEEK,3-Putts_per_Round_PLAYER NAME,3-Putts_per_Round_ROUNDS,3-Putts_per_Round_AVG,3-Putts_per_Round_TOTAL 3 PUTTS,3-Putts_per_Round_TOTAL ROUNDS
0,1,1,Scott Hend,81,0.94,74,79
1,2,2,John Huston,62,0.91,51,56
2,3,3,David Gossett,57,0.88,50,57
3,4,4,Tommy Tolles,67,0.87,58,67
4,5,5,Roland Thatcher,66,0.85,56,66
5,6,6,D.J. Brigman,79,0.83,63,76
6,7,7,Pat Perez,102,0.82,82,100
7,8,8,Chris Smith,105,0.79,83,105
8,T9,T9,Fred Couples,54,0.77,40,52
9,T9,T9,Lee Janzen,84,0.77,63,82
10,11,11,Craig Perks,75,0.76,55,72
11,T12,T12,Niclas Fasth,61,0.75,45,60
12,T12,T12,Sergio Garcia,65,0.75,48,64
13,T12,T12,Steve Pate,71,0.75,52,69
14,T12,T12,Dicky Pride,66,0.75,47,63
15,16,16,Mike Heinen,53,0.74,39,53
16,T17,T17,Woody Austin,94,0.73,69,94
17,T17,T17,Rich Beem,81,0.73,56,77
18,T17,T17,Rocco Mediate,53,0.73,35,48
19,T20,T20,Guy Boros,64,0.72,46,64
20,T20,T20,Jonathan Kaye,79,0.72,55,76
21,T20,T20,Kevin Muncrief,50,0.72,36,50
22,23,23,David Morland IV,73,0.71,52,73
23,T24,T24,Lucas Glover,95,0.7,64,91
24,T24,T24,Billy Mayfair,109,0.7,73,105
25,T24,T24,John Senden,99,0.7,67,96
26,T27,T27,Mark Calcavecchia,79,0.69,54,78
27,T27,T27,Alex Cejka,76,0.69,48,70
28,T27,T27,Kris Cox,73,0.69,49,71
29,T27,T27,Ryan Palmer,103,0.69,69,100
30,T27,T27,Scott Simpson,55,0.69,38,55
31,T27,T27,David Toms,80,0.69,51,74
32,T33,T33,Cliff Kresge,89,0.68,59,87
33,T33,T33,Phil Mickelson,83,0.68,54,79
34,T33,T33,Andre Stolz,53,0.68,36,53
35,T33,T33,Roger Tambellini,81,0.68,53,78
36,T33,T33,Grant Waite,79,0.68,52,77
