,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,1,1,Nick Price,51,1.88,32,6.0
1,2,2,Mark O'Meara,58,1.84,38,7.0
2,3,3,Carl Pettersson,100,1.77,62,11.0
3,T4,T4,Ben Curtis,56,1.71,35,6.0
4,T4,T4,Steve Elkington,64,1.71,35,6.0
5,6,6,Justin Rose,77,1.6,50,8.0
6,7,7,Shigeki Maruyama,93,1.37,73,10.0
7,8,8,David Gossett,57,1.3,46,6.0
8,9,9,Steve Flesch,109,1.29,70,9.0
9,T10,T10,Russ Cochran,61,1.28,39,5.0
10,T10,T10,Kenny Perry,79,1.28,47,6.0
11,T12,T12,Daniel Chopra,108,1.21,91,11.0
12,T12,T12,Pat Perez,102,1.21,58,7.0
13,T12,T12,Adam Scott,55,1.21,33,4.0
14,T15,T15,Michael Allen,87,1.19,67,8.0
15,T15,T15,Esteban Toledo,92,1.19,59,7.0
16,T17,T17,Steve Lowery,91,1.11,54,6.0
17,T17,T17,Craig Parry,52,1.11,27,3.0
18,T17,T17,Tag Ridings,53,1.11,45,5.0
19,T17,T17,Gene Sauers,83,1.11,63,7.0
20,T21,T21,Rory Sabbatini,89,1.09,64,7.0
21,T21,T21,Hidemichi Tanaka,89,1.09,64,7.0
22,23,23,Danny Briggs,85,1.07,56,6.0
23,24,24,Ted Purdy,114,1.05,86,9.0
24,25,25,Joe Ogilvie,104,1.04,67,7.0
25,T26,T26,Retief Goosen,56,1.03,29,3.0
26,T26,T26,Dicky Pride,66,1.03,39,4.0
27,T26,T26,Mike Weir,75,1.03,39,4.0
28,T29,T29,Rod Pampling,98,1.02,59,6.0
29,T29,T29,Patrick Sheehan,113,1.02,98,10.0
30,T31,T31,Chad Campbell,100,1.01,79,8.0
31,T31,T31,Brenden Pappas,111,1.01,69,7.0
32,T33,T33,Brad Faxon,94,1.0,60,6.0
33,T33,T33,Shaun Micheel,93,1.0,60,6.0
34,T33,T33,Kevin Muncrief,50,1.0,30,3.0
35,T36,T36,David Morland IV,73,0.98,51,5.0
36,T36,T36,Dennis Paulson,71,0.98,51,5.0
37,T38,T38,Matt Gogel,86,0.95,63,6.0
38,T38,T38,Geoff Ogilvy,91,0.95,63,6.0
39,40,40,Tiger Woods,78,0.93,54,5.0
40,T41,T41,Jonathan Byrd,85,0.91,55,5.0
41,T41,T41,J.P. Hayes,79,0.91,44,4.0
42,T41,T41,John Huston,62,0.91,44,4.0
43,T41,T41,Davis Love III,85,0.91,44,4.0
44,T41,T41,Kirk Triplett,88,0.91,55,5.0
45,46,46,Matt Kuchar,83,0.9,67,6.0
46,47,47,Guy Boros,64,0.89,45,4.0
47,T48,T48,Steve Allan,102,0.88,80,7.0
48,T48,T48,Arron Oberholser,77,0.88,57,5.0
49,T50,T50,John Cook,57,0.87,46,4.0
50,T50,T50,David Frost,78,0.87,69,6.0
51,T50,T50,Scott Hoch,52,0.87,46,4.0
52,T53,T53,Brian Gay,96,0.86,58,5.0
53,T53,T53,Corey Pavin,83,0.86,58,5.0
54,T55,T55,Mark Hensby,97,0.85,59,5.0
55,T55,T55,Scott McCarron,88,0.85,59,5.0
56,T55,T55,David Toms,80,0.85,47,4.0
57,58,58,Tripp Isenhour,55,0.83,36,3.0
58,59,59,Scott Verplank,92,0.82,49,4.0
59,60,60,Todd Fischer,104,0.81,86,7.0
60,61,61,Chris Riley,78,0.8,50,4.0
61,T62,T62,Hank Kuehne,91,0.79,63,5.0
62,T62,T62,Grant Waite,79,0.79,76,6.0
63,T64,T64,Rich Barcelo,67,0.78,51,4.0
64,T64,T64,Bob Burns,88,0.78,51,4.0
