,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,José Coceres,68,43.58,502,1152
1,2,2,Brad Faxon,94,43.13,691,1602
2,3,3,Greg Chalmers,70,43.1,543,1260
3,4,4,Matt Gogel,86,42.99,650,1512
4,5,5,Tag Ridings,53,42.89,386,900
5,6,6,Brian Gay,96,42.79,724,1692
6,7,7,Ben Crane,92,42.75,708,1656
7,8,8,Stewart Cink,103,42.67,745,1746
8,9,9,Mark O'Meara,58,42.62,445,1044
9,10,10,Hank Kuehne,91,42.45,680,1602
10,11,11,Dean Wilson,99,42.37,755,1782
11,12,12,Darren Clarke,54,42.36,366,864
12,13,13,Nick Price,51,42.33,381,900
13,14,14,Freddie Jacobson,83,42.22,608,1440
14,15,15,Joe Ogilvie,104,42.16,774,1836
15,16,16,Carl Pettersson,100,42.15,736,1746
16,17,17,José María Olazábal,56,42.09,394,936
17,18,18,Shigeki Maruyama,93,42.03,696,1656
18,19,19,Jonathan Byrd,85,41.97,627,1494
19,20,20,Paul Azinger,75,41.93,566,1350
20,21,21,Aaron Baddeley,87,41.83,640,1530
21,22,22,Tiger Woods,78,41.74,541,1296
22,23,23,Steve Stricker,81,41.67,585,1404
23,24,24,John Rollins,90,41.63,637,1530
24,25,25,Len Mattiace,75,41.48,560,1350
25,26,26,Tommy Tolles,67,41.46,500,1206
26,27,27,Mike Weir,75,41.32,543,1314
27,28,28,Jesper Parnevik,86,41.28,639,1548
28,29,29,Adam Scott,55,41.24,386,936
29,30,30,Corey Pavin,83,41.14,585,1422
30,T31,T31,Skip Kendall,99,41.08,732,1782
31,T31,T31,Dennis Paulson,71,41.08,525,1278
32,33,33,Brenden Pappas,111,41.05,798,1944
33,34,34,Patrick Sheehan,113,40.94,818,1998
34,35,35,Mark Hensby,97,40.92,685,1674
35,36,36,Glen Day,101,40.85,728,1782
36,37,37,Kirk Triplett,88,40.81,617,1512
37,38,38,David Morland IV,73,40.79,536,1314
38,39,39,Hunter Mahan,94,40.78,690,1692
39,40,40,Geoff Ogilvy,91,40.68,637,1566
40,41,41,Richard Johnson,102,40.63,746,1836
41,T42,T42,Ernie Els,62,40.61,424,1044
42,T42,T42,Bob Estes,73,40.61,519,1278
43,44,44,Stuart Appleby,84,40.6,570,1404
44,45,45,Phil Mickelson,83,40.58,577,1422
45,46,46,Daniel Chopra,108,40.57,774,1908
46,47,47,Michael Allen,87,40.52,620,1530
47,48,48,Mark Calcavecchia,79,40.46,568,1404
48,49,49,Bob Burns,88,40.44,626,1548
49,50,50,Tom Byrum,83,40.43,604,1494
50,51,51,Loren Roberts,81,40.37,574,1422
51,52,52,Tim Clark,84,40.34,610,1512
52,53,53,Niclas Fasth,61,40.28,435,1080
53,T54,T54,Arjun Atwal,85,40.16,600,1494
54,T54,T54,Kevin Na,100,40.16,694,1728
55,56,56,Esteban Toledo,92,40.12,650,1620
56,57,57,Deane Pappas,72,40.08,505,1260
57,58,58,Rory Sabbatini,89,40.05,620,1548
58,59,59,Chris Riley,78,40.02,533,1332
59,60,60,Frank Lickliter II,89,39.99,619,1548
60,61,61,Robert Damron,92,39.98,662,1656
61,62,62,Harrison Frazar,86,39.97,590,1476
62,63,63,Rod Pampling,98,39.95,676,1692
63,64,64,Davis Love III,85,39.93,539,1350
64,65,65,Danny Ellis,81,39.9,553,1386
65,66,66,Craig Parry,52,39.89,359,900
66,67,67,Zach Johnson,109,39.88,768,1926
67,T68,T68,Billy Andrade,104,39.8,745,1872
68,T68,T68,Retief Goosen,56,39.8,394,990
