,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
129,T128,T128,Arron Oberholser,77,1.629,2140,1314
130,T128,T128,Dan Olsen,75,1.629,2140,1314
131,T128,T128,Craig Perks,75,1.629,2111,1296
132,T128,T128,Hidemichi Tanaka,89,1.629,2610,1602
133,T134,T134,Jay Delsing,76,1.63,2142,1314
134,T134,T134,Jeff Sluman,98,1.63,2846,1746
135,136,136,Tom Carter,113,1.631,3230,1980
136,T137,T137,Steve Allan,102,1.632,2908,1782
137,T137,T137,David Toms,80,1.632,2174,1332
138,T139,T139,Charles Howell III,104,1.633,2969,1818
139,T139,T139,Steve Pate,71,1.633,2028,1242
140,T141,T141,Kris Cox,73,1.6340000000000001,2088,1278
141,T141,T141,Dudley Hart,60,1.6340000000000001,1706,1044
142,T141,T141,Blaine McCallister,68,1.6340000000000001,2000,1224
143,144,144,J.J. Henry,103,1.635,3031,1854
144,T145,T145,Jason Bohn,98,1.636,2798,1710
145,T145,T145,Brian Kortan,65,1.636,1826,1116
146,T145,T145,Tom Lehman,70,1.636,1943,1188
147,T145,T145,Jeff Maggert,60,1.636,1767,1080
148,T149,T149,Pat Bates,99,1.6369999999999998,2859,1746
149,T149,T149,Steve Elkington,64,1.6369999999999998,1797,1098
150,T149,T149,Carlos Franco,99,1.6369999999999998,2918,1782
151,T152,T152,Rich Barcelo,67,1.6380000000000001,1916,1170
152,T152,T152,Shaun Micheel,93,1.6380000000000001,2683,1638
153,T152,T152,Hirofumi Miyase,65,1.6380000000000001,1857,1134
154,T152,T152,Pat Perez,102,1.6380000000000001,2948,1800
155,T156,T156,Craig Barlow,80,1.64,2302,1404
156,T156,T156,Russ Cochran,61,1.64,1801,1098
157,T156,T156,Gene Sauers,83,1.64,2391,1458
158,T159,T159,Luke Donald,72,1.641,2127,1296
159,T159,T159,Peter Lonard,68,1.641,1950,1188
160,T159,T159,Spike McRoy,93,1.641,2688,1638
161,162,162,Chad Campbell,100,1.642,2749,1674
162,163,163,Bart Bryant,73,1.643,2041,1242
163,164,164,Fred Couples,54,1.6440000000000001,1539,936
164,T165,T165,Danny Briggs,85,1.645,2398,1458
165,T165,T165,John Riegger,53,1.645,1569,954
166,167,167,Mark Wilson,62,1.646,1837,1116
167,T168,T168,Tommy Armour III,87,1.6469999999999998,2579,1566
168,T168,T168,Woody Austin,94,1.6469999999999998,2786,1692
169,T168,T168,Kent Jones,99,1.6469999999999998,2876,1746
170,T168,T168,Joey Sindelar,100,1.6469999999999998,2906,1764
171,T168,T168,Roger Tambellini,81,1.6469999999999998,2313,1404
172,T173,T173,Rich Beem,81,1.649,2286,1386
173,T173,T173,John Huston,62,1.649,1662,1008
174,T175,T175,David Branshaw,84,1.65,2435,1476
175,T175,T175,David Gossett,57,1.65,1693,1026
176,T175,T175,Tripp Isenhour,55,1.65,1574,954
177,T178,T178,Jeff Brehaut,106,1.651,3091,1872
178,T178,T178,Jonathan Kaye,79,1.651,2259,1368
179,180,180,Chris Couch,55,1.652,1635,990
180,T181,T181,Rocco Mediate,53,1.653,1428,864
181,T181,T181,Kenny Perry,79,1.653,2261,1368
182,T183,T183,D.J. Brigman,79,1.6540000000000001,2263,1368
183,T183,T183,Dicky Pride,66,1.6540000000000001,1876,1134
184,185,185,Kevin Muncrief,50,1.656,1490,900
185,T186,T186,Lucas Glover,95,1.659,2718,1638
186,T186,T186,Scott Hend,81,1.659,2359,1422
187,T186,T186,Grant Waite,79,1.659,2300,1386
188,189,189,Roland Thatcher,66,1.66,1972,1188
189,T190,T190,Robert Allenby,93,1.6640000000000001,2635,1584
190,T190,T190,John Senden,99,1.6640000000000001,2875,1728
191,192,192,Sergio Garcia,65,1.666,1919,1152
192,T193,T193,Briny Baird,100,1.6669999999999998,2910,1746
193,T193,T193,Billy Mayfair,109,1.6669999999999998,3151,1890
194,195,195,Joe Durant,85,1.675,2563,1530
195,196,196,Chris Smith,105,1.686,3186,1890
