,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
0,1,1,Adam Scott,16,59
1,T2,T2,Brad Faxon,28,58
2,T2,T2,Freddie Jacobson,24,58
3,T2,T2,Frank Lickliter II,27,58
4,T2,T2,Mark O'Meara,17,58
5,T6,T6,Darren Clarke,16,57
6,T6,T6,Steve Flesch,31,57
7,T6,T6,Brenden Pappas,34,57
8,T6,T6,Patrick Sheehan,33,57
9,T6,T6,Tiger Woods,19,57
10,T11,T11,Stephen Ames,27,56
11,T11,T11,Aaron Baddeley,27,56
12,T11,T11,Alex Cejka,24,56
13,T11,T11,Greg Chalmers,22,56
14,T11,T11,Stewart Cink,28,56
15,T11,T11,Ben Crane,27,56
16,T11,T11,Scott Hend,29,56
17,T11,T11,Zach Johnson,30,56
18,T11,T11,Richard Johnson,32,56
19,T11,T11,Hunter Mahan,30,56
20,T11,T11,Shigeki Maruyama,26,56
21,T11,T11,Shaun Micheel,27,56
22,T11,T11,David Morland IV,27,56
23,T11,T11,Geoff Ogilvy,26,56
24,T11,T11,Tim Petrovic,32,56
25,T11,T11,Carl Pettersson,28,56
26,T11,T11,Brett Quigley,31,56
27,T11,T11,Tommy Tolles,25,56
28,T11,T11,Bo Van Pelt,30,56
29,T30,T30,Stuart Appleby,25,55
30,T30,T30,Brian Bateman,24,55
31,T30,T30,Mark Calcavecchia,24,55
32,T30,T30,Daniel Chopra,33,55
33,T30,T30,Harrison Frazar,25,55
34,T30,T30,Brent Geiberger,31,55
35,T30,T30,Matt Gogel,25,55
36,T30,T30,Joe Ogilvie,32,55
37,T30,T30,Pat Perez,32,55
38,T30,T30,Ted Purdy,35,55
39,T30,T30,Tag Ridings,18,55
40,T30,T30,David Toms,24,55
41,T30,T30,Bob Tway,26,55
42,T30,T30,Mark Wilson,19,55
43,T44,T44,Rich Barcelo,26,54
44,T44,T44,Cameron Beckman,30,54
45,T44,T44,Guy Boros,24,54
46,T44,T44,Danny Briggs,28,54
47,T44,T44,D.J. Brigman,27,54
48,T44,T44,Bob Burns,30,54
49,T44,T44,Jonathan Byrd,27,54
