,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,John Cook,57,98.51,670,660
1,2,2,Hidemichi Tanaka,89,98.25,1087,1068
2,3,3,Todd Hamilton,92,98.16,977,959
3,4,4,Nick Price,51,98.15,486,477
4,5,5,John Rollins,90,97.96,979,959
5,6,6,Loren Roberts,81,97.93,919,900
6,7,7,Scott Hoch,52,97.91,622,609
7,T8,T8,Greg Chalmers,70,97.87,847,829
8,T8,T8,Bob Estes,73,97.87,703,688
9,10,10,Retief Goosen,56,97.84,555,543
10,11,11,Steve Stricker,81,97.8,909,889
11,12,12,Craig Parry,52,97.78,496,485
12,13,13,José María Olazábal,56,97.7,565,552
13,14,14,Tim Herron,84,97.68,907,886
14,T15,T15,John Daly,79,97.62,925,903
15,T15,T15,Jay Haas,84,97.62,840,820
16,17,17,J.P. Hayes,79,97.59,870,849
17,18,18,David Peoples,82,97.51,1043,1017
18,19,19,Craig Bowden,83,97.5,1000,975
19,T20,T20,J.J. Henry,103,97.49,1276,1244
20,T20,T20,Shigeki Maruyama,93,97.49,1037,1011
21,T22,T22,Ben Crane,92,97.45,1096,1068
22,T22,T22,Brad Faxon,94,97.45,903,880
23,24,24,Tiger Woods,78,97.41,735,716
24,T25,T25,Mark Hensby,97,97.39,1113,1084
25,T25,T25,Justin Leonard,90,97.39,918,894
26,T27,T27,Rod Pampling,98,97.34,1054,1026
27,T27,T27,Dean Wilson,99,97.34,1240,1207
28,29,29,Brian Gay,96,97.32,1192,1160
29,T30,T30,Harrison Frazar,86,97.31,967,941
30,T30,T30,Bo Van Pelt,107,97.31,1114,1084
31,32,32,Kevin Na,100,97.28,1176,1144
32,T33,T33,Robert Gamez,103,97.27,1246,1212
33,T33,T33,Brent Geiberger,94,97.27,1135,1104
34,35,35,Scott Verplank,92,97.26,912,887
35,T36,T36,Aaron Baddeley,87,97.24,1016,988
36,T36,T36,Zach Johnson,109,97.24,1194,1161
37,T36,T36,Kent Jones,99,97.24,1196,1163
38,T36,T36,Craig Perks,75,97.24,869,845
39,40,40,Ernie Els,62,97.21,574,558
40,41,41,Danny Ellis,81,97.2,929,903
41,42,42,Vijay Singh,112,97.19,1247,1212
42,43,43,Brian Bateman,84,97.18,992,964
43,44,44,Adam Scott,55,97.16,529,514
44,T45,T45,Olin Browne,92,97.12,1111,1079
45,T45,T45,Chad Campbell,100,97.12,1078,1047
46,T47,T47,Charles Howell III,104,97.11,1073,1042
47,T47,T47,Stephen Leaney,84,97.11,797,774
48,T49,T49,Richard Johnson,102,97.1,1207,1172
49,T49,T49,John Riegger,53,97.1,690,670
50,51,51,Brenden Pappas,111,97.09,1341,1302
51,52,52,Luke Donald,72,97.08,857,832
52,53,53,Cliff Kresge,89,97.07,1023,993
53,T54,T54,J.L. Lewis,106,97.06,1223,1187
54,T54,T54,Scott McCarron,88,97.06,1055,1024
55,T56,T56,Tom Carter,113,97.03,1347,1307
56,T56,T56,Glen Day,101,97.03,1212,1176
