,2-Putts_per_Round_RANK THIS WEEK,2-Putts_per_Round_RANK LAST WEEK,2-Putts_per_Round_PLAYER NAME,2-Putts_per_Round_ROUNDS,2-Putts_per_Round_AVG,2-Putts_per_Round_TOTAL 2 PUTTS,2-Putts_per_Round_TOTAL ROUNDS
0,1,1,Briny Baird,100,11.15,1082,97
1,2,2,John Riegger,53,10.98,582,53
2,3,3,Joe Durant,85,10.96,932,85
3,4,4,Chris Smith,105,10.91,1146,105
4,T5,T5,Luke Donald,72,10.79,777,72
5,T5,T5,Peter Lonard,68,10.79,712,66
6,T5,T5,Mark Wilson,62,10.79,669,62
7,T8,T8,Robert Allenby,93,10.75,946,88
8,T8,T8,Billy Mayfair,109,10.75,1129,105
9,T10,T10,Chad Campbell,100,10.72,997,93
10,T10,T10,Sergio Garcia,65,10.72,686,64
11,T12,T12,Kent Jones,99,10.71,1039,97
12,T12,T12,John Senden,99,10.71,1028,96
13,T12,T12,Grant Waite,79,10.71,825,77
14,15,15,Tripp Isenhour,55,10.7,567,53
15,16,16,Chris Couch,55,10.69,588,55
16,T17,T17,David Branshaw,84,10.66,874,82
17,T17,T17,John Cook,57,10.66,565,53
18,T19,T19,Bart Bryant,73,10.64,734,69
19,T19,T19,Stephen Leaney,84,10.64,798,75
20,T21,T21,Tommy Armour III,87,10.62,924,87
21,T21,T21,Kenny Perry,79,10.62,807,76
22,T23,T23,Russ Cochran,61,10.61,647,61
23,T23,T23,Hidemichi Tanaka,89,10.61,944,89
24,25,25,Joey Sindelar,100,10.6,1039,98
25,26,26,Lucas Glover,95,10.58,963,91
26,27,27,J.J. Henry,103,10.57,1089,103
27,28,28,Kevin Muncrief,50,10.56,528,50
28,T29,T29,Carlos Franco,99,10.55,1044,99
29,T29,T29,Charles Howell III,104,10.55,1066,101
30,31,31,Heath Slocum,92,10.54,949,90
31,32,32,Jeff Sluman,98,10.53,1021,97
32,T33,T33,Jeff Brehaut,106,10.51,1093,104
33,T33,T33,Olin Browne,92,10.51,925,88
34,T33,T33,Roger Tambellini,81,10.51,820,78
35,T36,T36,Tom Carter,113,10.49,1154,110
36,T36,T36,Scott Hoch,52,10.49,535,51
37,T36,T36,Jonathan Kaye,79,10.49,797,76
38,T36,T36,Arron Oberholser,77,10.49,766,73
39,T40,T40,Gene Sauers,83,10.47,848,81
40,T40,T40,Vijay Singh,112,10.47,1152,110
41,T42,T42,Pat Bates,99,10.46,1015,97
42,T42,T42,Danny Briggs,85,10.46,847,81
43,T42,T42,Steve Elkington,64,10.46,638,61
44,T42,T42,Blaine McCallister,68,10.46,711,68
45,46,46,Dan Olsen,75,10.45,763,73
46,T47,T47,Craig Barlow,80,10.44,814,78
47,T47,T47,Jason Bohn,98,10.44,992,95
48,T47,T47,Rocco Mediate,53,10.44,501,48
49,T47,T47,Hirofumi Miyase,65,10.44,658,63
50,51,51,Rich Beem,81,10.43,803,77
51,52,52,Rich Barcelo,67,10.42,677,65
52,T53,T53,Steve Allan,102,10.41,1031,99
53,T53,T53,Jay Haas,84,10.41,822,79
54,55,55,Retief Goosen,56,10.4,572,55
55,56,56,Jason Dufner,79,10.39,821,79
56,T57,T57,Fred Couples,54,10.38,540,52
57,T57,T57,Dudley Hart,60,10.38,602,58
58,T57,T57,J.L. Lewis,106,10.38,1100,106
59,T57,T57,Dicky Pride,66,10.38,654,63
60,T61,T61,Woody Austin,94,10.37,975,94
61,T61,T61,Tim Herron,84,10.37,861,83
62,T61,T61,Spike McRoy,93,10.37,944,91
63,T64,T64,Tom Lehman,70,10.36,684,66
64,T64,T64,Tom Pernice Jr.,103,10.36,1026,99
65,66,66,Bo Van Pelt,107,10.35,1076,104
66,T67,T67,Shaun Micheel,93,10.34,941,91
67,T67,T67,Vaughn Taylor,84,10.34,848,82
68,T69,T69,Brian Bateman,84,10.33,826,80
69,T69,T69,Roland Thatcher,66,10.33,682,66
70,T71,T71,K.J. Choi,83,10.32,846,82
71,T71,T71,Justin Leonard,90,10.32,877,85
72,73,73,Jay Delsing,76,10.3,752,73
73,74,74,Kris Cox,73,10.27,729,71
74,75,75,Brent Geiberger,94,10.26,934,91
75,76,76,Ted Purdy,114,10.24,1147,112
76,T77,T77,J.P. Hayes,79,10.23,767,75
77,T77,T77,Jerry Kelly,113,10.23,1115,109
78,T77,T77,Brian Kortan,65,10.23,634,62
79,T77,T77,Jeff Maggert,60,10.23,614,60
80,T77,T77,Duffy Waldorf,79,10.23,747,73
81,T82,T82,D.J. Brigman,79,10.22,777,76
82,T82,T82,Ken Duke,89,10.22,889,87
83,T82,T82,Steve Pate,71,10.22,705,69
84,85,85,Stephen Ames,97,10.21,970,95
85,T86,T86,Alex Cejka,76,10.2,714,70
86,T86,T86,Scott Verplank,92,10.2,928,91
87,T88,T88,Ben Curtis,56,10.19,530,52
88,T88,T88,Todd Fischer,104,10.19,1039,102
89,T88,T88,Todd Hamilton,92,10.19,897,88
90,T88,T88,Jay Williamson,100,10.19,999,98
91,T92,T92,Chris DiMarco,105,10.18,998,98
92,T92,T92,Mathias Grönberg,91,10.18,886,87
93,T92,T92,Bob Tway,90,10.18,865,85
94,T95,T95,Danny Ellis,81,10.17,783,77
95,T95,T95,Dan Forsman,79,10.17,783,77
96,T95,T95,Matt Kuchar,83,10.17,844,83
97,T95,T95,Andre Stolz,53,10.17,539,53
98,T99,T99,Kevin Sutherland,86,10.16,823,81
99,T99,T99,David Toms,80,10.16,752,74
100,T101,T101,Fred Funk,97,10.15,974,96
101,T101,T101,Zach Johnson,109,10.15,1086,107
102,T101,T101,Scott McCarron,88,10.15,873,86
103,T101,T101,Justin Rose,77,10.15,731,72
104,T105,T105,Mark Brooks,72,10.13,709,70
105,T105,T105,Robert Gamez,103,10.13,1043,103
106,T105,T105,Omar Uresti,85,10.13,861,85
107,108,108,Neal Lancaster,106,10.12,1042,103
108,109,109,Chris Riley,78,10.11,748,74
109,110,110,Arjun Atwal,85,10.1,838,83
110,T111,T111,Harrison Frazar,86,10.09,827,82
111,T111,T111,Tim Petrovic,111,10.09,1080,107
112,T111,T111,Loren Roberts,81,10.09,797,79
113,T114,T114,Michael Allen,87,10.08,857,85
114,T114,T114,Craig Bowden,83,10.08,837,83
115,T114,T114,John Daly,79,10.08,796,79
116,T117,T117,David Gossett,57,10.07,574,57
117,T117,T117,Steve Lowery,91,10.07,896,89
118,T117,T117,Rod Pampling,98,10.07,947,94
119,T117,T117,Brett Quigley,102,10.07,987,98
120,T121,T121,Notah Begay III,71,10.06,674,67
121,T121,T121,Scott Hend,81,10.06,795,79
122,T123,T123,Tom Byrum,83,10.05,834,83
123,T123,T123,Daniel Chopra,108,10.05,1065,106
124,T123,T123,David Frost,78,10.05,784,78
125,T126,T126,Cameron Beckman,99,10.04,964,96
126,T126,T126,Mike Heinen,53,10.04,532,53
127,T126,T126,Craig Parry,52,10.04,502,50
128,T126,T126,Pat Perez,102,10.04,1004,100
129,T126,T126,Craig Perks,75,10.04,723,72
130,131,131,Bob Estes,73,10.03,712,71
131,132,132,Guy Boros,64,10.02,641,64
132,133,133,Steve Flesch,109,10.01,1051,105
133,T134,T134,Billy Andrade,104,10.0,1040,104
134,T134,T134,Ernie Els,62,10.0,580,58
135,T134,T134,Deane Pappas,72,10.0,700,70
136,T137,T137,David Peoples,82,9.99,799,80
137,T137,T137,Kirk Triplett,88,9.99,839,84
138,T137,T137,Tiger Woods,78,9.99,719,72
139,T140,T140,Tim Clark,84,9.98,838,84
140,T140,T140,Glen Day,101,9.98,988,99
141,T142,T142,Davis Love III,85,9.97,748,75
142,T142,T142,Geoff Ogilvy,91,9.97,867,87
143,144,144,John Huston,62,9.96,558,56
144,T145,T145,Richard Johnson,102,9.95,1015,102
145,T145,T145,Bernhard Langer,59,9.95,547,55
146,T145,T145,Scott Simpson,55,9.95,547,55
147,148,148,Frank Lickliter II,89,9.94,855,86
148,T149,T149,Cliff Kresge,89,9.93,864,87
149,T149,T149,Kevin Na,100,9.93,953,96
150,151,151,Stuart Appleby,84,9.92,774,78
151,152,152,Esteban Toledo,92,9.91,892,90
152,T153,T153,Bob Burns,88,9.9,851,86
153,T153,T153,Lee Janzen,84,9.9,812,82
154,155,155,Robert Damron,92,9.89,910,92
155,156,156,Adam Scott,55,9.88,514,52
156,157,157,Ryan Palmer,103,9.87,987,100
157,T158,T158,Mark Hensby,97,9.86,917,93
158,T158,T158,Patrick Sheehan,113,9.86,1095,111
159,T160,T160,Jesper Parnevik,86,9.85,847,86
160,T160,T160,Steve Stricker,81,9.85,768,78
161,T162,T162,Niclas Fasth,61,9.83,590,60
162,T162,T162,Brenden Pappas,111,9.83,1062,108
163,T164,T164,Len Mattiace,75,9.81,736,75
164,T164,T164,José María Olazábal,56,9.81,510,52
165,166,166,Phil Mickelson,83,9.8,774,79
166,T167,T167,Paul Azinger,75,9.79,734,75
167,T167,T167,Dennis Paulson,71,9.79,695,71
168,169,169,Hunter Mahan,94,9.78,919,94
169,T170,T170,Stewart Cink,103,9.77,948,97
170,T170,T170,Rory Sabbatini,89,9.77,840,86
171,T172,T172,Aaron Baddeley,87,9.75,829,85
172,T172,T172,Shigeki Maruyama,93,9.75,897,92
173,174,174,Skip Kendall,99,9.74,964,99
174,T175,T175,Hank Kuehne,91,9.71,864,89
175,T175,T175,Mike Weir,75,9.71,709,73
176,T177,T177,Brian Gay,96,9.68,910,94
177,T177,T177,Corey Pavin,83,9.68,765,79
178,T179,T179,Mark Calcavecchia,79,9.67,754,78
179,T179,T179,Greg Chalmers,70,9.67,677,70
180,T179,T179,John Rollins,90,9.67,822,85
181,182,182,David Morland IV,73,9.66,705,73
182,183,183,Brad Faxon,94,9.65,859,89
183,T184,T184,Freddie Jacobson,83,9.64,771,80
184,T184,T184,Carl Pettersson,100,9.64,935,97
185,186,186,Ben Crane,92,9.62,885,92
186,187,187,Darren Clarke,54,9.6,461,48
187,188,188,Joe Ogilvie,104,9.56,975,102
188,189,189,Dean Wilson,99,9.54,944,99
189,T190,T190,José Coceres,68,9.53,610,64
190,T190,T190,Mark O'Meara,58,9.53,553,58
191,T192,T192,Jonathan Byrd,85,9.51,789,83
192,T192,T192,Matt Gogel,86,9.51,799,84
193,194,194,Nick Price,51,9.5,475,50
194,195,195,Tag Ridings,53,9.48,474,50
195,196,196,Tommy Tolles,67,9.42,631,67
