,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Freddie Jacobson,83,0.85,141,12.0
1,2,2,Tom Lehman,70,0.83,109,9.0
2,T3,T3,Patrick Sheehan,113,0.7,215,15.0
3,T3,T3,Mark Wilson,62,0.7,142,10.0
4,T5,T5,Peter Lonard,68,0.63,95,6.0
5,T5,T5,Rocco Mediate,53,0.63,64,4.0
6,T7,T7,José Coceres,68,0.61,114,7.0
7,T7,T7,Brenden Pappas,111,0.61,214,13.0
8,T7,T7,Justin Rose,77,0.61,99,6.0
9,T10,T10,Brian Gay,96,0.6,151,9.0
10,T10,T10,Tim Petrovic,111,0.6,182,11.0
11,12,12,Daniel Chopra,108,0.58,190,11.0
12,13,13,Ben Crane,92,0.57,194,11.0
13,T14,T14,Rich Barcelo,67,0.56,126,7.0
14,T14,T14,Greg Chalmers,70,0.56,124,7.0
15,T14,T14,Matt Kuchar,83,0.56,178,10.0
16,T14,T14,Shaun Micheel,93,0.56,179,10.0
17,T14,T14,Deane Pappas,72,0.56,124,7.0
18,T14,T14,Brett Quigley,102,0.56,215,12.0
19,T14,T14,Steve Stricker,81,0.56,142,8.0
20,21,21,Robert Damron,92,0.55,165,9.0
21,T22,T22,Bob Burns,88,0.54,147,8.0
22,T22,T22,David Morland IV,73,0.54,129,7.0
23,T24,T24,Darren Clarke,54,0.53,76,4.0
24,T24,T24,Matt Gogel,86,0.53,131,7.0
25,T26,T26,Chris DiMarco,105,0.51,158,8.0
26,T26,T26,Jonathan Kaye,79,0.51,136,7.0
27,T26,T26,Joey Sindelar,100,0.51,178,9.0
28,T29,T29,Frank Lickliter II,89,0.5,161,8.0
29,T29,T29,Chris Riley,78,0.5,100,5.0
30,T31,T31,Cameron Beckman,99,0.49,185,9.0
31,T31,T31,Charles Howell III,104,0.49,183,9.0
32,T33,T33,Glen Day,101,0.47,169,8.0
33,T33,T33,John Riegger,53,0.47,107,5.0
34,T33,T33,Gene Sauers,83,0.47,172,8.0
