,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,T1,T1,Russ Cochran,61,"2' 3""",591,1306.417
1,T1,T1,Corey Pavin,83,"2' 3""",674,1535.0829999999999
2,T3,T3,Bart Bryant,73,"2' 4""",729,1691.6670000000001
3,T3,T3,Bob Estes,73,"2' 4""",537,1232.667
4,T3,T3,Tom Lehman,70,"2' 4""",634,1496.4170000000001
5,T3,T3,Chris Riley,78,"2' 4""",554,1270.583
6,T3,T3,Steve Stricker,81,"2' 4""",676,1588.0829999999999
7,T8,T8,Jason Bohn,98,"2' 5""",963,2345.167
8,T8,T8,Mark Brooks,72,"2' 5""",602,1470.3329999999999
9,T8,T8,Olin Browne,92,"2' 5""",853,2074.167
10,T8,T8,Greg Chalmers,70,"2' 5""",645,1540.4170000000001
11,T8,T8,K.J. Choi,83,"2' 5""",679,1648.8329999999999
12,T8,T8,Stewart Cink,103,"2' 5""",788,1934.6670000000001
13,T8,T8,John Cook,57,"2' 5""",530,1261.0
14,T8,T8,Glen Day,101,"2' 5""",900,2199.833
15,T8,T8,Chris DiMarco,105,"2' 5""",794,1942.0
16,T8,T8,Brian Gay,96,"2' 5""",871,2124.417
17,T8,T8,Retief Goosen,56,"2' 5""",434,1031.417
18,T8,T8,Jay Haas,84,"2' 5""",651,1594.25
19,T8,T8,Todd Hamilton,92,"2' 5""",730,1781.75
20,T8,T8,Charles Howell III,104,"2' 5""",829,1983.8329999999999
21,T8,T8,Tripp Isenhour,55,"2' 5""",530,1279.083
22,T8,T8,Davis Love III,85,"2' 5""",619,1519.0829999999999
23,T8,T8,José María Olazábal,56,"2' 5""",428,1028.083
24,T8,T8,Loren Roberts,81,"2' 5""",709,1741.25
25,T8,T8,Joey Sindelar,100,"2' 5""",992,2410.667
26,T8,T8,Vijay Singh,112,"2' 5""",964,2360.333
27,T8,T8,Hidemichi Tanaka,89,"2' 5""",863,2054.0
28,T8,T8,Bob Tway,90,"2' 5""",677,1631.8329999999999
29,T8,T8,Jay Williamson,100,"2' 5""",971,2370.833
30,T31,T31,Steve Allan,102,"2' 6""",961,2390.5
31,T31,T31,Briny Baird,100,"2' 6""",940,2315.083
32,T31,T31,Pat Bates,99,"2' 6""",982,2419.167
33,T31,T31,Jonathan Byrd,85,"2' 6""",708,1778.0
34,T31,T31,Tom Byrum,83,"2' 6""",757,1892.4170000000001
35,T31,T31,Alex Cejka,76,"2' 6""",601,1520.4170000000001
