,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Brian Gay,96,27.96,2628,94,22
1,2,2,Greg Chalmers,70,28.0,1960,70,23
2,T3,T3,José María Olazábal,56,28.08,1460,52,22
3,T3,T3,Steve Stricker,81,28.08,2190,78,22
4,5,5,Stewart Cink,103,28.15,2731,97,22
5,T6,T6,Brad Faxon,94,28.2,2510,89,22
6,T6,T6,Nick Price,51,28.2,1410,50,23
7,8,8,Ben Crane,92,28.24,2598,92,22
8,9,9,Corey Pavin,83,28.25,2232,79,22
9,10,10,Carl Pettersson,100,28.29,2744,97,22
10,11,11,Tag Ridings,53,28.3,1415,50,22
11,12,12,Dean Wilson,99,28.31,2803,99,23
12,13,13,Matt Gogel,86,28.33,2380,84,23
13,14,14,Aaron Baddeley,87,28.36,2411,85,22
14,15,15,Joe Ogilvie,104,28.38,2895,102,23
15,T16,T16,Darren Clarke,54,28.4,1363,48,21
16,T16,T16,Hank Kuehne,91,28.4,2528,89,24
17,T18,T18,Jonathan Byrd,85,28.42,2359,83,22
18,T18,T18,José Coceres,68,28.42,1819,64,24
19,20,20,Tiger Woods,78,28.44,2048,72,21
20,21,21,Mark Hensby,97,28.45,2646,93,22
21,T22,T22,Chris Riley,78,28.47,2107,74,23
22,T22,T22,Loren Roberts,81,28.47,2249,79,23
23,T24,T24,Ernie Els,62,28.5,1653,58,22
24,T24,T24,Freddie Jacobson,83,28.5,2280,80,23
25,26,26,Len Mattiace,75,28.52,2139,75,24
26,T27,T27,Shigeki Maruyama,93,28.53,2625,92,22
27,T27,T27,Jesper Parnevik,86,28.53,2454,86,24
28,T29,T29,Bob Estes,73,28.55,2027,71,23
29,T29,T29,David Peoples,82,28.55,2284,80,22
30,T31,T31,Paul Azinger,75,28.56,2142,75,22
31,T31,T31,Bob Burns,88,28.56,2456,86,22
32,33,33,Glen Day,101,28.57,2828,99,23
33,T34,T34,Skip Kendall,99,28.58,2829,99,21
34,T34,T34,Kirk Triplett,88,28.58,2401,84,24
35,36,36,Mark O'Meara,58,28.6,1659,58,24
36,37,37,Davis Love III,85,28.61,2146,75,22
37,38,38,Brenden Pappas,111,28.62,3091,108,23
38,39,39,John Rollins,90,28.64,2434,85,23
39,T40,T40,Tom Byrum,83,28.67,2380,83,22
40,T40,T40,Patrick Sheehan,113,28.67,3182,111,23
41,T42,T42,Daniel Chopra,108,28.68,3040,106,22
42,T42,T42,Richard Johnson,102,28.68,2925,102,21
43,T44,T44,Todd Hamilton,92,28.7,2526,88,24
44,T44,T44,Dennis Paulson,71,28.7,2038,71,24
45,46,46,Geoff Ogilvy,91,28.72,2499,87,23
46,T47,T47,Harrison Frazar,86,28.73,2356,82,24
47,T47,T47,Retief Goosen,56,28.73,1580,55,23
48,T49,T49,Stuart Appleby,84,28.74,2242,78,24
49,T49,T49,Danny Ellis,81,28.74,2213,77,23
50,T49,T49,Hunter Mahan,94,28.74,2702,94,22
51,T52,T52,Kevin Na,100,28.75,2760,96,22
52,T52,T52,Mike Weir,75,28.75,2099,73,22
53,54,54,Michael Allen,87,28.76,2445,85,23
54,55,55,Scott Verplank,92,28.78,2619,91,24
55,T56,T56,Mark Calcavecchia,79,28.79,2246,78,23
56,T56,T56,Deane Pappas,72,28.79,2015,70,24
57,T58,T58,Chris DiMarco,105,28.8,2822,98,24
58,T58,T58,Todd Fischer,104,28.8,2938,102,23
