,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Tiger Woods,78,101.9,735,33,716
1,2,2,Greg Chalmers,70,101.89,847,34,829
2,3,3,Brad Faxon,94,101.77,903,39,880
3,T4,T4,Luke Donald,72,101.75,857,40,832
4,T4,T4,Hidemichi Tanaka,89,101.75,1087,38,1068
5,6,6,Adam Scott,55,101.7,529,24,514
6,7,7,John Rollins,90,101.63,979,36,959
7,8,8,Brenden Pappas,111,101.57,1341,60,1302
8,9,9,Patrick Sheehan,113,101.54,1365,64,1322
9,T10,T10,Craig Bowden,83,101.5,1000,40,975
10,T10,T10,Brent Geiberger,94,101.5,1135,48,1104
11,T12,T12,Stephen Ames,97,101.49,1077,49,1044
12,T12,T12,John Cook,57,101.49,670,20,660
13,T14,T14,Scott Hoch,52,101.45,622,22,609
14,T14,T14,Shigeki Maruyama,93,101.45,1037,41,1011
15,16,16,Nick Price,51,101.44,486,16,477
16,17,17,Hunter Mahan,94,101.35,1108,52,1071
17,18,18,Harrison Frazar,86,101.34,967,39,941
18,19,19,Loren Roberts,81,101.31,919,31,900
19,20,20,Aaron Baddeley,87,101.28,1016,41,988
20,21,21,Carl Pettersson,100,101.24,1048,50,1011
21,22,22,Rod Pampling,98,101.23,1054,41,1026
22,23,23,Bob Burns,88,101.22,1062,47,1028
23,24,24,Jesper Parnevik,86,101.11,995,41,965
24,25,25,Mark Hensby,97,101.08,1113,41,1084
25,26,26,Geoff Ogilvy,91,101.07,1028,47,992
26,27,27,David Peoples,82,101.05,1043,37,1017
27,28,28,Bernhard Langer,59,101.01,596,24,578
28,29,29,Ben Crane,92,101.0,1096,39,1068
29,30,30,Steve Stricker,81,100.99,909,29,889
30,31,31,John Daly,79,100.97,925,31,903
31,32,32,Steve Pate,71,100.95,838,36,810
32,33,33,Retief Goosen,56,100.9,555,17,543
33,34,34,Dean Wilson,99,100.89,1240,44,1207
34,35,35,Zach Johnson,109,100.84,1194,43,1161
35,36,36,Glen Day,101,100.83,1212,46,1176
36,37,37,Todd Hamilton,92,100.82,977,26,959
37,38,38,Vijay Singh,112,100.8,1247,45,1212
38,T39,T39,Brian Bateman,84,100.71,992,35,964
39,T39,T39,Bob Estes,73,100.71,703,20,688
40,41,41,Craig Perks,75,100.69,869,30,845
41,42,42,Cameron Beckman,99,100.68,1178,46,1140
42,T43,T43,Tom Carter,113,100.67,1347,49,1307
43,T43,T43,Brian Gay,96,100.67,1192,40,1160
44,45,45,Stewart Cink,103,100.66,1059,41,1025
45,46,46,Jay Williamson,100,100.64,1244,45,1207
46,47,47,Bo Van Pelt,107,100.63,1114,37,1084
47,48,48,Craig Parry,52,100.6,496,14,485
48,T49,T49,Dan Forsman,79,100.55,905,34,876
49,T49,T49,Scott Verplank,92,100.55,912,30,887
50,T51,T51,José María Olazábal,56,100.53,565,16,552
51,T51,T51,Jeff Sluman,98,100.53,1122,42,1086
52,T53,T53,Richard Johnson,102,100.5,1207,41,1172
53,T53,T53,David Toms,80,100.5,794,30,768
54,55,55,Michael Allen,87,100.48,1052,37,1020
55,56,56,Frank Lickliter II,89,100.47,1058,45,1018
56,57,57,Tim Herron,84,100.44,907,25,886
57,58,58,Ted Purdy,114,100.43,1406,57,1355
58,T59,T59,Russ Cochran,61,100.4,754,28,729
59,T59,T59,David Frost,78,100.4,1010,41,973
60,61,61,Chad Campbell,100,100.37,1078,35,1047
61,T62,T62,Ben Curtis,56,100.35,565,24,543
62,T62,T62,Ernie Els,62,100.35,574,18,558
63,T62,T62,Mark O'Meara,58,100.35,565,24,543
64,65,65,Danny Ellis,81,100.32,929,29,903
65,66,66,Tim Clark,84,100.3,985,36,952
66,67,67,John Riegger,53,100.29,690,22,670
67,68,68,Jeff Maggert,60,100.28,704,25,681
68,69,69,Olin Browne,92,100.27,1111,35,1079
69,70,70,J.J. Henry,103,100.24,1276,35,1244
70,71,71,Scott McCarron,88,100.19,1055,33,1024
71,72,72,Briny Baird,100,100.17,1144,41,1105
72,73,73,Robert Gamez,103,100.16,1246,36,1212
73,74,74,Chris Smith,105,100.15,1304,47,1259
74,T75,T75,José Coceres,68,100.12,828,29,800
75,T75,T75,Mark Wilson,62,100.12,808,33,776
76,77,77,Bart Bryant,73,100.11,924,29,896
77,78,78,Danny Briggs,85,100.1,1038,38,1001
78,T79,T79,Tommy Armour III,87,100.09,1065,34,1032
79,T79,T79,Hank Kuehne,91,100.09,1160,39,1122
80,T79,T79,Joe Ogilvie,104,100.09,1133,39,1095
81,T79,T79,Tim Petrovic,111,100.09,1175,45,1131
82,83,83,Todd Fischer,104,100.08,1267,39,1229
83,T84,T84,Billy Andrade,104,100.0,1242,39,1203
84,T84,T84,Jay Haas,84,100.0,840,20,820
85,T84,T84,J.P. Hayes,79,100.0,870,21,849
86,T84,T84,Kent Jones,99,100.0,1196,33,1163
87,T84,T84,David Morland IV,73,100.0,846,33,813
88,T84,T84,Bob Tway,90,100.0,911,39,872
89,T90,T90,J.L. Lewis,106,99.92,1223,35,1187
90,T90,T90,Brett Quigley,102,99.92,1215,49,1165
91,T92,T92,Steve Flesch,109,99.91,1114,46,1067
92,T92,T92,Charles Howell III,104,99.91,1073,30,1042
93,T92,T92,Skip Kendall,99,99.91,1061,34,1026
94,T92,T92,Matt Kuchar,83,99.91,1073,32,1040
95,T96,T96,Jay Delsing,76,99.89,879,28,850
96,T96,T96,Matt Gogel,86,99.89,941,29,911
97,T96,T96,Jonathan Kaye,79,99.89,876,31,844
98,T96,T96,Deane Pappas,72,99.89,882,31,850
99,100,100,Duffy Waldorf,79,99.88,802,28,773
100,101,101,Stephen Leaney,84,99.87,797,22,774
101,102,102,Chris Riley,78,99.86,732,26,705
102,T103,T103,Tom Byrum,83,99.79,970,33,935
103,T103,T103,Darren Clarke,54,99.79,477,16,460
104,T105,T105,Dennis Paulson,71,99.78,930,31,897
105,T105,T105,Corey Pavin,83,99.78,930,31,897
106,107,107,Kenny Perry,79,99.77,858,31,825
107,108,108,Stuart Appleby,84,99.76,827,31,794
108,T109,T109,Guy Boros,64,99.75,792,26,764
109,T109,T109,John Senden,99,99.75,1204,41,1160
110,111,111,Heath Slocum,92,99.74,1172,40,1129
111,112,112,Chris DiMarco,105,99.72,1053,34,1016
112,113,113,Justin Leonard,90,99.67,918,21,894
113,T114,T114,Rich Beem,81,99.66,873,32,838
114,T114,T114,Tag Ridings,53,99.66,584,18,564
115,116,116,Fred Funk,97,99.65,1129,35,1090
116,T117,T117,Len Mattiace,75,99.58,952,26,922
117,T117,T117,Pat Perez,102,99.58,1187,45,1137
118,119,119,Kevin Na,100,99.57,1176,27,1144
119,120,120,Arron Oberholser,77,99.54,868,30,834
120,T121,T121,Rich Barcelo,67,99.52,825,31,790
121,T121,T121,Carlos Franco,99,99.52,1252,38,1208
122,123,123,Freddie Jacobson,83,99.51,815,28,783
123,124,124,Steve Allan,102,99.45,1263,45,1211
124,125,125,Dan Olsen,75,99.43,879,29,845
125,126,126,K.J. Choi,83,99.42,857,24,828
126,T127,T127,Daniel Chopra,108,99.38,1283,39,1236
127,T127,T127,Shaun Micheel,93,99.38,972,37,929
128,129,129,Brian Kortan,65,99.37,797,19,773
129,130,130,Kirk Triplett,88,99.34,911,31,874
130,131,131,Phil Mickelson,83,99.33,741,19,717
131,132,132,Cliff Kresge,89,99.32,1023,23,993
132,133,133,Justin Rose,77,99.31,875,31,838
133,T134,T134,Joe Durant,85,99.28,1104,39,1057
134,T134,T134,Joey Sindelar,100,99.28,1245,36,1200
135,T136,T136,Tom Pernice Jr.,103,99.25,1197,31,1157
136,T136,T136,Tommy Tolles,67,99.25,804,28,770
137,138,138,Chris Couch,55,99.23,649,23,621
138,139,139,Pat Bates,99,99.2,1256,43,1203
139,140,140,Jonathan Byrd,85,99.19,993,28,957
140,141,141,Scott Hend,81,99.17,962,41,913
141,142,142,Jason Bohn,98,99.12,1249,43,1195
142,143,143,Peter Lonard,68,99.1,774,25,742
143,144,144,Jerry Kelly,113,99.08,1192,29,1152
144,145,145,Craig Barlow,80,99.07,967,27,931
145,146,146,Davis Love III,85,99.03,827,24,795
146,T147,T147,Paul Azinger,75,98.99,889,23,857
147,T147,T147,Alex Cejka,76,98.99,791,34,749
148,T147,T147,Vaughn Taylor,84,98.99,1086,32,1043
149,150,150,Tripp Isenhour,55,98.96,676,24,645
150,151,151,Jason Dufner,79,98.91,1012,29,972
151,152,152,Mike Heinen,53,98.87,706,22,676
152,153,153,Scott Simpson,55,98.85,698,24,666
153,154,154,Mike Weir,75,98.82,761,20,732
154,155,155,Kevin Muncrief,50,98.78,655,22,625
155,156,156,Esteban Toledo,92,98.75,1117,31,1072
156,157,157,Kevin Sutherland,86,98.73,943,23,908
157,T158,T158,Arjun Atwal,85,98.64,1030,26,990
158,T158,T158,Jeff Brehaut,106,98.64,1325,27,1280
159,T160,T160,David Branshaw,84,98.62,1018,24,980
160,T160,T160,Dudley Hart,60,98.62,651,19,623
161,162,162,Steve Elkington,64,98.6,786,30,745
162,T163,T163,Steve Lowery,91,98.56,1044,36,993
163,T163,T163,Rory Sabbatini,89,98.56,1041,31,995
164,165,165,Robert Allenby,93,98.54,1027,31,981
165,166,166,Mathias Grönberg,91,98.48,1053,24,1013
166,T167,T167,Woody Austin,94,98.45,1160,35,1107
167,T167,T167,Tom Lehman,70,98.45,840,30,797
168,T167,T167,Ryan Palmer,103,98.45,1224,28,1177
169,170,170,Sergio Garcia,65,98.38,740,15,713
170,171,171,Hirofumi Miyase,65,98.36,794,25,756
171,172,172,Ken Duke,89,98.35,1091,32,1041
172,173,173,Neal Lancaster,106,98.27,1327,39,1265
173,174,174,Rocco Mediate,53,98.25,513,15,489
174,175,175,Kris Cox,73,98.24,853,23,815
175,T176,T176,D.J. Brigman,79,98.21,952,30,905
176,T176,T176,Gene Sauers,83,98.21,1062,39,1004
177,T178,T178,Mark Calcavecchia,79,98.15,809,31,763
178,T178,T178,Grant Waite,79,98.15,975,24,933
179,180,180,Niclas Fasth,61,98.13,747,18,715
180,181,181,Spike McRoy,93,98.05,1076,26,1029
181,182,182,Billy Mayfair,109,98.02,1366,38,1301
182,T183,T183,Notah Begay III,71,97.95,926,24,883
183,T183,T183,David Gossett,57,97.95,731,28,688
184,T185,T185,Lucas Glover,95,97.93,1209,33,1151
185,T185,T185,Roland Thatcher,66,97.93,869,18,833
186,187,187,Robert Damron,92,97.8,1180,31,1123
187,188,188,Blaine McCallister,68,97.74,841,21,801
188,189,189,Roger Tambellini,81,97.69,997,28,946
189,190,190,Omar Uresti,85,97.53,1091,25,1039
190,191,191,Fred Couples,54,97.51,643,19,608
191,192,192,Andre Stolz,53,97.35,679,14,647
192,193,193,Dicky Pride,66,97.26,838,13,802
193,194,194,Mark Brooks,72,97.23,830,18,789
194,195,195,John Huston,62,97.01,668,23,625
195,196,196,Lee Janzen,84,96.27,992,27,928
