,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Darren Clarke,54,46.3,125,270
1,2,2,José María Olazábal,56,45.83,132,288
2,3,3,Mark O'Meara,58,45.42,139,306
3,4,4,Matt Gogel,86,45.37,196,432
4,5,5,Brad Faxon,94,44.66,209,468
5,T6,T6,Greg Chalmers,70,44.44,176,396
6,T6,T6,Kirk Triplett,88,44.44,184,414
7,8,8,Carl Pettersson,100,43.83,213,486
8,9,9,Steve Stricker,81,43.59,204,468
9,10,10,Billy Andrade,104,43.55,243,558
10,11,11,Jesper Parnevik,86,43.52,188,432
11,12,12,Hank Kuehne,91,43.49,227,522
12,13,13,Mike Weir,75,43.12,163,378
13,14,14,Skip Kendall,99,43.1,225,522
14,15,15,Brian Gay,96,43.01,240,558
15,16,16,Tiger Woods,78,42.59,138,324
16,17,17,Aaron Baddeley,87,42.52,199,468
17,18,18,Corey Pavin,83,42.42,168,396
18,19,19,Ben Crane,92,42.39,206,486
19,20,20,Freddie Jacobson,83,42.27,175,414
20,21,21,Todd Hamilton,92,42.09,197,468
21,22,22,Loren Roberts,81,42.06,159,378
22,23,23,Duffy Waldorf,79,42.03,174,414
23,24,24,Shigeki Maruyama,93,42.0,189,450
24,T25,T25,Daniel Chopra,108,41.67,240,576
25,T25,T25,Bob Estes,73,41.67,165,396
26,T25,T25,Bernhard Langer,59,41.67,105,252
27,28,28,Zach Johnson,109,41.57,217,522
28,29,29,Tommy Tolles,67,41.56,187,450
29,30,30,Mark Calcavecchia,79,41.55,172,414
30,31,31,Patrick Sheehan,113,41.49,239,576
31,32,32,Mark Hensby,97,41.47,209,504
32,33,33,David Toms,80,41.41,164,396
33,34,34,Deane Pappas,72,41.27,156,378
34,35,35,José Coceres,68,41.23,141,342
35,36,36,Joe Ogilvie,104,41.22,230,558
36,T37,T37,Chris DiMarco,105,41.11,185,450
37,T37,T37,Len Mattiace,75,41.11,185,450
38,39,39,Scott Verplank,92,41.06,170,414
39,40,40,Bob Burns,88,41.0,214,522
40,41,41,Kevin Sutherland,86,40.97,177,432
41,42,42,David Peoples,82,40.89,184,450
42,T43,T43,Stewart Cink,103,40.81,191,468
43,T43,T43,Scott McCarron,88,40.81,191,468
44,45,45,Esteban Toledo,92,40.79,257,630
45,46,46,Jonathan Byrd,85,40.6,190,468
46,47,47,Tag Ridings,53,40.52,124,306
47,T48,T48,Dennis Paulson,71,40.48,153,378
48,T48,T48,Chris Riley,78,40.48,153,378
49,50,50,Notah Begay III,71,40.4,160,396
50,T51,T51,Mark Brooks,72,40.37,218,540
51,T51,T51,Kevin Na,100,40.37,218,540
52,T51,T51,Tom Pernice Jr.,103,40.37,218,540
53,T51,T51,Brett Quigley,102,40.37,218,540
54,55,55,Tim Petrovic,111,40.32,225,558
55,56,56,Craig Bowden,83,40.19,217,540
56,57,57,David Morland IV,73,40.12,195,486
57,58,58,Richard Johnson,102,40.1,231,576
58,59,59,Steve Elkington,64,40.06,137,342
59,60,60,Cameron Beckman,99,40.04,209,522
60,61,61,Brenden Pappas,111,39.9,237,594
61,62,62,Robert Damron,92,39.88,201,504
62,63,63,Paul Azinger,75,39.86,165,414
63,64,64,Robert Gamez,103,39.78,222,558
64,65,65,Shaun Micheel,93,39.74,186,468
65,T66,T66,Fred Funk,97,39.68,200,504
66,T66,T66,Nick Price,51,39.68,100,252
67,T68,T68,Bob Tway,90,39.58,171,432
68,T68,T68,Jay Williamson,100,39.58,228,576
69,70,70,Olin Browne,92,39.46,206,522
70,71,71,Phil Mickelson,83,39.42,149,378
71,72,72,Cliff Kresge,89,39.41,227,576
72,73,73,Bart Bryant,73,39.39,156,396
73,74,74,K.J. Choi,83,39.37,163,414
74,75,75,David Frost,78,39.32,184,468
75,76,76,Adam Scott,55,39.26,106,270
76,77,77,Dean Wilson,99,39.23,233,594
77,78,78,Danny Ellis,81,39.11,176,450
78,79,79,Blaine McCallister,68,39.09,190,486
79,80,80,Steve Flesch,109,39.08,204,522
80,81,81,Ryan Palmer,103,39.06,225,576
81,T82,T82,Alex Cejka,76,38.89,154,396
82,T82,T82,Niclas Fasth,61,38.89,147,378
83,T82,T82,Jay Haas,84,38.89,147,378
84,T82,T82,Scott Simpson,55,38.89,126,324
85,86,86,Jerry Kelly,113,38.69,195,504
