,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Aaron Baddeley,87,96.55,29,28
1,2,2,Dudley Hart,60,96.3,27,26
2,T3,T3,John Daly,79,95.74,47,45
3,T3,T3,Harrison Frazar,86,95.74,47,45
4,T5,T5,Greg Chalmers,70,94.74,38,36
5,T5,T5,Matt Gogel,86,94.74,38,36
6,7,7,Kevin Na,100,94.12,51,48
7,8,8,Kenny Perry,79,93.94,33,31
8,T9,T9,Tim Herron,84,93.75,32,30
9,T9,T9,Nick Price,51,93.75,16,15
10,11,11,Steve Stricker,81,93.55,31,29
11,T12,T12,Craig Bowden,83,93.33,30,28
12,T12,T12,John Riegger,53,93.33,30,28
13,14,14,Mark Hensby,97,92.11,38,35
14,15,15,Ben Crane,92,92.0,50,46
15,T16,T16,Jesper Parnevik,86,91.89,37,34
16,T16,T16,Hidemichi Tanaka,89,91.89,37,34
17,18,18,Shigeki Maruyama,93,91.67,48,44
18,19,19,Loren Roberts,81,91.3,46,42
19,20,20,Jeff Maggert,60,91.18,34,31
20,T21,T21,Scott McCarron,88,91.11,45,41
21,T21,T21,Dean Wilson,99,91.11,45,41
22,23,23,Robert Gamez,103,91.07,56,51
23,T24,T24,Darren Clarke,54,90.91,22,20
24,T24,T24,Patrick Sheehan,113,90.91,44,40
25,T26,T26,K.J. Choi,83,90.48,21,19
26,T26,T26,Retief Goosen,56,90.48,21,19
27,28,28,J.L. Lewis,106,90.38,52,47
28,29,29,Chris Smith,105,90.32,62,56
29,30,30,Scott Hend,81,90.24,41,37
30,T31,T31,Bob Burns,88,90.0,40,36
31,T31,T31,John Cook,57,90.0,20,18
32,T31,T31,Ben Curtis,56,90.0,20,18
33,T31,T31,Craig Parry,52,90.0,20,18
34,T35,T35,D.J. Brigman,79,89.47,38,34
35,T35,T35,Bernhard Langer,59,89.47,19,17
36,T35,T35,Mark O'Meara,58,89.47,19,17
37,38,38,Charles Howell III,104,89.36,47,42
38,39,39,Craig Perks,75,89.29,28,25
39,40,40,Brad Faxon,94,89.19,37,33
40,T41,T41,Cameron Beckman,99,89.13,46,41
41,T41,T41,Jonathan Byrd,85,89.13,46,41
42,T43,T43,Paul Azinger,75,88.89,36,32
43,T43,T43,Chris Couch,55,88.89,18,16
44,T43,T43,Dicky Pride,66,88.89,27,24
45,T43,T43,Heath Slocum,92,88.89,36,32
46,T47,T47,Ernie Els,62,88.57,35,31
47,T47,T47,Brent Geiberger,94,88.57,35,31
48,49,49,Hunter Mahan,94,88.37,43,38
49,T50,T50,Phil Mickelson,83,88.24,34,30
50,T50,T50,David Morland IV,73,88.24,34,30
51,52,52,Steve Allan,102,88.14,59,52
52,T53,T53,Rich Beem,81,87.88,33,29
53,T53,T53,Tom Lehman,70,87.88,33,29
54,T55,T55,Craig Barlow,80,87.5,40,35
55,T55,T55,Notah Begay III,71,87.5,48,42
56,T55,T55,Peter Lonard,68,87.5,32,28
57,T55,T55,John Rollins,90,87.5,48,42
58,T55,T55,Scott Simpson,55,87.5,16,14
