,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Daniel Summerhays,51,27.82,1252,45,22
1,T2,T2,Peter Malnati,87,28.07,2330,83,22
2,T2,T2,Kevin Na,91,28.07,2414,86,22
3,4,4,Wesley Bryan,69,28.1,1883,67,23
4,5,5,Phil Mickelson,90,28.11,2446,87,22
5,6,6,Dominic Bozzelli,65,28.18,1832,65,23
6,7,7,Jason Day,75,28.24,1920,68,22
7,T8,T8,Ricky Barnes,65,28.25,1667,59,22
8,T8,T8,Brian Gay,103,28.25,2853,101,23
9,10,10,Greg Chalmers,56,28.31,1472,52,21
10,T11,T11,Patrick Reed,94,28.33,2436,86,24
11,T11,T11,Justin Thomas,91,28.33,2323,82,23
12,13,13,Jimmy Walker,81,28.34,2182,77,23
13,14,14,Cameron Smith,85,28.36,2212,78,22
14,15,15,Ollie Schniederjans,91,28.44,2474,87,23
15,T16,T16,Tom Hoge,101,28.45,2646,93,23
16,T16,T16,"Ted Potter, Jr.",87,28.45,2475,87,23
17,T18,T18,Derek Fathauer,84,28.46,2277,80,23
18,T18,T18,Rory McIlroy,64,28.46,1736,61,23
19,T20,T20,Dustin Johnson,77,28.47,2107,74,23
20,T20,T20,Webb Simpson,95,28.47,2619,92,22
21,22,22,Tiger Woods,68,28.49,1937,68,23
22,23,23,David Lingmerth,82,28.5,2223,78,22
23,T24,T24,Alex Cejka,77,28.52,1968,69,24
24,T24,T24,Martin Piller,79,28.52,2196,77,22
25,26,26,Michael Kim,74,28.54,1998,70,23
26,27,27,Danny Lee,88,28.56,2456,86,24
27,T28,T28,Bud Cauley,55,28.58,1515,53,22
28,T28,T28,Ben Martin,64,28.58,1829,64,21
29,30,30,Zach Johnson,94,28.62,2490,87,24
30,T31,T31,Jonathan Randolph,71,28.63,1861,65,23
31,T31,T31,Brandt Snedeker,84,28.63,2348,82,22
32,33,33,Jamie Lovemark,92,28.64,2520,88,23
33,34,34,Johnson Wagner,75,28.65,1977,69,20
34,35,35,Justin Rose,70,28.67,1892,66,23
