,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Louis Oosthuizen,62,66.15,195,129
1,2,2,Nate Lashley,51,65.28,144,94
2,3,3,Johnson Wagner,75,64.98,217,141
3,4,4,Ben Crane,65,64.36,202,130
4,5,5,Kevin Kisner,89,64.34,244,157
5,6,6,Paul Casey,74,64.32,199,128
6,7,7,Justin Rose,70,63.76,229,146
7,8,8,Webb Simpson,95,63.52,318,202
8,9,9,Hunter Mahan,67,63.44,186,118
9,10,10,Denny McCarthy,71,62.37,194,121
10,11,11,Kiradech Aphibarnrat,51,62.34,154,96
11,12,12,Bud Cauley,55,62.26,159,99
12,13,13,Austin Cook,107,62.18,386,240
13,14,14,Alex Noren,67,61.98,192,119
14,15,15,Patrick Rodgers,97,61.44,306,188
15,16,16,Jason Day,75,61.27,204,125
16,17,17,Beau Hossler,104,60.9,376,229
17,18,18,Peter Malnati,87,60.87,322,196
18,19,19,Kevin Na,91,60.49,286,173
19,20,20,Graeme McDowell,67,60.43,187,113
20,21,21,Cody Gribble,71,60.27,219,132
21,22,22,Nicholas Lindheim,77,60.18,221,133
22,23,23,Branden Grace,67,60.1,193,116
23,24,24,Seamus Power,86,60.0,275,165
24,T25,T25,Derek Fathauer,84,59.93,282,169
25,T25,T25,Sung Kang,89,59.93,307,184
26,27,27,Ollie Schniederjans,91,59.8,306,183
27,28,28,Justin Thomas,91,59.78,271,162
28,29,29,Michael Thompson,62,59.7,201,120
29,30,30,Fabián Gómez,88,59.43,281,167
30,31,31,Talor Gooch,78,59.39,261,155
31,32,32,Zach Johnson,94,59.34,273,162
32,33,33,Tyrrell Hatton,58,59.3,172,102
33,34,34,Whee Kim,93,59.05,337,199
34,35,35,Emiliano Grillo,94,59.02,327,193
35,36,36,Daniel Berger,81,58.91,258,152
36,T37,T37,Greg Chalmers,56,58.9,163,96
37,T37,T37,Danny Lee,88,58.9,292,172
38,39,39,Tyrone Van Aswegen,101,58.88,338,199
39,40,40,Brooks Koepka,64,58.82,255,150
40,41,41,Bubba Watson,90,58.7,293,172
41,42,42,Trey Mullinax,75,58.58,239,140
42,43,43,Bryson DeChambeau,93,58.54,316,185
43,44,44,Chez Reavie,93,58.51,241,141
44,45,45,Dominic Bozzelli,65,58.5,253,148
45,46,46,Nick Watney,94,58.44,320,187
46,47,47,Brett Stegmaier,67,58.33,168,98
47,48,48,Cameron Smith,85,58.23,249,145
48,49,49,Ricky Barnes,65,58.19,177,103
49,50,50,Matt Kuchar,88,58.18,275,160
50,51,51,Jon Rahm,71,58.17,208,121
51,52,52,Alex Cejka,77,58.15,227,132
52,53,53,Hideki Matsuyama,75,58.06,248,144
53,54,54,Ian Poulter,73,58.0,200,116
54,55,55,John Huh,94,57.87,394,228
55,56,56,Marc Leishman,93,57.84,306,177
56,57,57,Billy Horschel,86,57.83,313,181
57,58,58,Wesley Bryan,69,57.8,218,126
58,59,59,Patrick Reed,94,57.74,265,153
59,60,60,Bronson Burgoon,69,57.72,246,142
60,61,61,Rory McIlroy,64,57.62,210,121
61,T62,T62,Brian Gay,103,57.61,394,227
62,T62,T62,Chris Kirk,108,57.61,394,227
63,64,64,Brian Stuard,103,57.6,342,197
64,65,65,Jonathan Randolph,71,57.52,266,153
65,66,66,J.B. Holmes,77,57.42,310,178
66,67,67,Sean O'Hair,67,57.41,263,151
67,68,68,Richy Werenski,98,57.28,309,177
68,69,69,Phil Mickelson,90,57.26,351,201
69,70,70,Adam Schenk,86,57.19,278,159
70,71,71,"Ted Potter, Jr.",87,57.18,348,199
71,72,72,Shawn Stefani,76,57.14,238,136
72,73,73,William McGirt,84,57.09,275,157
73,74,74,Sam Ryder,82,57.04,277,158
74,75,75,Martin Laird,73,57.03,256,146
75,76,76,Andrew Landry,82,57.01,314,179
76,T77,T77,Rickie Fowler,74,56.9,239,136
77,T77,T77,Michael Kim,74,56.9,232,132
78,79,79,Tommy Fleetwood,73,56.82,220,125
79,80,80,Blayne Barber,69,56.7,261,148
80,81,81,J.T. Poston,73,56.68,217,123
81,82,82,Martin Piller,79,56.67,300,170
82,83,83,Scott Brown,102,56.64,339,192
83,T84,T84,Chris Stroud,81,56.63,249,141
84,T84,T84,Daniel Summerhays,51,56.63,166,94
85,86,86,Chesson Hadley,103,56.6,371,210
86,87,87,David Hearn,66,56.52,207,117
87,88,88,Roberto Díaz,72,56.47,255,144
88,89,89,James Hahn,85,56.4,289,163
89,90,90,Nick Taylor,94,56.36,291,164
90,91,91,Scott Stallings,96,56.32,348,196
91,92,92,Robert Garrigus,80,56.23,297,167
92,93,93,David Lingmerth,82,56.21,306,172
93,94,94,Jordan Spieth,81,56.16,276,155
94,95,95,Aaron Wise,90,56.08,337,189
95,96,96,Lanto Griffin,80,56.04,273,153
96,97,97,Abraham Ancer,98,56.0,350,196
97,98,98,Kelly Kraft,94,55.99,334,187
98,99,99,Pat Perez,82,55.91,220,123
99,100,100,Xander Schauffele,96,55.84,317,177
100,T101,T101,Aaron Baddeley,84,55.81,267,149
101,T101,T101,Jhonattan Vegas,92,55.81,267,149
102,103,103,Jonathan Byrd,70,55.79,190,106
103,104,104,Anirban Lahiri,82,55.7,298,166
104,105,105,Ethan Tracy,72,55.65,230,128
105,106,106,D.A. Points,63,55.61,205,114
106,107,107,Patton Kizzire,92,55.56,324,180
107,108,108,Kyle Stanley,93,55.51,263,146
108,109,109,Brandon Harkins,101,55.46,366,203
109,110,110,Scott Piercy,84,55.43,276,153
110,111,111,C.T. Pan,104,55.42,332,184
111,T112,T112,Brandt Snedeker,84,55.41,314,174
112,T112,T112,Jimmy Walker,81,55.41,296,164
113,114,114,Gary Woodland,96,55.36,280,155
114,115,115,Zac Blair,64,55.32,188,104
115,116,116,Tiger Woods,68,55.28,246,136
116,117,117,Si Woo Kim,108,55.22,335,185
117,118,118,Sam Saunders,80,55.21,288,159
118,119,119,Dustin Johnson,77,55.13,263,145
119,120,120,Andrew Putnam,97,55.06,316,174
120,121,121,Ryan Armour,109,55.01,389,214
121,T122,T122,Charley Hoffman,87,55.0,280,154
122,T122,T122,Tom Hoge,101,55.0,360,198
123,124,124,Tony Finau,105,54.95,333,183
124,125,125,Satoshi Kodaira,51,54.92,193,106
125,126,126,Ryan Blaum,81,54.87,308,169
126,127,127,Joel Dahmen,93,54.86,288,158
127,128,128,Rory Sabbatini,91,54.76,347,190
128,129,129,Jonas Blixt,67,54.7,181,99
129,130,130,Zecheng Dou,53,54.66,161,88
130,131,131,Brian Harman,94,54.52,299,163
131,132,132,Brice Garnett,99,54.43,327,178
132,133,133,Adam Scott,78,54.39,239,130
133,134,134,Rafa Cabrera Bello,75,54.35,184,100
134,135,135,Kevin Tway,110,54.18,371,201
135,136,136,Matt Atkins,56,54.1,183,99
136,T137,T137,Jamie Lovemark,92,54.09,342,185
137,T137,T137,Kyle Thompson,50,54.09,159,86
138,139,139,Chad Campbell,87,54.05,296,160
139,140,140,Billy Hurley III,70,53.94,241,130
140,141,141,Peter Uihlein,83,53.87,271,146
141,142,142,Russell Knox,94,53.79,290,156
142,143,143,Vaughn Taylor,83,53.72,296,159
143,144,144,Jason Kokrak,99,53.65,315,169
144,145,145,Harris English,84,53.54,297,159
145,146,146,Lucas Glover,65,53.46,159,85
146,147,147,Jason Dufner,71,53.25,246,131
147,148,148,Russell Henley,77,53.02,232,123
148,149,149,Harold Varner III,91,53.0,317,168
149,150,150,Ben Martin,64,52.99,251,133
150,151,151,Patrick Cantlay,87,52.82,248,131
151,152,152,Hudson Swafford,73,52.68,224,118
152,T153,T153,Stewart Cink,87,52.67,262,138
153,T153,T153,Robert Streb,78,52.67,243,128
154,155,155,Charles Howell III,104,52.6,327,172
155,156,156,Jim Furyk,50,52.51,179,94
156,157,157,Steve Wheatcroft,60,52.27,176,92
157,158,158,Corey Conners,97,52.11,332,173
158,159,159,Charl Schwartzel,65,52.02,173,90
159,160,160,Stephan Jaeger,81,51.92,260,135
160,161,161,Byeong Hun An,86,51.91,341,177
161,162,162,Rob Oppenheim,74,51.82,220,114
162,163,163,Keith Mitchell,99,51.75,371,192
163,164,164,Kevin Streelman,94,51.72,319,165
164,165,165,Cameron Percy,56,51.7,176,91
165,166,166,Tom Lovelady,87,51.69,296,153
166,167,167,Luke List,98,51.66,302,156
167,168,168,Bill Haas,76,51.56,256,132
168,169,169,Ben Silverman,90,51.54,324,167
169,170,170,Matt Jones,70,51.37,183,94
170,171,171,Mackenzie Hughes,80,51.32,304,156
171,172,172,Tyler Duncan,97,51.14,352,180
172,173,173,Ryan Moore,78,51.13,266,136
173,174,174,Martin Flores,92,51.03,290,148
174,175,175,Conrad Shindler,60,50.85,177,90
175,176,176,J.J. Spaun,85,50.68,294,149
176,177,177,Francesco Molinari,73,50.67,223,113
177,178,178,Cameron Tringale,67,50.47,214,108
178,179,179,Keegan Bradley,98,50.33,304,153
179,180,180,Troy Merritt,89,50.0,308,154
180,181,181,Henrik Stenson,60,49.71,173,86
181,182,182,Kevin Chappell,77,49.62,260,129
182,183,183,Shane Lowry,64,49.56,228,113
183,184,184,Xinjun Zhang,81,49.17,242,119
184,185,185,Brendan Steele,74,49.01,253,124
185,186,186,Grayson Murray,72,48.91,276,135
186,187,187,J.J. Henry,81,48.35,242,117
187,188,188,Matt Every,79,48.29,263,127
188,189,189,Adam Hadwin,92,48.22,253,122
189,190,190,Andrew Yun,51,47.88,165,79
190,191,191,Ryan Palmer,69,47.66,256,122
191,192,192,Retief Goosen,60,46.67,165,77
192,193,193,Rod Pampling,62,46.27,201,93
