,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Austin Cook,107,"84' 3""",84.25,1
1,2,2,"Ted Potter, Jr.",87,"84' 0""",84.0,1
2,3,3,Jordan Spieth,81,"81' 11""",81.917,1
3,4,4,Paul Casey,74,"76' 10""",76.833,1
4,5,5,Nicholas Lindheim,77,"74' 8""",74.667,1
5,6,6,Ollie Schniederjans,91,"73' 9""",73.75,1
6,7,7,Ryan Blaum,81,"72' 9""",218.333,3
7,8,8,Byeong Hun An,86,"69' 7""",139.083,2
8,9,9,Rob Oppenheim,74,"69' 3""",138.5,2
9,10,10,Ryan Moore,78,"68' 3""",68.25,1
10,11,11,Grayson Murray,72,"67' 0""",67.0,1
11,12,12,Brian Harman,94,"65' 6""",65.5,1
12,13,13,Brice Garnett,99,"65' 1""",65.083,1
13,14,14,Roberto Díaz,72,"64' 11""",64.917,1
14,15,15,Brian Stuard,103,"64' 9""",64.75,1
15,16,16,Lucas Glover,65,"63' 10""",63.833,1
16,17,17,Ben Crane,65,"60' 7""",60.583,1
17,18,18,Jonathan Byrd,70,"59' 11""",59.917,1
18,19,19,Kyle Stanley,93,"59' 9""",119.417,2
19,20,20,Kevin Kisner,89,"56' 7""",56.583,1
20,21,21,Danny Lee,88,"56' 6""",56.5,1
21,22,22,Tommy Fleetwood,73,"54' 11""",54.917,1
22,23,23,James Hahn,85,"50' 10""",50.833,1
23,24,24,Harris English,84,"48' 11""",48.917,1
24,25,25,Rickie Fowler,74,"46' 2""",92.25,2
25,26,26,Justin Thomas,91,"45' 4""",136.083,3
26,27,27,Derek Fathauer,84,"43' 10""",43.833,1
27,28,28,Xinjun Zhang,81,"43' 8""",43.667,1
28,29,29,Seamus Power,86,"43' 7""",43.583,1
29,30,30,Jon Rahm,71,"42' 5""",42.417,1
30,31,31,Ian Poulter,73,"42' 2""",42.167,1
31,32,32,Tiger Woods,68,"40' 9""",40.75,1
32,33,33,Dominic Bozzelli,65,"40' 4""",80.583,2
33,34,34,Scott Stallings,96,"40' 0""",80.0,2
34,35,35,C.T. Pan,104,"39' 3""",39.25,1
35,36,36,Jason Kokrak,99,"39' 1""",39.083,1
36,37,37,J.J. Henry,81,"38' 3""",38.25,1
37,38,38,Peter Uihlein,83,"37' 10""",37.833,1
38,39,39,Conrad Shindler,60,"37' 0""",37.0,1
39,40,40,Jason Dufner,71,"36' 4""",72.667,2
40,41,41,Sean O'Hair,67,"36' 1""",72.083,2
41,42,42,Ben Martin,64,"34' 3""",34.25,1
42,43,43,Mackenzie Hughes,80,"34' 0""",34.0,1
43,44,44,Keegan Bradley,98,"33' 2""",66.25,2
44,45,45,Scott Piercy,84,"33' 1""",33.083,1
45,46,46,Michael Thompson,62,"32' 2""",32.167,1
46,47,47,J.T. Poston,73,"30' 10""",30.833000000000002,1
47,48,48,Jimmy Walker,81,"30' 3""",30.25,1
48,49,49,Andrew Putnam,97,"30' 0""",30.0,1
49,50,50,Kevin Streelman,94,"29' 3""",29.25,1
50,51,51,Patton Kizzire,92,"28' 10""",28.833000000000002,1
51,52,52,Marc Leishman,93,"26' 8""",26.666999999999998,1
52,53,53,Steve Wheatcroft,60,"26' 6""",26.5,1
53,54,54,Chris Kirk,108,"26' 5""",26.416999999999998,1
54,55,55,Rod Pampling,62,"24' 8""",24.666999999999998,1
55,56,56,Russell Henley,77,"24' 0""",48.0,2
56,57,57,Lanto Griffin,80,"23' 5""",23.416999999999998,1
57,58,58,J.B. Holmes,77,"22' 5""",22.416999999999998,1
58,59,59,Chad Campbell,87,"21' 8""",21.666999999999998,1
59,60,60,Xander Schauffele,96,"21' 5""",21.416999999999998,1
60,61,61,Nate Lashley,51,"21' 3""",42.5,2
61,62,62,Phil Mickelson,90,"21' 1""",42.167,2
62,63,63,Jonathan Randolph,71,"20' 3""",40.5,2
63,64,64,Brandon Harkins,101,"20' 1""",20.083,1
64,65,65,Hideki Matsuyama,75,"15' 1""",30.083000000000002,2
65,66,66,Sung Kang,89,"14' 10""",14.833,1
66,67,67,Stewart Cink,87,"13' 3""",13.25,1
67,68,68,Rory Sabbatini,91,"11' 8""",35.0,3
68,69,69,Cameron Tringale,67,"10' 8""",21.333000000000002,2
69,70,70,John Huh,94,"8' 3""",8.25,1
70,71,71,Shane Lowry,64,"5' 8""",5.667000000000001,1
71,T72,T72,Matt Jones,70,"5' 1""",5.083,1
72,T72,T72,Vaughn Taylor,83,"5' 1""",5.083,1
73,74,74,Matt Kuchar,88,"4' 5""",4.417,1
74,75,75,Kevin Na,91,"3' 6""",3.5,1
