,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Greg Chalmers,20,41.2
1,2,2,Jason Day,20,46.2
2,3,3,Peter Malnati,28,66.6
3,4,4,Daniel Summerhays,19,74.3
4,5,5,Johnson Wagner,21,79.0
5,6,6,Webb Simpson,26,81.4
6,7,7,Denny McCarthy,22,85.3
7,8,8,Alex Noren,18,89.2
8,9,9,Kevin Kisner,25,99.3
9,10,10,Wesley Bryan,23,106.4
10,11,11,Phil Mickelson,24,107.5
11,12,12,Ian Poulter,20,107.6
12,13,13,Billy Horschel,27,108.1
13,14,14,Whee Kim,30,109.1
14,15,15,Emiliano Grillo,25,110.0
15,16,16,Beau Hossler,28,110.2
16,17,17,Seamus Power,28,110.8
17,18,18,Michael Thompson,19,112.3
18,19,19,Patrick Rodgers,30,112.7
19,20,20,Rickie Fowler,20,114.6
20,T21,T21,Austin Cook,29,120.3
21,T21,T21,Chez Reavie,28,120.3
22,23,23,Nick Watney,26,121.3
23,24,24,Graeme McDowell,20,125.2
24,25,25,Brandt Snedeker,25,127.7
25,26,26,Brian Gay,30,128.2
26,27,27,Chesson Hadley,30,132.6
27,28,28,Danny Lee,30,133.8
28,29,29,Hunter Mahan,21,143.7
29,30,30,Anirban Lahiri,24,146.7
30,31,31,Brian Stuard,32,148.3
31,32,32,D.A. Points,25,149.2
32,33,33,Brett Stegmaier,21,149.3
33,34,34,John Huh,29,150.3
34,35,35,Matt Kuchar,24,150.4
35,36,36,Ollie Schniederjans,27,151.3
36,37,37,Russell Henley,23,152.1
37,38,38,Ben Crane,21,152.5
38,39,39,Sam Saunders,26,153.8
39,40,40,Adam Schenk,28,154.3
40,41,41,Paul Casey,20,155.1
41,42,42,Kevin Na,26,155.2
42,43,43,Tiger Woods,18,157.6
43,44,44,David Lingmerth,26,158.3
44,45,45,William McGirt,26,158.4
45,46,46,Zac Blair,20,159.3
46,47,47,Justin Thomas,23,159.4
47,48,48,Ricky Barnes,22,162.3
48,49,49,Justin Rose,18,163.0
49,50,50,Tyrrell Hatton,16,163.3
50,51,51,Jim Furyk,15,163.5
51,52,52,Ben Silverman,28,164.6
52,53,53,Jonas Blixt,23,165.0
53,54,54,Aaron Wise,29,165.3
54,55,55,Andrew Landry,27,165.9
55,56,56,Zach Johnson,25,167.0
56,57,57,Tommy Fleetwood,19,167.5
57,58,58,Trey Mullinax,24,168.7
58,T59,T59,Michael Kim,27,169.2
59,T59,T59,Nicholas Lindheim,26,169.2
60,61,61,Bud Cauley,17,169.6
61,62,62,"Ted Potter, Jr.",28,170.1
62,63,63,Kelly Kraft,31,172.2
63,64,64,Daniel Berger,23,173.4
64,65,65,Charles Howell III,28,175.2
