,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Ethan Tracy,72,"40' 10""",122.583,3,70,21
1,2,2,Kyle Stanley,93,"39' 4""",157.333,4,62,10
2,3,3,Cameron Tringale,67,"34' 10""",69.583,2,44,26
3,4,4,Sam Saunders,80,"34' 4""",103.083,3,39,27
4,5,5,Martin Laird,73,"33' 11""",101.75,3,83,2
5,T6,T6,Chad Campbell,87,"29' 11""",179.25,6,42,16
6,T6,T6,Martin Flores,92,"29' 11""",59.833,2,56,4
7,8,8,Harold Varner III,91,"29' 4""",176.167,6,59,10
8,9,9,Chris Kirk,108,"28' 11""",144.417,5,63,13
9,10,10,Brian Stuard,103,"28' 5""",56.75,2,33,24
10,11,11,Andrew Yun,51,"28' 4""",28.333000000000002,1,28,28
11,12,12,Jim Furyk,50,"28' 3""",28.25,1,28,28
12,13,13,Francesco Molinari,73,"27' 0""",135.083,5,49,6
13,14,14,Cameron Percy,56,"26' 7""",133.0,5,39,13
14,15,15,Stephan Jaeger,81,"25' 11""",103.5,4,75,4
15,16,16,David Hearn,66,"25' 10""",103.167,4,41,10
16,17,17,Harris English,84,"25' 8""",128.5,5,63,"7"""
17,18,18,Scott Brown,102,"25' 6""",76.583,3,63,6
18,19,19,Jonathan Randolph,71,"25' 5""",50.833,2,32,19
19,20,20,Aaron Baddeley,84,"25' 3""",100.917,4,55,4
20,T21,T21,Rickie Fowler,74,"24' 10""",124.25,5,76,2
21,T21,T21,Adam Scott,78,"24' 10""",124.333,5,77,3
22,23,23,Brooks Koepka,64,"24' 9""",123.75,5,29,20
23,24,24,Nick Watney,94,"24' 8""",98.583,4,38,16
24,25,25,Satoshi Kodaira,51,"24' 7""",73.833,3,38,5
25,26,26,Zach Johnson,94,"24' 5""",97.667,4,45,12
26,27,27,Kevin Kisner,89,"24' 0""",120.167,5,61,6
27,28,28,Kevin Chappell,77,"23' 7""",94.25,4,43,5
28,29,29,Ryan Armour,109,"23' 5""",117.25,5,76,3
29,T30,T30,Billy Hurley III,70,"22' 10""",91.333,4,33,6
30,T30,T30,Richy Werenski,98,"22' 10""",182.667,8,76,3
31,32,32,William McGirt,84,"21' 10""",43.583,2,37,7
32,33,33,Brandt Snedeker,84,"21' 7""",129.583,6,31,10
33,34,34,Ryan Palmer,69,"21' 6""",107.583,5,45,5
34,35,35,Brandon Harkins,101,"21' 2""",211.5,10,72,3
35,36,36,Jason Dufner,71,"20' 8""",20.666999999999998,1,21,21
36,37,37,Andrew Landry,82,"20' 7""",61.833,3,40,9
37,T38,T38,Stewart Cink,87,"20' 1""",140.5,7,66,2
38,T38,T38,Ben Crane,65,"20' 1""",60.25,3,32,13
39,T38,T38,Gary Woodland,96,"20' 1""",220.75,11,45,3
40,41,41,Beau Hossler,104,"20' 0""",100.167,5,41,3
41,T42,T42,Lucas Glover,65,"19' 9""",78.917,4,31,8
42,T42,T42,Patton Kizzire,92,"19' 9""",59.167,3,24,15
43,44,44,Lanto Griffin,80,"19' 5""",77.75,4,37,5
44,T45,T45,Peter Malnati,87,"19' 3""",57.833,3,43,4
45,T45,T45,Xinjun Zhang,81,"19' 3""",57.667,3,27,11
46,T47,T47,Andrew Putnam,97,"19' 1""",57.333,3,47,3
47,T47,T47,Jimmy Walker,81,"19' 1""",76.25,4,39,5
48,T49,T49,Jamie Lovemark,92,"18' 11""",94.417,5,37,6
49,T49,T49,Sean O'Hair,67,"18' 11""",75.583,4,34,6
50,51,51,Steve Wheatcroft,60,"18' 10""",18.833,1,19,19
51,52,52,Austin Cook,107,"18' 9""",18.75,1,19,19
52,53,53,Grayson Murray,72,"18' 5""",36.75,2,29,8
53,T54,T54,Roberto Díaz,72,"18' 3""",36.5,2,26,11
54,T54,T54,Tommy Fleetwood,73,"18' 3""",145.917,8,41,4
55,56,56,Ricky Barnes,65,"18' 2""",36.25,2,22,14
56,T57,T57,Bill Haas,76,"18' 0""",89.917,5,32,3
57,T57,T57,Troy Merritt,89,"18' 0""",71.917,4,50,6
58,59,59,Matt Jones,70,"17' 9""",106.417,6,27,10
59,T60,T60,Hunter Mahan,67,"17' 8""",35.333,2,21,15
60,T60,T60,Justin Thomas,91,"17' 8""",159.333,9,48,4
61,62,62,Billy Horschel,86,"17' 6""",104.75,6,37,5
62,63,63,Ben Silverman,90,"17' 5""",52.167,3,40,5
63,64,64,Luke List,98,"17' 4""",69.167,4,42,4
64,T65,T65,Jason Kokrak,99,"17' 3""",172.083,10,32,11
65,T65,T65,Kelly Kraft,94,"17' 3""",69.083,4,36,7
66,67,67,Danny Lee,88,"17' 2""",51.417,3,27,12
67,68,68,Fabián Gómez,88,"17' 1""",85.333,5,44,"8"""
68,69,69,Wesley Bryan,69,"17' 0""",17.0,1,17,17
69,70,70,Patrick Reed,94,"16' 5""",98.667,6,42,5
70,71,71,Aaron Wise,90,"16' 2""",64.667,4,29,"10"""
71,T72,T72,Abraham Ancer,98,"15' 11""",79.75,5,43,6
72,T72,T72,Whee Kim,93,"15' 11""",79.5,5,31,10
73,74,74,Jon Rahm,71,"15' 10""",31.583000000000002,2,24,8
74,75,75,Webb Simpson,95,"15' 8""",109.5,7,34,4
75,T76,T76,Keith Mitchell,99,"15' 7""",62.417,4,25,6
76,T76,T76,Alex Noren,67,"15' 7""",46.833,3,38,4
77,T76,T76,Tiger Woods,68,"15' 7""",46.833,3,28,5
78,T79,T79,Paul Casey,74,"15' 5""",30.833000000000002,2,23,8
79,T79,T79,Daniel Summerhays,51,"15' 5""",15.417,1,15,15
80,T81,T81,Patrick Cantlay,87,"15' 2""",75.667,5,27,4
81,T81,T81,Jhonattan Vegas,92,"15' 2""",45.5,3,18,13
82,83,83,Brett Stegmaier,67,"15' 1""",60.167,4,31,3
83,84,84,Alex Cejka,77,"14' 9""",88.667,6,45,2
84,85,85,Rob Oppenheim,74,"14' 8""",43.917,3,20,7
85,T86,T86,Brian Harman,94,"14' 7""",73.0,5,34,2
86,T86,T86,Matt Kuchar,88,"14' 7""",43.75,3,21,7
87,88,88,Chris Stroud,81,"14' 6""",14.5,1,15,15
88,89,89,Nick Taylor,94,"14' 5""",28.75,2,16,12
89,90,90,Hideki Matsuyama,75,"14' 4""",100.083,7,29,3
90,T91,T91,Rafa Cabrera Bello,75,"14' 3""",71.25,5,27,6
91,T91,T91,J.J. Spaun,85,"14' 3""",42.833,3,16,12
92,T93,T93,Dominic Bozzelli,65,"14' 2""",42.583,3,22,9
93,T93,T93,Henrik Stenson,60,"14' 2""",56.5,4,19,10
94,95,95,Rory McIlroy,64,"14' 1""",70.5,5,28,3
95,96,96,Scott Piercy,84,"14' 0""",41.917,3,24,"10"""
96,T97,T97,Jonathan Byrd,70,"13' 10""",55.25,4,22,3
97,T97,T97,J.J. Henry,81,"13' 10""",27.583000000000002,2,18,10
98,99,99,Dustin Johnson,77,"13' 7""",108.583,8,32,"6"""
99,T100,T100,Tyler Duncan,97,"13' 6""",94.25,7,24,7
100,T100,T100,Conrad Shindler,60,"13' 6""",94.5,7,23,3
101,102,102,Ryan Moore,78,"13' 5""",67.167,5,18,9
102,103,103,Keegan Bradley,98,"12' 11""",90.583,7,42,3
103,104,104,Graeme McDowell,67,"12' 10""",25.583000000000002,2,18,7
104,105,105,Jason Day,75,"12' 9""",25.5,2,14,11
105,T106,T106,Chesson Hadley,103,"12' 6""",100.0,8,25,2
106,T106,T106,Ollie Schniederjans,91,"12' 6""",12.5,1,13,13
107,T108,T108,James Hahn,85,"12' 3""",73.5,6,26,5
108,T108,T108,Russell Henley,77,"12' 3""",48.833,4,26,5
109,T108,T108,Phil Mickelson,90,"12' 3""",97.75,8,30,2
110,111,111,Bubba Watson,90,"12' 2""",121.417,10,31,1
111,T112,T112,Michael Kim,74,"12' 0""",24.0,2,16,8
112,T112,T112,Robert Streb,78,"12' 0""",12.0,1,12,12
113,T114,T114,Ryan Blaum,81,"11' 11""",35.75,3,18,3
114,T114,T114,Patrick Rodgers,97,"11' 11""",71.25,6,38,3
115,116,116,Charl Schwartzel,65,"11' 9""",23.416999999999998,2,20,4
116,T117,T117,Tyrrell Hatton,58,"11' 7""",23.083000000000002,2,12,11
117,T117,T117,Nate Lashley,51,"11' 7""",23.083000000000002,2,18,5
118,119,119,Cameron Smith,85,"11' 4""",56.667,5,25,1
119,120,120,Tyrone Van Aswegen,101,"11' 3""",45.083,4,23,"9"""
120,121,121,Branden Grace,67,"11' 1""",44.417,4,19,5
121,122,122,Denny McCarthy,71,"11' 0""",21.916999999999998,2,16,6
122,123,123,Hudson Swafford,73,"10' 11""",43.75,4,14,8
123,T124,T124,Talor Gooch,78,"10' 9""",32.25,3,18,1
124,T124,T124,Marc Leishman,93,"10' 9""",43.083,4,14,3
125,T124,T124,Xander Schauffele,96,"10' 9""",21.5,2,20,1
126,T127,T127,Tom Lovelady,87,"10' 7""",84.5,8,14,6
127,T127,T127,Peter Uihlein,83,"10' 7""",42.333,4,17,4
128,T129,T129,Tony Finau,105,"10' 6""",84.0,8,29,2
129,T129,T129,Charley Hoffman,87,"10' 6""",42.083,4,18,7
130,T129,T129,C.T. Pan,104,"10' 6""",21.0,2,18,3
131,T129,T129,Sam Ryder,82,"10' 6""",52.5,5,18,2
132,133,133,Byeong Hun An,86,"10' 3""",51.25,5,15,6
133,134,134,Rory Sabbatini,91,"10' 2""",70.917,7,20,2
134,T135,T135,J.B. Holmes,77,"10' 1""",60.667,6,16,3
135,T135,T135,Chez Reavie,93,"10' 1""",60.5,6,20,3
136,T135,T135,Kevin Tway,110,"10' 1""",50.417,5,14,5
137,138,138,Jonas Blixt,67,"9' 10""",39.25,4,18,3
138,139,139,Kevin Na,91,"9' 8""",57.833,6,28,2
139,140,140,Russell Knox,94,"9' 5""",28.25,3,16,3
140,141,141,Trey Mullinax,75,"9' 4""",28.0,3,16,3
141,142,142,Bryson DeChambeau,93,"9' 3""",73.75,8,16,2
142,143,143,Adam Hadwin,92,"9' 2""",18.25,2,12,7
143,T144,T144,Mackenzie Hughes,80,"9' 1""",18.167,2,10,8
144,T144,T144,Sung Kang,89,"9' 1""",36.333,4,11,6
145,146,146,Bronson Burgoon,69,"9' 0""",63.0,7,29,4
146,T147,T147,Matt Every,79,"8' 3""",33.0,4,10,5
147,T147,T147,Charles Howell III,104,"8' 3""",16.417,2,9,8
148,T149,T149,John Huh,94,"8' 0""",55.833,7,13,3
149,T149,T149,Louis Oosthuizen,62,"8' 0""",16.0,2,11,5
150,T151,T151,Emiliano Grillo,94,"7' 10""",7.832999999999999,1,8,8
151,T151,T151,J.T. Poston,73,"7' 10""",7.832999999999999,1,8,8
152,T151,T151,Adam Schenk,86,"7' 10""",31.166999999999998,4,13,3
153,T151,T151,Kevin Streelman,94,"7' 10""",23.416999999999998,3,10,4
154,155,155,Vaughn Taylor,83,"7' 7""",15.167,2,9,7
155,156,156,Daniel Berger,81,"7' 4""",29.166999999999998,4,12,2
156,157,157,Brendan Steele,74,"7' 3""",28.833000000000002,4,15,2
157,158,158,Derek Fathauer,84,"6' 11""",13.833,2,9,5
158,T159,T159,Tom Hoge,101,"6' 9""",26.916999999999998,4,11,4
159,T159,T159,"Ted Potter, Jr.",87,"6' 9""",6.75,1,7,7
160,T161,T161,Blayne Barber,69,"6' 7""",13.167,2,11,2
161,T161,T161,Retief Goosen,60,"6' 7""",6.582999999999999,1,7,7
162,T161,T161,Scott Stallings,96,"6' 7""",39.417,6,11,4
163,T164,T164,Kiradech Aphibarnrat,51,"6' 4""",25.166999999999998,4,8,3
164,T164,T164,Corey Conners,97,"6' 4""",12.583,2,9,4
165,166,166,Jordan Spieth,81,"6' 2""",18.5,3,10,2
166,167,167,Shawn Stefani,76,"5' 10""",17.417,3,12,2
167,168,168,Matt Atkins,56,"5' 9""",11.5,2,9,3
168,169,169,Brice Garnett,99,"5' 7""",16.75,3,9,4
169,170,170,Johnson Wagner,75,"5' 6""",10.917,2,7,4
170,171,171,Robert Garrigus,80,"5' 4""",21.333000000000002,4,12,"4"""
171,172,172,Anirban Lahiri,82,"5' 3""",10.417,2,10,"8"""
172,173,173,Brian Gay,103,"4' 10""",14.583,3,10,2
