,3-Putt_Avoidance_-_Round_3_RANK THIS WEEK,3-Putt_Avoidance_-_Round_3_RANK LAST WEEK,3-Putt_Avoidance_-_Round_3_PLAYER NAME,3-Putt_Avoidance_-_Round_3_%,3-Putt_Avoidance_-_Round_3_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_3_TOTAL HOLES
128,129,129,Charles Howell III,3.38,14,414
129,130,130,Patrick Rodgers,3.4,11,324
130,T131,T131,Blayne Barber,3.42,8,234
131,T131,T131,J.J. Henry,3.42,8,234
132,T131,T131,Sam Saunders,3.42,8,234
133,T131,T131,Ethan Tracy,3.42,8,234
134,135,135,Xander Schauffele,3.44,13,378
135,T136,T136,Tommy Fleetwood,3.47,10,288
136,T136,T136,Nate Lashley,3.47,5,144
137,T136,T136,Cameron Tringale,3.47,5,144
138,139,139,Rod Pampling,3.54,7,198
139,140,140,Shawn Stefani,3.57,9,252
140,141,141,Brandon Harkins,3.61,13,360
141,T142,T142,Talor Gooch,3.7,8,216
142,T142,T142,Sung Kang,3.7,10,270
143,T142,T142,Grayson Murray,3.7,10,270
144,T142,T142,Louis Oosthuizen,3.7,8,216
145,T142,T142,Ryan Palmer,3.7,8,216
146,T142,T142,Cameron Percy,3.7,8,216
147,T142,T142,Sam Ryder,3.7,10,270
148,T142,T142,Adam Schenk,3.7,10,270
149,150,150,Brian Gay,3.79,15,396
150,T151,T151,Byeong Hun An,3.8,13,342
151,T151,T151,Stewart Cink,3.8,13,342
152,T151,T151,Jamie Lovemark,3.8,13,342
153,T154,T154,Peter Malnati,3.82,11,288
154,T154,T154,Aaron Wise,3.82,11,288
155,T156,T156,Martin Laird,3.85,9,234
156,T156,T156,Nicholas Lindheim,3.85,9,234
157,158,158,Conrad Shindler,3.89,7,180
158,159,159,Nick Taylor,3.92,12,306
159,T160,T160,Chad Campbell,3.97,10,252
160,T160,T160,Brian Harman,3.97,15,378
161,T162,T162,Joel Dahmen,4.01,13,324
162,T162,T162,Fabián Gómez,4.01,13,324
163,T164,T164,Bryson DeChambeau,4.04,16,396
164,T164,T164,Charl Schwartzel,4.04,8,198
165,T166,T166,Kevin Chappell,4.07,11,270
166,T166,T166,Brooks Koepka,4.07,11,270
167,T168,T168,Tyrrell Hatton,4.17,9,216
168,T168,T168,Billy Hurley III,4.17,6,144
169,T168,T168,Luke List,4.17,15,360
170,T168,T168,Scott Piercy,4.17,12,288
171,T168,T168,Brett Stegmaier,4.17,9,216
172,T173,T173,Rafa Cabrera Bello,4.25,13,306
173,T173,T173,Billy Horschel,4.25,13,306
174,175,175,Lucas Glover,4.37,11,252
175,176,176,Brice Garnett,4.39,15,342
176,177,177,Peter Uihlein,4.44,12,270
177,178,178,Jason Kokrak,4.5,17,378
178,179,179,Vaughn Taylor,4.51,13,288
179,T180,T180,David Hearn,4.63,10,216
180,T180,T180,Xinjun Zhang,4.63,10,216
181,182,182,Stephan Jaeger,4.76,12,252
182,T183,T183,Jonathan Byrd,5.0,9,180
183,T183,T183,Rob Oppenheim,5.0,9,180
184,185,185,Ryan Blaum,5.19,14,270
185,186,186,Tyler Duncan,5.25,17,324
186,187,187,Adam Scott,5.26,18,342
187,T188,T188,Matt Every,5.56,11,198
188,T188,T188,Satoshi Kodaira,5.56,7,126
189,T188,T188,Keith Mitchell,5.56,21,378
190,T188,T188,Andrew Yun,5.56,4,72
191,192,192,Branden Grace,5.93,16,270
192,193,193,Hudson Swafford,5.95,15,252
