,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Emiliano Grillo,94,"83' 8""",73278,73,"4' 8""","154' 3"""
1,2,2,Whee Kim,93,"83' 3""",72947,73,"4' 8""","144' 11"""
2,3,3,Beau Hossler,104,"82' 1""",88685,90,"4' 7""","200' 4"""
3,T4,T4,Martin Laird,73,"81' 1""",59367,61,"4' 7""","136' 6"""
4,T4,T4,Brandt Snedeker,84,"81' 1""",72024,74,"4' 7""","149' 11"""
5,6,6,Tom Lovelady,87,"81' 0""",67073,69,"4' 7""","139' 9"""
6,7,7,Michael Thompson,62,"80' 10""",54336,56,"4' 6""","157' 10"""
7,T8,T8,Brooks Koepka,64,"80' 9""",52347,54,"4' 7""","164' 11"""
8,T8,T8,Nicholas Lindheim,77,"80' 9""",57169,59,"4' 6""","179' 2"""
9,10,10,Phil Mickelson,90,"80' 6""",67642,70,"4' 7""","166' 5"""
10,T11,T11,Hideki Matsuyama,75,"79' 7""",54442,57,"4' 6""","192' 7"""
11,T11,T11,Kevin Na,91,"79' 7""",66882,70,"4' 6""","156' 8"""
12,13,13,Harris English,84,"79' 5""",64779,68,"4' 6""","143' 4"""
13,14,14,Aaron Wise,90,"79' 2""",75993,80,"4' 6""","150' 3"""
14,15,15,Greg Chalmers,56,"78' 10""",38772,41,"4' 5""","142' 5"""
15,16,16,Kevin Kisner,89,"78' 9""",61448,65,"4' 5""","161' 8"""
16,T17,T17,Tommy Fleetwood,73,"78' 7""",50940,54,"4' 5""","161' 7"""
17,T17,T17,Brian Harman,94,"78' 7""",67869,72,"4' 5""","152' 0"""
18,T19,T19,Alex Noren,67,"78' 6""",46173,49,"4' 5""","154' 1"""
19,T19,T19,Ben Silverman,90,"78' 6""",71582,76,"4' 5""","160' 9"""
20,21,21,Daniel Summerhays,51,"78' 5""",35749,38,"4' 5""","124' 4"""
21,22,22,Rafa Cabrera Bello,75,"78' 4""",45120,48,"4' 5""","128' 11"""
22,T23,T23,Roberto Díaz,72,"78' 3""",52600,56,"4' 5""","137' 7"""
23,T23,T23,Denny McCarthy,71,"78' 3""",45993,49,"4' 4""","142' 4"""
24,T25,T25,Graeme McDowell,67,"78' 0""",43053,46,"4' 5""","143' 6"""
25,T25,T25,Webb Simpson,95,"78' 0""",75810,81,"4' 5""","142' 8"""
26,27,27,Rob Oppenheim,74,"77' 10""",50416,54,"4' 4""","138' 6"""
27,28,28,Dustin Johnson,77,"77' 7""",57712,62,"4' 4""","142' 7"""
28,29,29,Kiradech Aphibarnrat,51,"77' 6""",31631,34,"4' 5""","136' 4"""
29,T30,T30,Wesley Bryan,69,"77' 5""",47379,51,"4' 4""","181' 9"""
30,T30,T30,Austin Cook,107,"77' 5""",85436,92,"4' 5""","151' 3"""
31,T30,T30,Jimmy Walker,81,"77' 5""",61314,66,"4' 5""","164' 9"""
32,T33,T33,Russell Henley,77,"77' 3""",53759,58,"4' 4""","145' 3"""
33,T33,T33,Jonathan Randolph,71,"77' 3""",55615,60,"4' 4""","175' 3"""
34,T35,T35,Brandon Harkins,101,"77' 2""",78699,85,"4' 4""","172' 3"""
35,T35,T35,Seamus Power,86,"77' 2""",61137,66,"4' 4""","129' 8"""
36,T37,T37,Adam Schenk,86,"76' 11""",60887,66,"4' 4""","197' 0"""
37,T37,T37,Kyle Stanley,93,"76' 11""",61872,67,"4' 4""","172' 1"""
38,T39,T39,Ryan Blaum,81,"76' 9""",66280,72,"4' 4""","141' 5"""
39,T39,T39,Peter Malnati,87,"76' 9""",69070,75,"4' 4""","141' 5"""
40,T39,T39,Justin Rose,70,"76' 9""",48803,53,"4' 4""","140' 4"""
41,42,42,Johnson Wagner,75,"76' 7""",50540,55,"4' 4""","146' 11"""
42,43,43,Matt Kuchar,88,"76' 6""",59691,65,"4' 3""","158' 2"""
43,44,44,David Lingmerth,82,"76' 3""",63127,69,"4' 3""","115' 6"""
44,T45,T45,Lanto Griffin,80,"76' 2""",54810,60,"4' 3""","139' 0"""
45,T45,T45,David Hearn,66,"76' 2""",45721,50,"4' 3""","157' 0"""
46,T45,T45,Danny Lee,88,"76' 2""",63992,70,"4' 3""","143' 11"""
47,48,48,Rory Sabbatini,91,"76' 1""",68495,75,"4' 4""","139' 4"""
48,T49,T49,Jason Day,75,"76' 0""",44693,49,"4' 3""","143' 8"""
49,T49,T49,Brian Gay,103,"76' 0""",83891,92,"4' 3""","137' 5"""
50,T51,T51,Blayne Barber,69,"75' 11""",54638,60,"4' 3""","130' 4"""
51,T51,T51,Anirban Lahiri,82,"75' 11""",61023,67,"4' 3""","156' 11"""
52,T51,T51,J.T. Poston,73,"75' 11""",51899,57,"4' 3""","138' 5"""
53,T51,T51,Chez Reavie,93,"75' 11""",54642,60,"4' 3""","156' 6"""
54,55,55,Jim Furyk,50,"75' 10""",41851,46,"4' 3""","116' 7"""
55,56,56,Brett Stegmaier,67,"75' 9""",42700,47,"4' 3""","144' 7"""
56,T57,T57,John Huh,94,"75' 7""",74364,82,"4' 3""","132' 8"""
57,T57,T57,Michael Kim,74,"75' 7""",48993,54,"4' 3""","146' 9"""
58,59,59,Gary Woodland,96,"75' 5""",63336,70,"4' 3""","152' 5"""
59,60,60,Jason Dufner,71,"75' 4""",46985,52,"4' 3""","125' 6"""
60,T61,T61,Pat Perez,82,"75' 3""",46048,51,"4' 3""","166' 5"""
61,T61,T61,"Ted Potter, Jr.",87,"75' 3""",69511,77,"4' 3""","156' 9"""
62,63,63,Vaughn Taylor,83,"75' 2""",63146,70,"4' 3""","120' 2"""
63,T64,T64,Ricky Barnes,65,"75' 1""",40527,45,"4' 3""","131' 9"""
64,T64,T64,Xander Schauffele,96,"75' 1""",64891,72,"4' 2""","145' 8"""
65,66,66,Bryson DeChambeau,93,"75' 0""",70225,78,"4' 3""","132' 10"""
66,67,67,Tom Hoge,101,"74' 11""",74589,83,"4' 3""","157' 11"""
67,68,68,Tiger Woods,68,"74' 10""",52984,59,"4' 2""","125' 3"""
