,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,1,1,Billy Hurley III,70,3,29
1,T2,T2,Sung Kang,89,2,32
2,T2,T2,Matt Kuchar,88,2,31
3,T2,T2,Nicholas Lindheim,77,2,32
4,T2,T2,Scott Piercy,84,2,50
5,T6,T6,Matt Atkins,56,1,26
6,T6,T6,Aaron Baddeley,84,1,33
7,T6,T6,Ricky Barnes,65,1,18
8,T6,T6,Keegan Bradley,98,1,39
9,T6,T6,Scott Brown,102,1,31
10,T6,T6,Rafa Cabrera Bello,75,1,23
11,T6,T6,Paul Casey,74,1,18
12,T6,T6,Bryson DeChambeau,93,1,47
13,T6,T6,Harris English,84,1,30
14,T6,T6,Martin Flores,92,1,44
15,T6,T6,Lucas Glover,65,1,32
16,T6,T6,Retief Goosen,60,1,22
17,T6,T6,Cody Gribble,71,1,22
18,T6,T6,Adam Hadwin,92,1,35
19,T6,T6,Brian Harman,94,1,46
20,T6,T6,David Hearn,66,1,30
21,T6,T6,Zach Johnson,94,1,27
22,T6,T6,Whee Kim,93,1,36
23,T6,T6,Chris Kirk,108,1,39
24,T6,T6,Patton Kizzire,92,1,41
25,T6,T6,Brooks Koepka,64,1,33
26,T6,T6,Jason Kokrak,99,1,50
27,T6,T6,Andrew Landry,82,1,27
28,T6,T6,Luke List,98,1,48
29,T6,T6,Hideki Matsuyama,75,1,35
30,T6,T6,William McGirt,84,1,33
31,T6,T6,Keith Mitchell,99,1,62
32,T6,T6,Kevin Na,91,1,34
33,T6,T6,Sean O'Hair,67,1,28
34,T6,T6,Rob Oppenheim,74,1,33
35,T6,T6,C.T. Pan,104,1,36
36,T6,T6,Andrew Putnam,97,1,38
37,T6,T6,Jon Rahm,71,1,35
38,T6,T6,Jonathan Randolph,71,1,33
39,T6,T6,Chez Reavie,93,1,27
40,T6,T6,Patrick Rodgers,97,1,32
41,T6,T6,Sam Ryder,82,1,48
42,T6,T6,Adam Scott,78,1,42
43,T6,T6,Hudson Swafford,73,1,41
44,T6,T6,Nick Taylor,94,1,51
45,T6,T6,Harold Varner III,91,1,37
46,T6,T6,Aaron Wise,90,1,52
47,T6,T6,Gary Woodland,96,1,42
48,T6,T6,Andrew Yun,51,1,23
49,T6,T6,Xinjun Zhang,81,1,48
