,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Kevin Na,91,19.57,700,137
1,2,2,Daniel Summerhays,51,18.93,375,71
2,3,3,Phil Mickelson,90,18.81,691,130
3,4,4,Whee Kim,93,18.65,756,141
4,5,5,Ben Silverman,90,18.62,811,151
5,6,6,Emiliano Grillo,94,18.55,787,146
6,7,7,Rob Oppenheim,74,18.47,574,106
7,8,8,Dustin Johnson,77,18.18,627,114
8,9,9,Tiger Woods,68,17.91,592,106
9,10,10,Brandt Snedeker,84,17.83,785,140
10,11,11,Tom Lovelady,87,17.81,775,138
11,12,12,Ricky Barnes,65,17.8,455,81
12,13,13,Jimmy Walker,81,17.74,654,116
13,14,14,Danny Lee,88,17.66,719,127
14,15,15,Tommy Fleetwood,73,17.59,597,105
15,16,16,Rafa Cabrera Bello,75,17.56,524,92
16,17,17,Dominic Bozzelli,65,17.48,618,108
17,18,18,Peter Malnati,87,17.45,745,130
18,19,19,Harris English,84,17.35,709,123
19,20,20,Brian Harman,94,17.32,785,136
20,T21,T21,Greg Chalmers,56,17.29,428,74
21,T21,T21,Jason Day,75,17.29,509,88
22,23,23,Webb Simpson,95,17.28,868,150
23,24,24,Anirban Lahiri,82,17.26,707,122
24,25,25,J.T. Poston,73,17.24,615,106
25,T26,T26,Wesley Bryan,69,17.23,499,86
26,T26,T26,Tom Hoge,101,17.23,830,143
27,28,28,Adam Hadwin,92,17.2,721,124
28,29,29,Matt Jones,70,17.19,512,88
29,30,30,Brooks Koepka,64,17.15,554,95
30,31,31,Branden Grace,67,17.14,461,79
31,32,32,Beau Hossler,104,17.12,987,169
32,33,33,Jim Furyk,50,17.0,494,84
33,34,34,Troy Merritt,89,16.93,750,127
34,T35,T35,Nicholas Lindheim,77,16.84,665,112
35,T35,T35,Grayson Murray,72,16.84,576,97
36,37,37,Brett Stegmaier,67,16.81,565,95
37,38,38,Zach Johnson,94,16.8,762,128
38,T39,T39,Russell Henley,77,16.77,656,110
39,T39,T39,Chez Reavie,93,16.77,632,106
40,T41,T41,Hideki Matsuyama,75,16.75,609,102
41,T41,T41,Vaughn Taylor,83,16.75,758,127
42,T43,T43,Rickie Fowler,74,16.59,687,114
43,T43,T43,Martin Laird,73,16.59,645,107
44,45,45,Ollie Schniederjans,91,16.56,791,131
45,46,46,David Lingmerth,82,16.55,707,117
46,47,47,Aaron Wise,90,16.53,883,146
47,48,48,Rod Pampling,62,16.52,454,75
48,49,49,Brandon Harkins,101,16.5,891,147
49,50,50,"Ted Potter, Jr.",87,16.49,776,128
50,51,51,Kiradech Aphibarnrat,51,16.48,352,58
51,T52,T52,Ryan Blaum,81,16.47,777,128
52,T52,T52,Charl Schwartzel,65,16.47,419,69
53,54,54,Ben Martin,64,16.4,567,93
54,55,55,Brian Gay,103,16.38,928,152
55,56,56,Alex Noren,67,16.36,544,89
56,57,57,Jason Kokrak,99,16.35,1009,165
57,58,58,Cameron Smith,85,16.34,612,100
58,59,59,Graeme McDowell,67,16.33,502,82
59,60,60,Jason Dufner,71,16.3,546,89
60,61,61,Matt Kuchar,88,16.21,691,112
61,62,62,D.A. Points,63,16.17,507,82
62,63,63,Justin Thomas,91,16.15,675,109
63,64,64,Michael Thompson,62,16.14,663,107
64,65,65,Brian Stuard,103,16.12,968,156
65,T66,T66,Ian Poulter,73,16.1,534,86
66,T66,T66,Seamus Power,86,16.1,708,114
67,68,68,Gary Woodland,96,16.09,783,126
68,69,69,Chris Stroud,81,16.05,592,95
69,70,70,Chesson Hadley,103,15.95,972,155
70,71,71,Conrad Shindler,60,15.88,466,74
71,72,72,Bryson DeChambeau,93,15.86,851,135
72,73,73,Tony Finau,105,15.84,871,138
73,74,74,Zac Blair,64,15.82,474,75
74,75,75,Sam Saunders,80,15.78,697,110
75,76,76,John Huh,94,15.76,863,136
76,77,77,Austin Cook,107,15.74,985,155
77,78,78,Billy Horschel,86,15.72,865,136
78,T79,T79,Michael Kim,74,15.7,567,89
79,T79,T79,Justin Rose,70,15.7,554,87
80,81,81,Xander Schauffele,96,15.66,747,117
81,82,82,Cameron Percy,56,15.63,435,68
82,83,83,Martin Piller,79,15.62,698,109
83,84,84,Billy Hurley III,70,15.6,596,93
84,85,85,Hunter Mahan,67,15.44,583,90
85,86,86,Kelly Kraft,94,15.42,765,118
86,87,87,J.J. Spaun,85,15.41,785,121
87,88,88,Jamie Lovemark,92,15.39,760,117
88,T89,T89,Denny McCarthy,71,15.38,559,86
89,T89,T89,Jonathan Randolph,71,15.38,611,94
90,91,91,Roberto Díaz,72,15.37,592,91
91,92,92,Daniel Berger,81,15.35,697,107
92,93,93,Pat Perez,82,15.33,548,84
93,T94,T94,Charley Hoffman,87,15.31,725,111
94,T94,T94,Andrew Putnam,97,15.31,849,130
95,T94,T94,Harold Varner III,91,15.31,797,122
96,97,97,Cody Gribble,71,15.3,549,84
