,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Kevin Kisner,89,91.18,1156,1054
1,2,2,Johnson Wagner,75,90.29,978,883
2,3,3,Jason Day,75,89.89,870,782
3,4,4,Webb Simpson,95,89.83,1435,1289
4,5,5,Alex Noren,67,89.73,876,786
5,6,6,Hunter Mahan,67,89.62,915,820
6,7,7,Louis Oosthuizen,62,89.58,854,765
7,8,8,Austin Cook,107,89.54,1644,1472
8,9,9,Brett Stegmaier,67,89.49,828,741
9,10,10,Michael Thompson,62,89.45,995,890
10,11,11,Paul Casey,74,89.42,898,803
11,12,12,Denny McCarthy,71,89.4,887,793
12,13,13,Bud Cauley,55,89.32,749,669
13,14,14,Patrick Rodgers,97,89.3,1336,1193
14,15,15,Beau Hossler,104,89.29,1606,1434
15,16,16,Nate Lashley,51,89.24,641,572
16,17,17,Trey Mullinax,75,89.18,1072,956
17,18,18,Justin Rose,70,89.14,958,854
18,19,19,Graeme McDowell,67,89.12,827,737
19,20,20,Daniel Berger,81,89.1,1119,997
20,21,21,Greg Chalmers,56,89.09,733,653
21,22,22,Peter Malnati,87,88.96,1359,1209
22,23,23,William McGirt,84,88.93,1364,1213
23,24,24,Derek Fathauer,84,88.92,1236,1099
24,25,25,Billy Horschel,86,88.9,1396,1241
25,26,26,Bronson Burgoon,69,88.81,1037,921
26,27,27,Nicholas Lindheim,77,88.78,1061,942
27,28,28,Seamus Power,86,88.73,1189,1055
28,29,29,Rickie Fowler,74,88.72,1099,975
29,30,30,Justin Thomas,91,88.7,1239,1099
30,31,31,Nick Watney,94,88.67,1456,1291
31,32,32,Tyrone Van Aswegen,101,88.57,1531,1356
32,33,33,Alex Cejka,77,88.52,1098,972
33,34,34,Bubba Watson,90,88.48,1259,1114
34,35,35,Brian Stuard,103,88.44,1601,1416
35,36,36,Jim Furyk,50,88.42,829,733
36,T37,T37,Brian Gay,103,88.41,1683,1488
37,T37,T37,Fabián Gómez,88,88.41,1311,1159
38,T39,T39,Jonas Blixt,67,88.4,879,777
39,T39,T39,Chris Kirk,108,88.4,1759,1555
40,41,41,Ian Poulter,73,88.38,904,799
41,42,42,Matt Kuchar,88,88.37,1187,1049
42,T43,T43,Zach Johnson,94,88.33,1303,1151
43,T43,T43,Ollie Schniederjans,91,88.33,1397,1234
44,45,45,Andrew Landry,82,88.29,1341,1184
45,T46,T46,Chesson Hadley,103,88.28,1613,1424
46,T46,T46,Tyrrell Hatton,58,88.28,768,678
47,48,48,Emiliano Grillo,94,88.25,1311,1157
48,49,49,Cody Gribble,71,88.22,993,876
49,50,50,Patrick Reed,94,88.19,1160,1023
50,51,51,Bryson DeChambeau,93,88.18,1421,1253
51,52,52,Jonathan Byrd,70,88.16,887,782
52,T53,T53,James Hahn,85,88.15,1283,1131
53,T53,T53,C.T. Pan,104,88.15,1510,1331
54,55,55,Ethan Tracy,72,88.13,994,876
55,56,56,Brice Garnett,99,88.12,1515,1335
56,57,57,Danny Lee,88,88.11,1270,1119
57,T58,T58,Abraham Ancer,98,88.09,1536,1353
58,T58,T58,Ben Crane,65,88.09,848,747
59,T60,T60,Cameron Smith,85,88.07,1115,982
60,T60,T60,Shawn Stefani,76,88.07,1106,974
61,T62,T62,Wesley Bryan,69,88.04,928,817
62,T62,T62,Kevin Tway,110,88.04,1656,1458
63,64,64,Rory McIlroy,64,88.02,943,830
64,65,65,Scott Brown,102,87.99,1499,1319
65,66,66,Patton Kizzire,92,87.97,1438,1265
66,T67,T67,Blayne Barber,69,87.96,1105,972
67,T67,T67,Tommy Fleetwood,73,87.96,972,855
68,T67,T67,Kevin Na,91,87.96,1254,1103
69,70,70,Marc Leishman,93,87.95,1344,1182
70,71,71,Adam Schenk,86,87.94,1219,1072
71,72,72,Kevin Streelman,94,87.9,1529,1344
72,73,73,Kyle Stanley,93,87.89,1230,1081
73,74,74,Dominic Bozzelli,65,87.85,1103,969
74,T75,T75,Andrew Putnam,97,87.84,1415,1243
75,T75,T75,Xander Schauffele,96,87.84,1332,1170
76,T77,T77,Jonathan Randolph,71,87.83,1109,974
77,T77,T77,Daniel Summerhays,51,87.83,682,599
78,T77,T77,Richy Werenski,98,87.83,1381,1213
79,80,80,Charley Hoffman,87,87.79,1253,1100
80,T81,T81,Tony Finau,105,87.75,1486,1304
81,T81,T81,Martin Laird,73,87.75,1110,974
82,83,83,Michael Kim,74,87.74,987,866
83,84,84,Jason Kokrak,99,87.73,1597,1401
84,T85,T85,Chris Stroud,81,87.72,1067,936
85,T85,T85,Steve Wheatcroft,60,87.72,855,750
86,87,87,Ricky Barnes,65,87.67,819,718
87,T88,T88,Talor Gooch,78,87.65,1142,1001
88,T88,T88,Peter Uihlein,83,87.65,1198,1050
89,90,90,Aaron Baddeley,84,87.64,1295,1135
90,T91,T91,David Lingmerth,82,87.63,1269,1112
91,T91,T91,Aaron Wise,90,87.63,1455,1275
92,93,93,Gary Woodland,96,87.62,1276,1118
93,T94,T94,Patrick Cantlay,87,87.59,1241,1087
94,T94,T94,Si Woo Kim,108,87.59,1466,1284
95,96,96,Brandt Snedeker,84,87.58,1337,1171
96,97,97,Sam Saunders,80,87.57,1231,1078
97,98,98,Henrik Stenson,60,87.56,820,718
98,99,99,Charles Howell III,104,87.54,1445,1265
99,100,100,D.A. Points,63,87.51,889,778
100,101,101,Zac Blair,64,87.46,845,739
101,T102,T102,Branden Grace,67,87.45,805,704
102,T102,T102,Chez Reavie,93,87.45,1100,962
103,T104,T104,John Huh,94,87.42,1510,1320
104,T104,T104,Jordan Spieth,81,87.42,1232,1077
105,106,106,Brian Harman,94,87.41,1311,1146
106,107,107,Martin Piller,79,87.4,1238,1082
107,108,108,Kelly Kraft,94,87.37,1370,1197
108,109,109,Russell Knox,94,87.34,1366,1193
109,110,110,Jon Rahm,71,87.33,939,820
110,T111,T111,Joel Dahmen,93,87.32,1317,1150
111,T111,T111,Brandon Harkins,101,87.32,1569,1370
112,T111,T111,Scott Stallings,96,87.32,1490,1301
113,114,114,Rafa Cabrera Bello,75,87.3,874,763
114,115,115,Sam Ryder,82,87.29,1298,1133
115,T116,T116,Whee Kim,93,87.28,1329,1160
116,T116,T116,Anirban Lahiri,82,87.28,1226,1070
117,118,118,Dustin Johnson,77,87.26,1130,986
118,119,119,Jhonattan Vegas,92,87.25,1192,1040
119,120,120,Robert Streb,78,87.24,1121,978
120,121,121,Bill Haas,76,87.23,1229,1072
121,122,122,Keegan Bradley,98,87.21,1493,1302
122,123,123,Nick Taylor,94,87.19,1382,1205
123,124,124,David Hearn,66,87.15,934,814
124,125,125,Tiger Woods,68,87.11,1086,946
125,126,126,Harold Varner III,91,87.1,1372,1195
126,T127,T127,Ryan Armour,109,87.09,1781,1551
127,T127,T127,J.T. Poston,73,87.09,1046,911
128,129,129,Adam Hadwin,92,87.06,1198,1043
129,130,130,Stephan Jaeger,81,87.04,1188,1034
130,131,131,Pat Perez,82,87.03,948,825
131,132,132,"Ted Potter, Jr.",87,87.01,1416,1232
132,133,133,Hideki Matsuyama,75,86.94,1049,912
133,134,134,Roberto Díaz,72,86.92,1040,904
134,T135,T135,Lucas Glover,65,86.9,855,743
135,T135,T135,Russell Henley,77,86.9,1061,922
136,137,137,Francesco Molinari,73,86.89,1083,941
137,138,138,Jamie Lovemark,92,86.86,1461,1269
138,139,139,Scott Piercy,84,86.84,1292,1122
139,140,140,Charl Schwartzel,65,86.83,782,679
140,141,141,Ben Martin,64,86.82,1055,916
141,142,142,Troy Merritt,89,86.79,1347,1169
142,143,143,Jimmy Walker,81,86.78,1210,1050
143,144,144,Conrad Shindler,60,86.76,816,708
144,145,145,Ryan Moore,78,86.75,1238,1074
145,T146,T146,Kiradech Aphibarnrat,51,86.74,626,543
146,T146,T146,Adam Scott,78,86.74,1124,975
147,T146,T146,Hudson Swafford,73,86.74,973,844
148,T149,T149,Martin Flores,92,86.66,1357,1176
149,T149,T149,Brooks Koepka,64,86.66,997,864
150,151,151,Shane Lowry,64,86.62,964,835
151,152,152,Ryan Blaum,81,86.58,1319,1142
152,153,153,Billy Hurley III,70,86.57,1065,922
153,154,154,Kyle Thompson,50,86.56,692,599
154,155,155,J.J. Spaun,85,86.55,1323,1145
155,T156,T156,Harris English,84,86.53,1255,1086
156,T156,T156,Luke List,98,86.53,1470,1272
157,158,158,Sung Kang,89,86.51,1268,1097
158,159,159,Stewart Cink,87,86.48,1250,1081
159,160,160,Rory Sabbatini,91,86.44,1401,1211
160,T161,T161,Cameron Percy,56,86.42,766,662
161,T161,T161,Ben Silverman,90,86.42,1377,1190
162,T161,T161,Vaughn Taylor,83,86.42,1296,1120
163,164,164,Phil Mickelson,90,86.38,1285,1110
164,T165,T165,J.J. Henry,81,86.37,1196,1033
165,T165,T165,Mackenzie Hughes,80,86.37,1284,1109
166,167,167,Cameron Tringale,67,86.35,960,829
167,168,168,Sean O'Hair,67,86.3,1073,926
168,169,169,Lanto Griffin,80,86.29,1123,969
169,170,170,Robert Garrigus,80,86.26,1288,1111
170,171,171,Matt Jones,70,86.23,864,745
171,172,172,Tyler Duncan,97,86.2,1544,1331
172,173,173,Tom Hoge,101,86.19,1542,1329
173,174,174,Byeong Hun An,86,86.18,1382,1191
174,175,175,Kevin Chappell,77,86.11,1166,1004
175,176,176,Matt Every,79,85.97,1155,993
176,T177,T177,Matt Atkins,56,85.96,755,649
177,T177,T177,Rob Oppenheim,74,85.96,997,857
178,179,179,Retief Goosen,60,85.92,767,659
179,180,180,Corey Conners,97,85.83,1489,1278
180,T181,T181,Zecheng Dou,53,85.82,691,593
181,T181,T181,J.B. Holmes,77,85.82,1291,1108
182,183,183,Chad Campbell,87,85.79,1281,1099
183,184,184,Ryan Palmer,69,85.71,1148,984
184,185,185,Xinjun Zhang,81,85.62,1078,923
185,186,186,Tom Lovelady,87,85.51,1270,1086
186,187,187,Keith Mitchell,99,85.44,1580,1350
187,188,188,Jason Dufner,71,84.89,986,837
188,189,189,Satoshi Kodaira,51,84.82,771,654
189,190,190,Brendan Steele,74,84.54,1061,897
190,191,191,Andrew Yun,51,84.36,652,550
191,192,192,Grayson Murray,72,84.27,1125,948
192,193,193,Rod Pampling,62,84.08,867,729
