,Putting_from_4-8_RANK THIS WEEK,Putting_from_4-8_RANK LAST WEEK,Putting_from_4-8_PLAYER NAME,Putting_from_4-8_ROUNDS,Putting_from_4-8_% MADE,Putting_from_4-8_ATTEMPTS,Putting_from_4-8_PUTTS MADE
0,1,1,Kevin Kisner,89,78.2,266,208
1,2,2,Nate Lashley,51,78.06,155,121
2,3,3,Justin Rose,70,77.67,215,167
3,4,4,Jason Day,75,77.66,197,153
4,5,5,Patrick Rodgers,97,76.32,321,245
5,6,6,Louis Oosthuizen,62,76.09,184,140
6,7,7,Johnson Wagner,75,76.02,221,168
7,8,8,Greg Chalmers,56,75.3,166,125
8,9,9,Ben Crane,65,75.14,181,136
9,10,10,Patrick Reed,94,75.1,261,196
10,11,11,Graeme McDowell,67,74.87,187,140
11,12,12,Michael Thompson,62,74.64,209,156
12,T13,T13,Beau Hossler,104,74.35,347,258
13,T13,T13,Denny McCarthy,71,74.35,191,142
14,15,15,Webb Simpson,95,74.33,300,223
15,16,16,John Huh,94,73.96,384,284
16,17,17,Billy Horschel,86,73.79,309,228
17,18,18,Wesley Bryan,69,73.76,221,163
18,19,19,Hunter Mahan,67,73.68,190,140
19,20,20,Adam Schenk,86,73.24,299,219
20,21,21,Austin Cook,107,73.21,392,287
21,22,22,Shawn Stefani,76,73.19,235,172
22,T23,T23,Daniel Berger,81,72.98,248,181
23,T23,T23,Nicholas Lindheim,77,72.98,248,181
24,25,25,Alex Noren,67,72.63,190,138
25,26,26,Brett Stegmaier,67,72.56,164,119
26,27,27,Paul Casey,74,72.55,204,148
27,28,28,Bud Cauley,55,72.51,171,124
28,29,29,Justin Thomas,91,72.49,269,195
29,30,30,Tyrrell Hatton,58,72.35,170,123
30,31,31,Jordan Spieth,81,72.22,270,195
31,32,32,Danny Lee,88,72.19,320,231
32,33,33,Cody Gribble,71,72.12,226,163
33,T34,T34,Peter Malnati,87,72.11,337,243
34,T34,T34,Ian Poulter,73,72.11,190,137
35,T34,T34,Aaron Wise,90,72.11,337,243
36,37,37,Trey Mullinax,75,72.1,233,168
37,38,38,Daniel Summerhays,51,72.09,172,124
38,39,39,Kiradech Aphibarnrat,51,71.9,153,110
39,40,40,Phil Mickelson,90,71.88,320,230
40,41,41,Emiliano Grillo,94,71.73,329,236
41,42,42,Ollie Schniederjans,91,71.69,325,233
42,43,43,Kevin Na,91,71.63,282,202
43,44,44,Kyle Thompson,50,71.52,158,113
44,45,45,Sean O'Hair,67,71.43,273,195
45,46,46,Whee Kim,93,71.39,339,242
46,47,47,Bronson Burgoon,69,71.37,227,162
47,48,48,Kelly Kraft,94,71.34,314,224
48,49,49,Tyrone Van Aswegen,101,71.31,359,256
49,50,50,Jonathan Randolph,71,71.27,268,191
50,51,51,Matt Kuchar,88,71.26,254,181
51,T52,T52,Rory McIlroy,64,71.24,226,161
52,T52,T52,Andrew Putnam,97,71.24,306,218
53,54,54,Pat Perez,82,71.23,212,151
54,55,55,Talor Gooch,78,71.21,257,183
55,56,56,Ben Martin,64,71.18,229,163
56,57,57,Chris Kirk,108,71.09,377,268
57,58,58,Brian Gay,103,70.96,396,281
58,59,59,"Ted Potter, Jr.",87,70.92,337,239
59,60,60,Sam Saunders,80,70.88,285,202
60,61,61,Chez Reavie,93,70.8,226,160
61,62,62,Marc Leishman,93,70.78,308,218
62,T63,T63,Scott Brown,102,70.73,328,232
63,T63,T63,William McGirt,84,70.73,287,203
64,65,65,Gary Woodland,96,70.7,273,193
65,66,66,Brandt Snedeker,84,70.64,327,231
66,67,67,Kevin Tway,110,70.45,352,248
67,68,68,Derek Fathauer,84,70.31,293,206
68,69,69,Dominic Bozzelli,65,70.27,259,182
69,70,70,Roberto Díaz,72,70.25,242,170
70,71,71,Peter Uihlein,83,70.16,258,181
71,72,72,Jason Kokrak,99,70.15,335,235
72,73,73,Andrew Landry,82,70.0,290,203
73,74,74,Rory Sabbatini,91,69.94,356,249
74,75,75,Blayne Barber,69,69.88,259,181
75,76,76,Seamus Power,86,69.85,262,183
76,77,77,Nick Watney,94,69.84,305,213
77,78,78,Richy Werenski,98,69.65,313,218
78,79,79,Martin Laird,73,69.6,250,174
79,80,80,Tiger Woods,68,69.58,263,183
80,81,81,Ricky Barnes,65,69.54,174,121
81,82,82,Bubba Watson,90,69.49,272,189
82,83,83,Fabián Gómez,88,69.47,285,198
83,84,84,Brooks Koepka,64,69.42,242,168
84,85,85,Russell Knox,94,69.4,281,195
85,86,86,Rafa Cabrera Bello,75,69.31,189,131
86,87,87,Jimmy Walker,81,69.28,293,203
87,88,88,Michael Kim,74,69.16,214,148
88,89,89,Bryson DeChambeau,93,69.12,340,235
89,T90,T90,Jonas Blixt,67,69.1,178,123
90,T90,T90,Anirban Lahiri,82,69.1,301,208
91,92,92,Abraham Ancer,98,69.05,336,232
92,93,93,Tommy Fleetwood,73,68.88,241,166
93,94,94,Patton Kizzire,92,68.87,318,219
94,95,95,Brian Stuard,103,68.86,334,230
95,96,96,Martin Piller,79,68.71,278,191
96,97,97,Zac Blair,64,68.65,185,127
97,T98,T98,Jim Furyk,50,68.57,175,120
98,T98,T98,Nick Taylor,94,68.57,315,216
99,100,100,Xander Schauffele,96,68.51,308,211
100,101,101,Si Woo Kim,108,68.47,333,228
101,102,102,Rickie Fowler,74,68.35,218,149
102,103,103,Joel Dahmen,93,68.33,281,192
103,104,104,Dustin Johnson,77,68.28,268,183
104,105,105,Scott Piercy,84,68.26,293,200
105,106,106,Brice Garnett,99,68.24,318,217
106,107,107,Chesson Hadley,103,68.21,368,251
107,108,108,Cameron Smith,85,68.2,239,163
108,109,109,Charley Hoffman,87,68.15,270,184
109,110,110,Kyle Stanley,93,68.08,260,177
110,111,111,Sung Kang,89,67.96,334,227
111,112,112,Lanto Griffin,80,67.92,265,180
112,113,113,Keegan Bradley,98,67.91,321,218
113,114,114,Alex Cejka,77,67.82,261,177
114,T115,T115,D.A. Points,63,67.8,205,139
115,T115,T115,Henrik Stenson,60,67.8,177,120
116,117,117,Harold Varner III,91,67.76,304,206
117,118,118,Aaron Baddeley,84,67.73,282,191
118,T119,T119,Robert Streb,78,67.65,238,161
119,T119,T119,Jhonattan Vegas,92,67.65,272,184
120,121,121,Brian Harman,94,67.64,275,186
121,122,122,Ben Silverman,90,67.41,313,211
122,123,123,Brandon Harkins,101,67.39,368,248
123,124,124,Tony Finau,105,67.38,328,221
124,125,125,Jamie Lovemark,92,67.37,334,225
125,126,126,Billy Hurley III,70,67.35,245,165
126,127,127,Chris Stroud,81,67.34,248,167
127,128,128,Jon Rahm,71,67.27,220,148
128,129,129,Charles Howell III,104,67.24,290,195
129,130,130,Charl Schwartzel,65,67.19,192,129
130,131,131,J.T. Poston,73,67.14,213,143
131,132,132,Jonathan Byrd,70,67.02,191,128
132,133,133,David Lingmerth,82,67.01,291,195
133,134,134,Adam Scott,78,66.92,263,176
134,135,135,Robert Garrigus,80,66.9,284,190
135,136,136,C.T. Pan,104,66.88,314,210
136,137,137,Steve Wheatcroft,60,66.84,187,125
137,T138,T138,Branden Grace,67,66.67,165,110
138,T138,T138,David Hearn,66,66.67,207,138
139,140,140,Scott Stallings,96,66.58,371,247
140,141,141,Bill Haas,76,66.54,254,169
141,142,142,Adam Hadwin,92,66.42,271,180
142,T143,T143,Patrick Cantlay,87,66.4,253,168
143,T143,T143,Hideki Matsuyama,75,66.4,250,166
144,T143,T143,Keith Mitchell,99,66.4,372,247
145,146,146,Tom Hoge,101,66.39,360,239
146,147,147,Satoshi Kodaira,51,66.34,202,134
147,148,148,Troy Merritt,89,66.23,308,204
148,149,149,Byeong Hun An,86,66.03,312,206
149,150,150,Andrew Yun,51,66.01,153,101
150,151,151,Ethan Tracy,72,65.97,238,157
151,152,152,James Hahn,85,65.86,290,191
152,153,153,Tom Lovelady,87,65.81,313,206
153,154,154,Sam Ryder,82,65.67,268,176
154,T155,T155,Russell Henley,77,65.5,229,150
155,T155,T155,Cameron Percy,56,65.5,171,112
156,157,157,Harris English,84,65.49,284,186
157,158,158,Matt Atkins,56,65.36,179,117
158,159,159,Kevin Streelman,94,65.35,303,198
159,160,160,Luke List,98,65.29,340,222
160,161,161,Ryan Armour,109,65.25,377,246
161,162,162,Vaughn Taylor,83,65.22,276,180
162,T163,T163,J.B. Holmes,77,64.94,308,200
163,T163,T163,Rob Oppenheim,74,64.94,231,150
164,165,165,Lucas Glover,65,64.77,193,125
165,166,166,Ryan Palmer,69,64.66,266,172
166,167,167,Ryan Moore,78,64.53,265,171
167,168,168,Kevin Chappell,77,64.5,262,169
168,169,169,Stewart Cink,87,64.31,269,173
169,170,170,Corey Conners,97,64.29,322,207
170,171,171,Ryan Blaum,81,64.26,277,178
171,172,172,Grayson Murray,72,64.18,268,172
172,173,173,Brendan Steele,74,64.16,226,145
173,174,174,Martin Flores,92,64.0,300,192
174,175,175,Francesco Molinari,73,63.85,213,136
175,176,176,J.J. Spaun,85,63.8,279,178
176,177,177,Zach Johnson,94,63.75,251,160
177,178,178,Jason Dufner,71,63.56,225,143
178,179,179,Shane Lowry,64,63.46,208,132
179,180,180,Cameron Tringale,67,63.43,216,137
180,181,181,Mackenzie Hughes,80,63.37,303,192
181,182,182,Conrad Shindler,60,63.28,177,112
182,183,183,Zecheng Dou,53,63.03,165,104
183,184,184,Matt Every,79,62.04,245,152
184,185,185,Chad Campbell,87,61.67,287,177
185,186,186,Matt Jones,70,61.34,194,119
186,187,187,Stephan Jaeger,81,61.13,265,162
187,188,188,Hudson Swafford,73,60.91,197,120
188,189,189,Tyler Duncan,97,60.5,357,216
189,190,190,Xinjun Zhang,81,60.41,245,148
190,191,191,J.J. Henry,81,59.0,239,141
191,192,192,Retief Goosen,60,58.05,174,101
192,193,193,Rod Pampling,62,57.14,182,104
