,3-Putts_per_Round_RANK THIS WEEK,3-Putts_per_Round_RANK LAST WEEK,3-Putts_per_Round_PLAYER NAME,3-Putts_per_Round_ROUNDS,3-Putts_per_Round_AVG,3-Putts_per_Round_TOTAL 3 PUTTS,3-Putts_per_Round_TOTAL ROUNDS
0,1,1,Satoshi Kodaira,51,0.98,47,48
1,2,2,Zecheng Dou,53,0.88,43,49
2,T3,T3,Grayson Murray,72,0.82,59,72
3,T3,T3,Adam Scott,78,0.82,64,78
4,5,5,Xinjun Zhang,81,0.8,60,75
5,6,6,Hudson Swafford,73,0.79,53,67
6,T7,T7,Kevin Chappell,77,0.77,57,74
7,T7,T7,Jason Dufner,71,0.77,49,64
8,T9,T9,Chad Campbell,87,0.75,59,79
9,T9,T9,Keith Mitchell,99,0.75,73,97
10,T11,T11,Tyler Duncan,97,0.72,67,93
11,T11,T11,Louis Oosthuizen,62,0.72,39,54
12,13,13,Robert Garrigus,80,0.71,54,76
13,T14,T14,Scott Piercy,84,0.7,56,80
14,T14,T14,Kyle Thompson,50,0.7,32,46
15,T16,T16,Corey Conners,97,0.69,64,93
16,T16,T16,Lucas Glover,65,0.69,42,61
17,T16,T16,Sam Ryder,82,0.69,55,80
18,T19,T19,Tom Lovelady,87,0.67,54,81
19,T19,T19,Brendan Steele,74,0.67,45,67
20,T19,T19,Andrew Yun,51,0.67,30,45
21,T22,T22,Patrick Cantlay,87,0.66,53,80
22,T22,T22,Brian Harman,94,0.66,59,90
23,T22,T22,Tom Hoge,101,0.66,61,93
24,T22,T22,Ethan Tracy,72,0.66,45,68
25,T22,T22,Jhonattan Vegas,92,0.66,59,89
26,T27,T27,Matt Atkins,56,0.65,34,52
27,T27,T27,Joel Dahmen,93,0.65,55,85
28,T27,T27,Bryson DeChambeau,93,0.65,60,93
29,T27,T27,Matt Every,79,0.65,49,75
30,T27,T27,David Hearn,66,0.65,39,60
31,T27,T27,Brooks Koepka,64,0.65,40,62
32,T27,T27,Martin Laird,73,0.65,42,65
33,T27,T27,Vaughn Taylor,83,0.65,51,79
34,T27,T27,Cameron Tringale,67,0.65,41,63
35,T27,T27,Aaron Wise,90,0.65,57,88
36,T37,T37,Rafa Cabrera Bello,75,0.64,45,70
37,T37,T37,Graeme McDowell,67,0.64,38,59
38,T37,T37,Gary Woodland,96,0.64,58,91
39,40,40,Jon Rahm,71,0.62,41,66
40,T41,T41,Lanto Griffin,80,0.61,45,74
41,T41,T41,Matt Jones,70,0.61,38,62
42,T41,T41,Shane Lowry,64,0.61,34,56
43,T41,T41,Hideki Matsuyama,75,0.61,44,72
44,T41,T41,Nick Taylor,94,0.61,55,90
45,T46,T46,Luke List,98,0.6,57,95
46,T46,T46,Rob Oppenheim,74,0.6,41,68
47,T46,T46,Peter Uihlein,83,0.6,47,78
48,T46,T46,Harold Varner III,91,0.6,53,89
49,T50,T50,Branden Grace,67,0.59,38,64
50,T50,T50,Adam Schenk,86,0.59,47,80
51,T52,T52,Martin Flores,92,0.58,50,86
52,T52,T52,Russell Knox,94,0.58,52,90
53,T52,T52,Martin Piller,79,0.58,45,77
54,T52,T52,Jordan Spieth,81,0.58,44,76
55,T56,T56,Blayne Barber,69,0.57,38,67
56,T56,T56,J.J. Henry,81,0.57,43,75
57,T56,T56,Ryan Palmer,69,0.57,36,63
58,T56,T56,D.A. Points,63,0.57,35,61
59,T56,T56,Rory Sabbatini,91,0.57,51,89
60,T61,T61,Ryan Blaum,81,0.56,44,78
61,T61,T61,Francesco Molinari,73,0.56,39,70
62,T61,T61,Kyle Stanley,93,0.56,49,88
63,T64,T64,Jonathan Byrd,70,0.55,34,62
64,T64,T64,Brandon Harkins,101,0.55,52,95
65,T64,T64,"Ted Potter, Jr.",87,0.55,48,87
66,T67,T67,Byeong Hun An,86,0.54,45,84
67,T67,T67,Kiradech Aphibarnrat,51,0.54,25,46
68,T67,T67,Ryan Armour,109,0.54,58,107
69,T67,T67,Retief Goosen,60,0.54,28,52
70,T67,T67,James Hahn,85,0.54,44,82
71,T67,T67,Nicholas Lindheim,77,0.54,37,69
72,T67,T67,Jonathan Randolph,71,0.54,35,65
73,T67,T67,Shawn Stefani,76,0.54,40,74
74,T67,T67,Brett Stegmaier,67,0.54,33,61
75,T67,T67,Richy Werenski,98,0.54,50,92
76,T77,T77,Bud Cauley,55,0.53,28,53
77,T77,T77,Roberto Díaz,72,0.53,36,68
78,T77,T77,Tommy Fleetwood,73,0.53,35,66
79,T77,T77,J.B. Holmes,77,0.53,40,75
80,T77,T77,Billy Hurley III,70,0.53,34,64
81,T77,T77,Jason Kokrak,99,0.53,52,99
82,T77,T77,Rod Pampling,62,0.53,31,58
83,T77,T77,Andrew Putnam,97,0.53,47,89
84,T77,T77,Chez Reavie,93,0.53,46,86
85,T77,T77,Charl Schwartzel,65,0.53,31,58
86,T77,T77,J.J. Spaun,85,0.53,42,79
87,T88,T88,Bronson Burgoon,69,0.52,36,69
88,T88,T88,Sung Kang,89,0.52,44,85
89,T88,T88,Whee Kim,93,0.52,46,89
90,T88,T88,Kelly Kraft,94,0.52,48,92
91,T88,T88,Conrad Shindler,60,0.52,29,56
92,T93,T93,Jonas Blixt,67,0.51,31,61
93,T93,T93,Paul Casey,74,0.51,36,71
94,T93,T93,Stewart Cink,87,0.51,44,87
95,T93,T93,Austin Cook,107,0.51,55,107
96,T93,T93,Brice Garnett,99,0.51,48,95
97,T93,T93,Charley Hoffman,87,0.51,41,80
98,T93,T93,Stephan Jaeger,81,0.51,38,75
99,T93,T93,Patton Kizzire,92,0.51,45,89
100,T93,T93,Anirban Lahiri,82,0.51,42,82
101,T93,T93,Chris Stroud,81,0.51,37,73
102,T103,T103,Derek Fathauer,84,0.5,40,80
103,T103,T103,Talor Gooch,78,0.5,36,72
104,T103,T103,Danny Lee,88,0.5,43,86
105,T103,T103,Marc Leishman,93,0.5,45,90
106,T103,T103,Robert Streb,78,0.5,37,74
107,T103,T103,Michael Thompson,62,0.5,29,58
108,T109,T109,Aaron Baddeley,84,0.49,38,78
109,T109,T109,Daniel Berger,81,0.49,37,76
110,T109,T109,Keegan Bradley,98,0.49,46,93
111,T109,T109,Fabián Gómez,88,0.49,41,84
112,T109,T109,Cody Gribble,71,0.49,32,65
113,T109,T109,Adam Hadwin,92,0.49,44,89
114,T109,T109,Russell Henley,77,0.49,36,74
115,T109,T109,Jamie Lovemark,92,0.49,43,88
116,T109,T109,Patrick Rodgers,97,0.49,46,93
117,T109,T109,Xander Schauffele,96,0.49,46,93
118,T119,T119,Abraham Ancer,98,0.48,46,96
119,T119,T119,Emiliano Grillo,94,0.48,44,92
120,T119,T119,Tyrrell Hatton,58,0.48,26,54
121,T119,T119,Billy Horschel,86,0.48,39,82
122,T119,T119,Trey Mullinax,75,0.48,33,69
123,T119,T119,Justin Rose,70,0.48,32,66
124,T125,T125,C.T. Pan,104,0.47,46,98
125,T125,T125,Pat Perez,82,0.47,35,75
126,T125,T125,Seamus Power,86,0.47,37,78
127,T125,T125,Bubba Watson,90,0.47,37,79
128,T129,T129,Michael Kim,74,0.46,32,70
129,T129,T129,David Lingmerth,82,0.46,36,78
130,T129,T129,Tiger Woods,68,0.46,31,68
131,T132,T132,Mackenzie Hughes,80,0.45,34,76
132,T132,T132,Matt Kuchar,88,0.45,36,80
133,T132,T132,Ryan Moore,78,0.45,35,78
134,T132,T132,Ollie Schniederjans,91,0.45,39,87
135,T136,T136,Ricky Barnes,65,0.44,26,59
136,T136,T136,Jim Furyk,50,0.44,21,48
137,T136,T136,Beau Hossler,104,0.44,46,104
138,T136,T136,Chris Kirk,108,0.44,47,106
139,T136,T136,William McGirt,84,0.44,34,78
140,T136,T136,Phil Mickelson,90,0.44,38,87
141,T136,T136,Cameron Percy,56,0.44,22,50
142,T136,T136,Ben Silverman,90,0.44,37,84
143,T136,T136,Scott Stallings,96,0.44,40,90
144,T145,T145,Chesson Hadley,103,0.43,43,99
145,T145,T145,Charles Howell III,104,0.43,43,100
146,T145,T145,John Huh,94,0.43,39,90
147,T145,T145,Si Woo Kim,108,0.43,45,104
148,T145,T145,Denny McCarthy,71,0.43,27,63
149,T145,T145,Rory McIlroy,64,0.43,26,61
150,T145,T145,Alex Noren,67,0.43,26,60
151,T145,T145,Sean O'Hair,67,0.43,27,63
152,T145,T145,Patrick Reed,94,0.43,37,86
153,T145,T145,Justin Thomas,91,0.43,35,82
154,T145,T145,Kevin Tway,110,0.43,45,104
155,T145,T145,Tyrone Van Aswegen,101,0.43,40,93
156,T145,T145,Steve Wheatcroft,60,0.43,25,58
157,T158,T158,Alex Cejka,77,0.42,29,69
158,T158,T158,Tony Finau,105,0.42,41,98
159,T158,T158,Brian Gay,103,0.42,42,101
160,T158,T158,Troy Merritt,89,0.42,36,85
161,T158,T158,Kevin Na,91,0.42,36,86
162,T163,T163,Harris English,84,0.41,32,78
163,T163,T163,Ben Martin,64,0.41,26,64
164,T163,T163,Sam Saunders,80,0.41,30,74
165,T163,T163,Henrik Stenson,60,0.41,23,56
166,T167,T167,Dominic Bozzelli,65,0.4,26,65
167,T167,T167,Scott Brown,102,0.4,39,98
168,T167,T167,Jason Day,75,0.4,27,68
169,T167,T167,Zach Johnson,94,0.4,35,87
170,T167,T167,Hunter Mahan,67,0.4,25,63
171,T167,T167,Brandt Snedeker,84,0.4,33,82
172,T173,T173,Ben Crane,65,0.39,23,59
173,T173,T173,Bill Haas,76,0.39,29,74
174,T173,T173,Andrew Landry,82,0.39,31,80
175,T173,T173,J.T. Poston,73,0.39,28,71
176,T173,T173,Jimmy Walker,81,0.39,30,77
177,T178,T178,Zac Blair,64,0.38,22,58
178,T178,T178,Rickie Fowler,74,0.38,28,74
179,T178,T178,Nate Lashley,51,0.38,18,47
180,T178,T178,Ian Poulter,73,0.38,24,64
181,T178,T178,Kevin Streelman,94,0.38,35,92
182,T178,T178,Nick Watney,94,0.38,34,90
183,184,184,Wesley Bryan,69,0.37,25,67
184,T185,T185,Dustin Johnson,77,0.36,27,74
185,T185,T185,Johnson Wagner,75,0.36,25,69
186,T187,T187,Cameron Smith,85,0.35,27,78
187,T187,T187,Brian Stuard,103,0.35,34,97
188,T189,T189,Peter Malnati,87,0.33,27,83
189,T189,T189,Webb Simpson,95,0.33,30,92
190,191,191,Kevin Kisner,89,0.31,24,78
191,T192,T192,Greg Chalmers,56,0.27,14,52
192,T192,T192,Daniel Summerhays,51,0.27,12,45
