,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,T1,T1,Dustin Johnson,77,1.699,1597,940,37.04,9
1,T1,T1,Phil Mickelson,90,1.699,1726,1016,35.96,T137
2,3,3,Ricky Barnes,65,1.7080000000000002,1156,677,34.37,155
3,4,4,Justin Thomas,91,1.714,1740,1015,35.08,T45
4,5,5,Jason Day,75,1.716,1371,799,34.63,T124
5,6,6,Kevin Na,91,1.722,1724,1001,32.87,142
6,7,7,Peter Malnati,87,1.723,1621,941,32.23,171
7,8,8,Brian Gay,103,1.726,2025,1173,32.39,145
8,T9,T9,Justin Rose,70,1.732,1439,831,34.38,23
9,T9,T9,Ollie Schniederjans,91,1.732,1703,983,33.13,173
10,11,11,Tony Finau,105,1.735,2148,1238,32.79,18
11,12,12,Rory McIlroy,64,1.736,1264,728,33.1,106
12,13,13,Daniel Summerhays,51,1.7369999999999999,799,460,30.07,193
13,14,14,David Lingmerth,82,1.7380000000000002,1538,885,32.62,T168
14,T15,T15,Chesson Hadley,103,1.74,2098,1206,31.89,75
15,T15,T15,Sam Saunders,80,1.74,1507,866,33.06,133
16,T17,T17,John Huh,94,1.7409999999999999,1856,1066,30.82,111
17,T17,T17,Webb Simpson,95,1.7409999999999999,1959,1125,29.45,66
18,T19,T19,Zach Johnson,94,1.742,1840,1056,30.74,80
19,T19,T19,Danny Lee,88,1.742,1754,1007,31.37,131
20,21,21,Brandt Snedeker,84,1.743,1673,960,29.99,132
21,T22,T22,Rickie Fowler,74,1.744,1615,926,31.75,29
22,T22,T22,Whee Kim,93,1.744,1775,1018,31.3,161
23,T22,T22,Tiger Woods,68,1.744,1439,825,32.93,82
24,T25,T25,Tommy Fleetwood,73,1.745,1438,824,34.14,32
25,T25,T25,Brandon Harkins,101,1.745,1960,1123,33.33,113
26,T25,T25,Ben Martin,64,1.745,1286,737,29.97,150
27,T25,T25,Cameron Smith,85,1.745,1548,887,31.75,167
28,T29,T29,Michael Kim,74,1.746,1334,764,30.39,186
29,T29,T29,Patrick Reed,94,1.746,1718,984,31.5,160
30,T31,T31,Greg Chalmers,56,1.7469999999999999,931,533,29.08,192
31,T31,T31,Brooks Koepka,64,1.7469999999999999,1331,762,33.42,54
32,T31,T31,Troy Merritt,89,1.7469999999999999,1742,997,31.05,130
33,T31,T31,J.T. Poston,73,1.7469999999999999,1525,873,30.31,52
34,T31,T31,Jon Rahm,71,1.7469999999999999,1455,833,34.46,20
35,T36,T36,Wesley Bryan,69,1.7480000000000002,1292,739,29.21,183
36,T36,T36,Beau Hossler,104,1.7480000000000002,2224,1272,30.47,65
37,T36,T36,Aaron Wise,90,1.7480000000000002,1905,1090,32.32,43
38,39,39,Marc Leishman,93,1.749,1889,1080,32.44,96
39,40,40,Dominic Bozzelli,65,1.75,1248,713,30.66,185
40,41,41,Jamie Lovemark,92,1.751,1793,1024,31.31,143
41,42,42,Tom Hoge,101,1.7519999999999998,1866,1065,32.27,158
42,T43,T43,Derek Fathauer,84,1.754,1524,869,30.06,189
43,T43,T43,Emiliano Grillo,94,1.754,1999,1140,30.99,41
44,T43,T43,Hideki Matsuyama,75,1.754,1575,898,32.1,34
45,T43,T43,Ryan Palmer,69,1.754,1305,744,32.75,118
46,T43,T43,Johnson Wagner,75,1.754,1479,843,28.96,69
47,T48,T48,Jordan Spieth,81,1.755,1692,964,32.22,T12
48,T48,T48,Nick Watney,94,1.755,1932,1101,29.42,64
49,T50,T50,Alex Cejka,77,1.756,1391,792,29.11,154
50,T50,T50,Austin Cook,107,1.756,2249,1281,31.04,100
51,T50,T50,Andrew Landry,82,1.756,1659,945,28.51,116
52,T50,T50,Jimmy Walker,81,1.756,1507,858,30.72,180
53,T54,T54,Billy Horschel,86,1.757,1861,1059,30.34,3
54,T54,T54,Hunter Mahan,67,1.757,1374,782,30.22,39
55,T54,T54,Ben Silverman,90,1.757,1725,982,29.46,134
