,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Michael Thompson,62,"11' 11""",2343.667,197,62,"5"""
1,2,2,Roberto Díaz,72,"11' 7""",1950.75,168,57,"7"""
2,T3,T3,Whee Kim,93,"11' 3""",2879.25,255,64,"3"""
3,T3,T3,Nicholas Lindheim,77,"11' 3""",2331.083,207,59,"3"""
4,T5,T5,Greg Chalmers,56,"11' 2""",1314.0,118,42,1
5,T5,T5,Emiliano Grillo,94,"11' 2""",3249.75,291,58,"2"""
6,T5,T5,Beau Hossler,104,"11' 2""",3683.333,331,70,"2"""
7,T8,T8,Brian Harman,94,"11' 1""",2843.917,257,58,"6"""
8,T8,T8,Ben Silverman,90,"11' 1""",2771.417,250,56,"3"""
9,10,10,Russell Knox,94,"11' 0""",2555.667,233,54,"2"""
10,T11,T11,Ryan Blaum,81,"10' 10""",2822.667,260,49,"3"""
11,T11,T11,Wesley Bryan,69,"10' 10""",1740.5829999999999,161,58,"3"""
12,T11,T11,Harris English,84,"10' 10""",2455.667,226,51,"6"""
13,T11,T11,Rob Oppenheim,74,"10' 10""",1817.9170000000001,168,43,"5"""
14,T15,T15,Brandt Snedeker,84,"10' 9""",2773.083,257,49,"1"""
15,T15,T15,Brett Stegmaier,67,"10' 9""",1806.8329999999999,168,60,"4"""
16,T17,T17,Jim Furyk,50,"10' 8""",1425.6670000000001,134,59,"3"""
17,T17,T17,Michael Kim,74,"10' 8""",1754.0,165,50,"3"""
18,T17,T17,Kevin Kisner,89,"10' 8""",2175.583,204,54,"4"""
19,T17,T17,Kevin Na,91,"10' 8""",2885.5,271,62,"3"""
20,T17,T17,Andrew Yun,51,"10' 8""",1113.083,104,64,"1"""
21,T22,T22,Kiradech Aphibarnrat,51,"10' 7""",1129.833,107,49,"5"""
22,T22,T22,Derek Fathauer,84,"10' 7""",2275.833,215,63,"2"""
23,T22,T22,Martin Laird,73,"10' 7""",2404.333,228,56,"2"""
24,T22,T22,D.A. Points,63,"10' 7""",1574.9170000000001,149,55,"1"""
25,T22,T22,Conrad Shindler,60,"10' 7""",1489.0,141,50,"3"""
26,T27,T27,Andrew Landry,82,"10' 6""",2481.75,236,56,"2"""
27,T27,T27,William McGirt,84,"10' 6""",2523.167,240,42,"4"""
28,T29,T29,Ryan Armour,109,"10' 5""",3498.0,335,60,"5"""
29,T29,T29,Brian Gay,103,"10' 5""",3449.417,332,59,"3"""
30,T29,T29,Adam Hadwin,92,"10' 5""",2328.25,224,57,"4"""
31,T29,T29,Adam Schenk,86,"10' 5""",2229.583,214,51,"3"""
32,T29,T29,Daniel Summerhays,51,"10' 5""",1156.417,111,40,"4"""
33,T29,T29,Johnson Wagner,75,"10' 5""",1931.8329999999999,186,50,"5"""
34,T35,T35,Blayne Barber,69,"10' 4""",2219.5,214,55,"2"""
35,T35,T35,David Hearn,66,"10' 4""",1805.0,175,42,"6"""
36,T35,T35,Zach Johnson,94,"10' 4""",2711.583,263,46,"5"""
37,T35,T35,Matt Jones,70,"10' 4""",1656.5,160,63,"2"""
38,T35,T35,Matt Kuchar,88,"10' 4""",2324.75,225,64,"3"""
39,T35,T35,Denny McCarthy,71,"10' 4""",1735.25,168,62,"4"""
40,T35,T35,Pat Perez,82,"10' 4""",1819.0,176,43,"3"""
41,T35,T35,Seamus Power,86,"10' 4""",2329.833,226,60,"1"""
42,T35,T35,Cameron Tringale,67,"10' 4""",1589.8329999999999,154,58,"4"""
43,T44,T44,Cody Gribble,71,"10' 3""",1914.0,186,48,"2"""
44,T44,T44,Alex Noren,67,"10' 3""",1678.75,164,42,"2"""
45,T44,T44,J.T. Poston,73,"10' 3""",2109.083,206,62,"2"""
46,T44,T44,Scott Stallings,96,"10' 3""",2627.5,257,55,"4"""
47,T44,T44,Harold Varner III,91,"10' 3""",2582.833,252,56,"3"""
48,T49,T49,Ricky Barnes,65,"10' 2""",1702.25,168,47,"6"""
49,T49,T49,Talor Gooch,78,"10' 2""",2011.5829999999999,198,52,"2"""
50,T49,T49,Bill Haas,76,"10' 2""",1884.5,186,52,"5"""
51,T49,T49,Tom Lovelady,87,"10' 2""",2594.75,255,51,"1"""
52,T49,T49,Shane Lowry,64,"10' 2""",1764.5,173,74,"2"""
53,T49,T49,Kyle Stanley,93,"10' 2""",2523.667,249,59,"4"""
54,T55,T55,Russell Henley,77,"10' 1""",2081.083,206,47,"1"""
