,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Emiliano Grillo,94,102.74,984,47,964
1,2,2,Beau Hossler,104,102.68,1230,58,1205
2,3,3,Kevin Kisner,89,102.41,912,37,897
3,4,4,Alex Noren,67,102.19,684,32,667
4,5,5,Jason Day,75,101.95,666,22,657
5,6,6,Brian Harman,94,101.88,1012,48,983
6,7,7,Brandt Snedeker,84,101.76,1023,44,997
7,8,8,Greg Chalmers,56,101.75,570,23,557
8,9,9,Jim Furyk,50,101.69,650,22,639
9,10,10,Brett Stegmaier,67,101.67,660,28,643
10,11,11,Brian Gay,103,101.63,1289,49,1261
11,12,12,Michael Thompson,62,101.51,794,36,770
12,13,13,Tony Finau,105,101.47,1153,49,1121
13,T14,T14,Whee Kim,93,101.41,992,45,961
14,T14,T14,Martin Laird,73,101.41,854,38,828
15,16,16,Tommy Fleetwood,73,101.33,752,32,730
16,17,17,Blayne Barber,69,101.3,844,31,824
17,18,18,Peter Uihlein,83,101.29,927,35,904
18,19,19,Shane Lowry,64,101.22,736,23,722
19,20,20,Johnson Wagner,75,101.18,761,28,742
20,21,21,Dustin Johnson,77,101.15,867,36,841
21,22,22,Bronson Burgoon,69,101.14,791,21,779
22,23,23,Henrik Stenson,60,101.08,647,22,632
23,24,24,Jonathan Randolph,71,101.07,843,31,821
24,25,25,Troy Merritt,89,101.06,1039,35,1015
25,26,26,Ethan Tracy,72,101.05,764,24,748
26,27,27,Kevin Tway,110,101.01,1285,41,1257
27,28,28,Trey Mullinax,75,100.96,833,25,816
28,29,29,Harold Varner III,91,100.95,1055,38,1027
29,30,30,Daniel Berger,81,100.93,861,24,845
30,31,31,Xander Schauffele,96,100.89,1015,31,993
31,T32,T32,Austin Cook,107,100.87,1258,37,1232
32,T32,T32,Ben Martin,64,100.87,804,28,783
33,34,34,Derek Fathauer,84,100.84,954,32,930
34,35,35,Justin Rose,70,100.82,729,27,708
35,T36,T36,Andrew Landry,82,100.78,1027,30,1005
36,T36,T36,Graeme McDowell,67,100.78,640,21,624
37,38,38,Billy Horschel,86,100.74,1083,31,1060
38,39,39,David Lingmerth,82,100.73,963,30,940
39,40,40,James Hahn,85,100.7,994,33,968
40,41,41,Patrick Rodgers,97,100.68,1030,32,1005
41,T42,T42,Michael Kim,74,100.66,755,26,734
42,T42,T42,Seamus Power,86,100.66,914,30,890
43,T42,T42,Ben Silverman,90,100.66,1053,37,1023
44,45,45,Phil Mickelson,90,100.64,934,31,909
45,46,46,John Huh,94,100.63,1116,31,1092
46,47,47,Chris Kirk,108,100.59,1365,45,1328
47,48,48,Daniel Summerhays,51,100.58,516,14,505
48,49,49,Wesley Bryan,69,100.56,710,23,691
49,50,50,Aaron Wise,90,100.54,1118,38,1086
50,51,51,Roberto Díaz,72,100.51,785,29,760
51,52,52,Brandon Harkins,101,100.5,1203,42,1167
52,53,53,Chesson Hadley,103,100.48,1242,34,1214
53,54,54,William McGirt,84,100.46,1089,38,1056
54,T55,T55,Patton Kizzire,92,100.45,1114,34,1085
55,T55,T55,Andrew Putnam,97,100.45,1099,35,1069
56,T55,T55,Webb Simpson,95,100.45,1117,35,1087
57,T58,T58,Anirban Lahiri,82,100.43,928,28,904
58,T58,T58,Adam Schenk,86,100.43,941,32,913
59,60,60,Adam Hadwin,92,100.42,945,28,921
60,61,61,Robert Streb,78,100.34,878,31,850
61,62,62,Matt Kuchar,88,100.33,912,26,889
62,63,63,Martin Piller,79,100.32,938,29,912
63,64,64,Harris English,84,100.31,958,34,927
64,65,65,Denny McCarthy,71,100.29,693,23,672
65,66,66,Rory Sabbatini,91,100.28,1054,36,1021
66,67,67,Charles Howell III,104,100.27,1118,28,1093
67,68,68,Rickie Fowler,74,100.23,860,23,839
68,69,69,Justin Thomas,91,100.21,968,33,937
69,T70,T70,Kelly Kraft,94,100.19,1036,28,1010
70,T70,T70,Peter Malnati,87,100.19,1037,26,1013
71,72,72,Abraham Ancer,98,100.17,1186,31,1157
72,73,73,Conrad Shindler,60,100.16,639,22,618
73,T74,T74,Russell Henley,77,100.12,829,31,799
74,T74,T74,Nicholas Lindheim,77,100.12,840,32,809
75,76,76,Patrick Reed,94,100.11,895,26,870
76,T77,T77,Ryan Blaum,81,100.1,1011,39,973
77,T77,T77,Bill Haas,76,100.1,973,34,940
78,T77,T77,Kevin Na,91,100.1,968,39,930
79,T77,T77,Kyle Stanley,93,100.1,967,33,935
80,81,81,Nick Watney,94,100.09,1136,33,1104
81,T82,T82,Charley Hoffman,87,100.0,973,27,946
82,T82,T82,Mackenzie Hughes,80,100.0,980,27,953
83,T82,T82,Tom Lovelady,87,100.0,974,41,933
84,T82,T82,Sam Saunders,80,100.0,943,24,919
85,86,86,Brice Garnett,99,99.92,1188,30,1157
86,87,87,Gary Woodland,96,99.9,996,32,963
87,88,88,Jimmy Walker,81,99.89,914,27,886
88,T89,T89,Billy Hurley III,70,99.88,824,31,792
89,T89,T89,Chris Stroud,81,99.88,818,22,795
90,91,91,Brooks Koepka,64,99.87,742,27,714
91,92,92,Zac Blair,64,99.85,657,21,635
92,93,93,Scott Brown,102,99.83,1160,31,1127
93,T94,T94,Si Woo Kim,108,99.82,1131,30,1099
94,T94,T94,Scott Stallings,96,99.82,1142,35,1105
95,T96,T96,Byeong Hun An,86,99.81,1041,25,1014
96,T96,T96,Joel Dahmen,93,99.81,1029,35,992
97,98,98,Andrew Yun,51,99.79,487,15,471
98,99,99,Kevin Streelman,94,99.75,1210,28,1179
99,T100,T100,Jamie Lovemark,92,99.73,1119,32,1084
100,T100,T100,Rory McIlroy,64,99.73,733,22,709
101,T100,T100,Pat Perez,82,99.73,728,24,702
102,T100,T100,Cameron Tringale,67,99.73,746,23,721
103,104,104,"Ted Potter, Jr.",87,99.72,1068,32,1033
104,T105,T105,Jonas Blixt,67,99.71,698,18,678
105,T105,T105,Rafa Cabrera Bello,75,99.71,690,25,663
106,T105,T105,D.A. Points,63,99.71,684,18,664
107,T105,T105,Steve Wheatcroft,60,99.71,679,19,658
108,109,109,Brian Stuard,103,99.68,1259,36,1219
109,T110,T110,Russell Knox,94,99.63,1076,35,1037
110,T110,T110,Richy Werenski,98,99.63,1072,32,1036
111,112,112,Cody Gribble,71,99.61,774,27,744
112,113,113,Hudson Swafford,73,99.6,749,20,726
113,114,114,C.T. Pan,104,99.58,1178,26,1147
114,115,115,Matt Jones,70,99.56,681,27,651
115,116,116,Dominic Bozzelli,65,99.53,850,25,821
116,117,117,Bubba Watson,90,99.48,966,19,942
117,118,118,Stephan Jaeger,81,99.46,928,24,899
118,T119,T119,Kevin Chappell,77,99.45,906,26,875
119,T119,T119,David Hearn,66,99.45,727,26,697
120,T119,T119,Hunter Mahan,67,99.45,729,23,702
121,122,122,Ian Poulter,73,99.43,704,17,683
122,123,123,Danny Lee,88,99.39,978,25,947
