,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
0,1,1,Cody Gribble,71,1.7,47,8.0
1,2,2,Whee Kim,93,1.65,79,13.0
2,3,3,Tom Lovelady,87,1.62,68,11.0
3,4,4,Tommy Fleetwood,73,1.5,60,9.0
4,5,5,Rob Oppenheim,74,1.49,47,7.0
5,T6,T6,Alex Noren,67,1.48,61,9.0
6,T6,T6,Tiger Woods,68,1.48,54,8.0
7,8,8,Ethan Tracy,72,1.43,56,8.0
8,9,9,Brandt Snedeker,84,1.41,92,13.0
9,10,10,Tony Finau,105,1.38,80,11.0
10,11,11,Troy Merritt,89,1.37,73,10.0
11,12,12,Sam Ryder,82,1.36,59,8.0
12,T13,T13,Ricky Barnes,65,1.35,37,5.0
13,T13,T13,Matt Jones,70,1.35,52,7.0
14,T13,T13,Brendan Steele,74,1.35,52,7.0
15,16,16,Ben Silverman,90,1.32,76,10.0
16,17,17,Dustin Johnson,77,1.31,61,8.0
17,18,18,Hudson Swafford,73,1.3,54,7.0
18,19,19,Emiliano Grillo,94,1.29,70,9.0
19,20,20,Andrew Yun,51,1.28,39,5.0
20,21,21,Jim Furyk,50,1.25,48,6.0
21,22,22,Tom Hoge,101,1.23,73,9.0
22,23,23,Zac Blair,64,1.22,49,6.0
23,24,24,Brooks Koepka,64,1.21,66,8.0
24,25,25,Chad Campbell,87,1.2,75,9.0
25,T26,T26,Francesco Molinari,73,1.19,59,7.0
26,T26,T26,Brett Stegmaier,67,1.19,59,7.0
27,28,28,Daniel Summerhays,51,1.18,17,2.0
28,T29,T29,Ryan Blaum,81,1.17,60,7.0
29,T29,T29,Stephan Jaeger,81,1.17,77,9.0
30,T31,T31,Martin Laird,73,1.15,61,7.0
31,T31,T31,Patrick Reed,94,1.15,61,7.0
32,T31,T31,Cameron Smith,85,1.15,61,7.0
33,T34,T34,Brandon Harkins,101,1.14,79,9.0
34,T34,T34,Kyle Stanley,93,1.14,79,9.0
35,36,36,Justin Rose,70,1.13,53,6.0
36,37,37,Beau Hossler,104,1.12,89,10.0
37,T38,T38,Dominic Bozzelli,65,1.11,54,6.0
38,T38,T38,Joel Dahmen,93,1.11,99,11.0
39,T38,T38,C.T. Pan,104,1.11,90,10.0
