,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Phil Mickelson,90,97.73,44,43
1,2,2,Trey Mullinax,75,96.67,30,29
2,3,3,Michael Kim,74,95.83,24,23
3,4,4,Talor Gooch,78,95.45,22,21
4,5,5,Greg Chalmers,56,95.0,20,19
5,6,6,Jason Day,75,94.74,38,36
6,7,7,Justin Thomas,91,94.29,70,66
7,8,8,Si Woo Kim,108,94.23,52,49
8,9,9,Andrew Yun,51,94.12,17,16
9,10,10,Jonathan Randolph,71,92.86,28,26
10,11,11,Billy Horschel,86,92.59,54,50
11,12,12,Justin Rose,70,92.5,40,37
12,T13,T13,Bud Cauley,55,92.31,26,24
13,T13,T13,John Huh,94,92.31,52,48
14,T13,T13,Anirban Lahiri,82,92.31,26,24
15,T13,T13,Shane Lowry,64,92.31,26,24
16,17,17,Beau Hossler,104,91.84,49,45
17,T18,T18,Louis Oosthuizen,62,91.67,24,22
18,T18,T18,Aaron Wise,90,91.67,72,66
19,20,20,David Lingmerth,82,91.43,35,32
20,21,21,D.A. Points,63,91.3,23,21
21,T22,T22,Derek Fathauer,84,91.18,34,31
22,T22,T22,Adam Hadwin,92,91.18,34,31
23,24,24,Kevin Tway,110,90.7,43,39
24,T25,T25,Tommy Fleetwood,73,90.63,32,29
25,T25,T25,Rory McIlroy,64,90.63,32,29
26,27,27,Mackenzie Hughes,80,90.48,42,38
27,28,28,Ryan Palmer,69,90.38,52,47
28,29,29,Cameron Tringale,67,90.32,31,28
29,30,30,Austin Cook,107,90.16,61,55
30,T31,T31,Stewart Cink,87,90.0,50,45
31,T31,T31,Graeme McDowell,67,90.0,20,18
32,33,33,Bryson DeChambeau,93,89.83,59,53
33,34,34,Aaron Baddeley,84,89.74,39,35
34,T35,T35,Billy Hurley III,70,89.66,29,26
35,T35,T35,Michael Thompson,62,89.66,29,26
36,37,37,Daniel Summerhays,51,89.47,19,17
37,T38,T38,Daniel Berger,81,89.19,37,33
38,T38,T38,Emiliano Grillo,94,89.19,37,33
39,T38,T38,James Hahn,85,89.19,37,33
40,T38,T38,Troy Merritt,89,89.19,37,33
41,42,42,Gary Woodland,96,89.09,55,49
42,T43,T43,Jason Kokrak,99,88.89,54,48
43,T43,T43,Sam Saunders,80,88.89,45,40
44,45,45,Charles Howell III,104,88.64,44,39
45,46,46,Hudson Swafford,73,88.46,26,23
46,T47,T47,Brooks Koepka,64,88.37,43,38
47,T47,T47,Kevin Na,91,88.37,43,38
48,49,49,Ricky Barnes,65,88.24,34,30
49,T50,T50,Patton Kizzire,92,88.1,42,37
50,T50,T50,Andrew Putnam,97,88.1,42,37
51,T52,T52,Jim Furyk,50,88.0,25,22
52,T52,T52,Chesson Hadley,103,88.0,50,44
53,54,54,Whee Kim,93,87.8,41,36
54,T55,T55,Scott Brown,102,87.5,40,35
55,T55,T55,Ian Poulter,73,87.5,24,21
56,57,57,Richy Werenski,98,87.23,47,41
57,58,58,Nicholas Lindheim,77,87.18,39,34
58,T59,T59,Brandt Snedeker,84,87.1,31,27
59,T59,T59,Ethan Tracy,72,87.1,31,27
60,T59,T59,Xinjun Zhang,81,87.1,31,27
61,62,62,Nick Watney,94,86.96,46,40
62,63,63,Marc Leishman,93,86.84,38,33
63,64,64,Henrik Stenson,60,86.67,30,26
64,T65,T65,Dustin Johnson,77,86.27,51,44
65,T65,T65,Scott Piercy,84,86.27,51,44
66,T67,T67,Ryan Armour,109,86.21,58,50
67,T67,T67,Bronson Burgoon,69,86.21,29,25
68,T69,T69,Charley Hoffman,87,86.11,36,31
69,T69,T69,Matt Kuchar,88,86.11,36,31
70,T69,T69,Adam Schenk,86,86.11,36,31
71,T69,T69,Peter Uihlein,83,86.11,36,31
72,T73,T73,Tyler Duncan,97,86.05,43,37
73,T73,T73,Brian Harman,94,86.05,43,37
74,T73,T73,Patrick Reed,94,86.05,43,37
75,76,76,Tyrone Van Aswegen,101,86.0,50,43
76,77,77,Seamus Power,86,85.71,28,24
77,78,78,Joel Dahmen,93,85.42,48,41
78,T79,T79,Kevin Kisner,89,85.29,34,29
79,T79,T79,Patrick Rodgers,97,85.29,34,29
80,81,81,Martin Laird,73,85.19,27,23
81,82,82,Abraham Ancer,98,85.11,47,40
82,83,83,J.J. Spaun,85,85.0,40,34
83,T84,T84,Brandon Harkins,101,84.91,53,45
84,T84,T84,Chris Kirk,108,84.91,53,45
85,86,86,Rickie Fowler,74,84.85,33,28
86,87,87,Zac Blair,64,84.62,26,22
87,88,88,Kelly Kraft,94,84.44,45,38
88,T89,T89,Alex Cejka,77,84.21,38,32
89,T89,T89,Lanto Griffin,80,84.21,38,32
90,91,91,Retief Goosen,60,84.0,25,21
91,92,92,Robert Streb,78,83.78,37,31
92,T93,T93,Patrick Cantlay,87,83.33,36,30
93,T93,T93,Paul Casey,74,83.33,30,25
94,T93,T93,Jason Dufner,71,83.33,18,15
95,T93,T93,Matt Every,79,83.33,36,30
96,T93,T93,J.B. Holmes,77,83.33,42,35
97,T93,T93,Satoshi Kodaira,51,83.33,24,20
98,T93,T93,Tiger Woods,68,83.33,36,30
99,T100,T100,Sam Ryder,82,82.93,41,34
100,T100,T100,Ollie Schniederjans,91,82.93,41,34
101,102,102,Jon Rahm,71,82.86,35,29
102,103,103,Martin Piller,79,82.76,29,24
103,104,104,Tom Hoge,101,82.54,63,52
104,T105,T105,Byeong Hun An,86,82.5,40,33
105,T105,T105,Ryan Moore,78,82.5,40,33
106,T107,T107,Blayne Barber,69,82.35,34,28
107,T107,T107,Brian Gay,103,82.35,51,42
108,T107,T107,David Hearn,66,82.35,34,28
109,T110,T110,Ben Martin,64,82.14,28,23
110,T110,T110,Pat Perez,82,82.14,28,23
111,112,112,Fabián Gómez,88,82.05,39,32
112,113,113,Keegan Bradley,98,81.97,61,50
113,T114,T114,Dominic Bozzelli,65,81.82,33,27
114,T114,T114,Shawn Stefani,76,81.82,33,27
115,116,116,Danny Lee,88,81.63,49,40
116,T117,T117,Andrew Landry,82,81.58,38,31
117,T117,T117,Ben Silverman,90,81.58,38,31
118,T117,T117,Kyle Stanley,93,81.58,38,31
119,T120,T120,Kiradech Aphibarnrat,51,81.25,16,13
120,T120,T120,Brian Stuard,103,81.25,48,39
121,T120,T120,Johnson Wagner,75,81.25,32,26
122,123,123,Xander Schauffele,96,80.95,42,34
123,124,124,Adam Scott,78,80.85,47,38
124,125,125,Cody Gribble,71,80.77,26,21
125,126,126,Charl Schwartzel,65,80.65,31,25
126,T127,T127,Harris English,84,80.56,36,29
127,T127,T127,Rod Pampling,62,80.56,36,29
128,T127,T127,Cameron Smith,85,80.56,36,29
129,130,130,Chez Reavie,93,80.49,41,33
130,131,131,Rory Sabbatini,91,80.43,46,37
131,T132,T132,William McGirt,84,80.0,45,36
132,T132,T132,C.T. Pan,104,80.0,40,32
133,T132,T132,Webb Simpson,95,80.0,45,36
134,T132,T132,Scott Stallings,96,80.0,45,36
135,T132,T132,Chris Stroud,81,80.0,35,28
136,137,137,Tony Finau,105,79.66,59,47
137,138,138,Jimmy Walker,81,79.55,44,35
138,T139,T139,Peter Malnati,87,79.49,39,31
139,T139,T139,Francesco Molinari,73,79.49,39,31
140,T139,T139,Sean O'Hair,67,79.49,39,31
141,142,142,Jhonattan Vegas,92,79.31,29,23
142,143,143,Alex Noren,67,79.17,24,19
143,T144,T144,Roberto Díaz,72,78.79,33,26
144,T144,T144,J.J. Henry,81,78.79,33,26
145,T146,T146,"Ted Potter, Jr.",87,78.72,47,37
146,T146,T146,Jordan Spieth,81,78.72,47,37
147,148,148,Ben Crane,65,78.57,28,22
148,149,149,Jonathan Byrd,70,78.13,32,25
149,T150,T150,Stephan Jaeger,81,78.05,41,32
150,T150,T150,Harold Varner III,91,78.05,41,32
151,T152,T152,Kevin Chappell,77,77.78,36,28
152,T152,T152,Steve Wheatcroft,60,77.78,36,28
153,T154,T154,Corey Conners,97,77.55,49,38
154,T154,T154,Kevin Streelman,94,77.55,49,38
155,156,156,Martin Flores,92,77.36,53,41
