,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,1,1,Zach Johnson,94,"1' 11""",759,1465.6670000000001
1,T2,T2,Ricky Barnes,65,"2' 0""",457,899.6669999999999
2,T2,T2,Keegan Bradley,98,"2' 0""",898,1830.3329999999999
3,T2,T2,J.J. Henry,81,"2' 0""",758,1540.0829999999999
4,T2,T2,William McGirt,84,"2' 0""",825,1676.6670000000001
5,T2,T2,Cameron Percy,56,"2' 0""",456,903.3330000000001
6,T2,T2,Cameron Smith,85,"2' 0""",621,1250.167
7,T8,T8,Ryan Armour,109,"2' 1""",1048,2217.083
8,T8,T8,Scott Brown,102,"2' 1""",890,1827.8329999999999
9,T8,T8,Ben Crane,65,"2' 1""",485,1017.75
10,T8,T8,Branden Grace,67,"2' 1""",461,967.0830000000001
11,T8,T8,Charles Howell III,104,"2' 1""",870,1823.5829999999999
12,T8,T8,Matt Jones,70,"2' 1""",513,1075.5
13,T8,T8,Andrew Landry,82,"2' 1""",792,1675.8329999999999
14,T8,T8,Francesco Molinari,73,"2' 1""",641,1313.1670000000001
15,T8,T8,Ryan Moore,78,"2' 1""",723,1532.6670000000001
16,T8,T8,Rod Pampling,62,"2' 1""",490,1038.5
17,T8,T8,J.T. Poston,73,"2' 1""",616,1278.667
18,T8,T8,Robert Streb,78,"2' 1""",668,1410.5829999999999
19,T8,T8,Kevin Tway,110,"2' 1""",981,2048.333
20,T8,T8,Bubba Watson,90,"2' 1""",739,1510.75
21,T22,T22,Matt Atkins,56,"2' 2""",426,940.3330000000001
22,T22,T22,Jonathan Byrd,70,"2' 2""",539,1173.5
23,T22,T22,Paul Casey,74,"2' 2""",518,1143.75
24,T22,T22,Bud Cauley,55,"2' 2""",417,912.9169999999999
25,T22,T22,Stewart Cink,87,"2' 2""",746,1592.25
26,T22,T22,Harris English,84,"2' 2""",724,1586.4170000000001
27,T22,T22,Tony Finau,105,"2' 2""",879,1876.8329999999999
28,T22,T22,Martin Flores,92,"2' 2""",809,1782.25
29,T22,T22,Brian Gay,103,"2' 2""",934,2054.0
30,T22,T22,Retief Goosen,60,"2' 2""",438,955.3330000000001
31,T22,T22,Cody Gribble,71,"2' 2""",560,1190.417
32,T22,T22,Bill Haas,76,"2' 2""",733,1604.4170000000001
33,T22,T22,James Hahn,85,"2' 2""",762,1651.5829999999999
34,T22,T22,J.B. Holmes,77,"2' 2""",721,1583.5829999999999
35,T22,T22,Michael Kim,74,"2' 2""",574,1226.25
36,T22,T22,Chris Kirk,108,"2' 2""",1026,2236.167
37,T22,T22,Russell Knox,94,"2' 2""",850,1829.8329999999999
38,T22,T22,Jamie Lovemark,92,"2' 2""",800,1710.8329999999999
39,T22,T22,Hunter Mahan,67,"2' 2""",567,1208.0
40,T22,T22,Kevin Na,91,"2' 2""",679,1451.8329999999999
41,T22,T22,Ian Poulter,73,"2' 2""",533,1176.0
42,T22,T22,Sam Saunders,80,"2' 2""",713,1573.0
43,T22,T22,Ollie Schniederjans,91,"2' 2""",788,1714.5829999999999
44,T22,T22,J.J. Spaun,85,"2' 2""",805,1739.9170000000001
45,T22,T22,Brett Stegmaier,67,"2' 2""",534,1154.083
46,T22,T22,Brian Stuard,103,"2' 2""",963,2094.583
47,T22,T22,Nick Watney,94,"2' 2""",883,1920.75
48,T22,T22,Steve Wheatcroft,60,"2' 2""",521,1127.5
49,T50,T50,Abraham Ancer,98,"2' 3""",883,1960.9170000000001
50,T50,T50,Aaron Baddeley,84,"2' 3""",751,1671.3329999999999
51,T50,T50,Jonas Blixt,67,"2' 3""",502,1122.5
52,T50,T50,Dominic Bozzelli,65,"2' 3""",614,1379.0829999999999
53,T50,T50,Chad Campbell,87,"2' 3""",733,1626.5829999999999
54,T50,T50,Patrick Cantlay,87,"2' 3""",752,1673.4170000000001
55,T50,T50,Corey Conners,97,"2' 3""",899,2052.833
56,T50,T50,Joel Dahmen,93,"2' 3""",779,1760.4170000000001
57,T50,T50,Jason Day,75,"2' 3""",492,1089.167
58,T50,T50,Bryson DeChambeau,93,"2' 3""",837,1908.6670000000001
59,T50,T50,Tyler Duncan,97,"2' 3""",947,2111.25
60,T50,T50,Derek Fathauer,84,"2' 3""",697,1591.4170000000001
61,T50,T50,Rickie Fowler,74,"2' 3""",670,1507.5829999999999
62,T50,T50,Brice Garnett,99,"2' 3""",905,2016.8329999999999
63,T50,T50,Robert Garrigus,80,"2' 3""",740,1689.5
64,T50,T50,Lucas Glover,65,"2' 3""",504,1152.5
65,T50,T50,Fabián Gómez,88,"2' 3""",803,1787.9170000000001
66,T50,T50,Talor Gooch,78,"2' 3""",661,1486.0
67,T50,T50,Chesson Hadley,103,"2' 3""",966,2204.25
68,T50,T50,Brandon Harkins,101,"2' 3""",896,1996.8329999999999
69,T50,T50,Russell Henley,77,"2' 3""",656,1493.9170000000001
70,T50,T50,Charley Hoffman,87,"2' 3""",732,1633.3329999999999
71,T50,T50,Billy Horschel,86,"2' 3""",849,1926.1670000000001
72,T50,T50,Mackenzie Hughes,80,"2' 3""",755,1705.8329999999999
73,T50,T50,Billy Hurley III,70,"2' 3""",617,1385.4170000000001
74,T50,T50,Stephan Jaeger,81,"2' 3""",710,1594.75
75,T50,T50,Dustin Johnson,77,"2' 3""",633,1406.5
76,T50,T50,Si Woo Kim,108,"2' 3""",815,1838.3329999999999
77,T50,T50,Patton Kizzire,92,"2' 3""",880,1974.9170000000001
78,T50,T50,Jason Kokrak,99,"2' 3""",989,2262.917
79,T50,T50,Matt Kuchar,88,"2' 3""",685,1517.25
80,T50,T50,Ben Martin,64,"2' 3""",589,1308.667
81,T50,T50,Alex Noren,67,"2' 3""",526,1162.25
82,T50,T50,Ryan Palmer,69,"2' 3""",641,1449.0829999999999
83,T50,T50,C.T. Pan,104,"2' 3""",931,2082.333
84,T50,T50,Pat Perez,82,"2' 3""",564,1257.167
85,T50,T50,Chez Reavie,93,"2' 3""",637,1446.3329999999999
86,T50,T50,Patrick Reed,94,"2' 3""",647,1471.0
87,T50,T50,Webb Simpson,95,"2' 3""",838,1917.0829999999999
88,T50,T50,Jordan Spieth,81,"2' 3""",705,1605.5829999999999
89,T50,T50,Kevin Streelman,94,"2' 3""",947,2095.083
90,T50,T50,Justin Thomas,91,"2' 3""",671,1503.0
91,T50,T50,Kyle Thompson,50,"2' 3""",405,908.6669999999999
92,T50,T50,Tyrone Van Aswegen,101,"2' 3""",900,2005.8329999999999
93,T50,T50,Harold Varner III,91,"2' 3""",815,1816.8329999999999
94,T50,T50,Tiger Woods,68,"2' 3""",598,1346.3329999999999
95,T96,T96,Byeong Hun An,86,"2' 4""",799,1880.75
96,T96,T96,Daniel Berger,81,"2' 4""",679,1595.5829999999999
97,T96,T96,Zac Blair,64,"2' 4""",487,1138.917
98,T96,T96,Wesley Bryan,69,"2' 4""",506,1183.583
99,T96,T96,Bronson Burgoon,69,"2' 4""",633,1499.5829999999999
100,T96,T96,Alex Cejka,77,"2' 4""",619,1444.3329999999999
101,T96,T96,Greg Chalmers,56,"2' 4""",423,995.3330000000001
102,T96,T96,Matt Every,79,"2' 4""",662,1533.9170000000001
103,T96,T96,Tommy Fleetwood,73,"2' 4""",579,1359.3329999999999
104,T96,T96,Jim Furyk,50,"2' 4""",487,1146.917
105,T96,T96,Emiliano Grillo,94,"2' 4""",764,1778.3329999999999
106,T96,T96,Adam Hadwin,92,"2' 4""",717,1678.8329999999999
107,T96,T96,Brian Harman,94,"2' 4""",767,1761.75
108,T96,T96,Tyrrell Hatton,58,"2' 4""",455,1068.167
109,T96,T96,David Hearn,66,"2' 4""",558,1293.083
110,T96,T96,Tom Hoge,101,"2' 4""",843,1946.0829999999999
111,T96,T96,Beau Hossler,104,"2' 4""",952,2230.083
112,T96,T96,Whee Kim,93,"2' 4""",748,1749.25
113,T96,T96,Nate Lashley,51,"2' 4""",394,904.5830000000001
114,T96,T96,David Lingmerth,82,"2' 4""",715,1694.5829999999999
115,T96,T96,Luke List,98,"2' 4""",862,2025.3329999999999
116,T96,T96,Peter Malnati,87,"2' 4""",741,1727.1670000000001
117,T96,T96,Denny McCarthy,71,"2' 4""",547,1293.5
118,T96,T96,Rory McIlroy,64,"2' 4""",525,1206.583
119,T96,T96,Troy Merritt,89,"2' 4""",768,1816.4170000000001
120,T96,T96,Trey Mullinax,75,"2' 4""",651,1507.1670000000001
121,T96,T96,Seamus Power,86,"2' 4""",696,1603.6670000000001
122,T96,T96,Andrew Putnam,97,"2' 4""",852,1971.9170000000001
123,T96,T96,Patrick Rodgers,97,"2' 4""",788,1839.5829999999999
124,T96,T96,Adam Scott,78,"2' 4""",668,1555.3329999999999
125,T96,T96,Conrad Shindler,60,"2' 4""",476,1105.0
126,T96,T96,Ben Silverman,90,"2' 4""",814,1895.9170000000001
127,T96,T96,Brandt Snedeker,84,"2' 4""",779,1841.1670000000001
128,T96,T96,Kyle Stanley,93,"2' 4""",754,1742.9170000000001
129,T96,T96,Brendan Steele,74,"2' 4""",632,1458.0
130,T96,T96,Shawn Stefani,76,"2' 4""",666,1543.4170000000001
131,T96,T96,Chris Stroud,81,"2' 4""",599,1378.6670000000001
132,T96,T96,Daniel Summerhays,51,"2' 4""",376,870.4169999999999
133,T96,T96,Nick Taylor,94,"2' 4""",822,1921.1670000000001
134,T96,T96,Michael Thompson,62,"2' 4""",632,1488.8329999999999
135,T96,T96,Jhonattan Vegas,92,"2' 4""",693,1644.6670000000001
136,T96,T96,Johnson Wagner,75,"2' 4""",586,1382.6670000000001
137,T96,T96,Richy Werenski,98,"2' 4""",825,1902.75
138,T96,T96,Gary Woodland,96,"2' 4""",773,1779.75
139,T140,T140,Kiradech Aphibarnrat,51,"2' 5""",361,881.4169999999999
140,T140,T140,Blayne Barber,69,"2' 5""",683,1678.5829999999999
141,T140,T140,Rafa Cabrera Bello,75,"2' 5""",520,1254.833
142,T140,T140,Jason Dufner,71,"2' 5""",562,1371.3329999999999
143,T140,T140,Lanto Griffin,80,"2' 5""",664,1584.1670000000001
144,T140,T140,John Huh,94,"2' 5""",879,2106.333
