,Total_3_Putts_-_5-10_RANK THIS WEEK,Total_3_Putts_-_5-10_RANK LAST WEEK,Total_3_Putts_-_5-10_PLAYER NAME,Total_3_Putts_-_5-10_ROUNDS,Total_3_Putts_-_5-10_TOTAL 3 PUTTS 5'-10',Total_3_Putts_-_5-10_TOTAL 3 PUTTS
0,1,1,Jason Dufner,71,5,42
1,T2,T2,Ryan Armour,109,4,50
2,T2,T2,Paul Casey,74,4,18
3,T2,T2,Rickie Fowler,74,4,25
4,T2,T2,Sam Ryder,82,4,48
5,T2,T2,Jordan Spieth,81,4,39
6,T2,T2,Vaughn Taylor,83,4,48
7,T8,T8,Zac Blair,64,3,18
8,T8,T8,Austin Cook,107,3,44
9,T8,T8,Lanto Griffin,80,3,37
10,T8,T8,Chesson Hadley,103,3,40
11,T8,T8,Adam Hadwin,92,3,35
12,T8,T8,Russell Henley,77,3,27
13,T8,T8,Patton Kizzire,92,3,41
14,T8,T8,Anirban Lahiri,82,3,37
15,T8,T8,Keith Mitchell,99,3,62
16,T8,T8,Pat Perez,82,3,23
17,T8,T8,Rory Sabbatini,91,3,44
18,T8,T8,Cameron Tringale,67,3,35
19,T20,T20,Byeong Hun An,86,2,38
20,T20,T20,Blayne Barber,69,2,35
21,T20,T20,Ryan Blaum,81,2,46
22,T20,T20,Dominic Bozzelli,65,2,28
23,T20,T20,Joel Dahmen,93,2,45
24,T20,T20,Bryson DeChambeau,93,2,47
25,T20,T20,Matt Every,79,2,36
26,T20,T20,Robert Garrigus,80,2,52
27,T20,T20,Retief Goosen,60,2,22
28,T20,T20,Whee Kim,93,2,36
29,T20,T20,Si Woo Kim,108,2,29
30,T20,T20,Michael Kim,74,2,25
31,T20,T20,Chris Kirk,108,2,39
32,T20,T20,Kelly Kraft,94,2,33
33,T20,T20,Danny Lee,88,2,30
34,T20,T20,Marc Leishman,93,2,39
35,T20,T20,Denny McCarthy,71,2,20
36,T20,T20,Ryan Moore,78,2,26
37,T20,T20,Trey Mullinax,75,2,29
38,T20,T20,Grayson Murray,72,2,45
39,T20,T20,Rob Oppenheim,74,2,33
40,T20,T20,Scott Piercy,84,2,50
41,T20,T20,Ollie Schniederjans,91,2,35
42,T20,T20,Adam Scott,78,2,42
43,T20,T20,Ben Silverman,90,2,33
44,T20,T20,Scott Stallings,96,2,36
45,T20,T20,Robert Streb,78,2,27
46,T20,T20,Hudson Swafford,73,2,41
47,T20,T20,Nick Taylor,94,2,51
48,T20,T20,Justin Thomas,91,2,32
49,T20,T20,Ethan Tracy,72,2,38
50,T20,T20,Peter Uihlein,83,2,44
51,T20,T20,Aaron Wise,90,2,52
52,T20,T20,Gary Woodland,96,2,42
53,T54,T54,Abraham Ancer,98,1,39
54,T54,T54,Matt Atkins,56,1,26
55,T54,T54,Aaron Baddeley,84,1,33
56,T54,T54,Jonas Blixt,67,1,17
57,T54,T54,Keegan Bradley,98,1,39
58,T54,T54,Scott Brown,102,1,31
59,T54,T54,Wesley Bryan,69,1,18
60,T54,T54,Bronson Burgoon,69,1,26
61,T54,T54,Rafa Cabrera Bello,75,1,23
62,T54,T54,Patrick Cantlay,87,1,39
63,T54,T54,Bud Cauley,55,1,16
64,T54,T54,Ben Crane,65,1,17
65,T54,T54,Zecheng Dou,53,1,29
66,T54,T54,Tyler Duncan,97,1,56
67,T54,T54,Tony Finau,105,1,36
68,T54,T54,Brian Gay,103,1,37
69,T54,T54,Lucas Glover,65,1,32
70,T54,T54,Fabián Gómez,88,1,30
71,T54,T54,Branden Grace,67,1,22
72,T54,T54,Brandon Harkins,101,1,46
73,T54,T54,David Hearn,66,1,30
74,T54,T54,Charley Hoffman,87,1,35
75,T54,T54,Billy Horschel,86,1,35
76,T54,T54,Beau Hossler,104,1,38
77,T54,T54,John Huh,94,1,37
78,T54,T54,Billy Hurley III,70,1,29
79,T54,T54,Matt Jones,70,1,29
80,T54,T54,Sung Kang,89,1,32
81,T54,T54,Kevin Kisner,89,1,19
82,T54,T54,Russell Knox,94,1,44
83,T54,T54,Satoshi Kodaira,51,1,39
84,T54,T54,Brooks Koepka,64,1,33
85,T54,T54,Matt Kuchar,88,1,31
86,T54,T54,Martin Laird,73,1,37
87,T54,T54,Nate Lashley,51,1,18
88,T54,T54,David Lingmerth,82,1,32
89,T54,T54,Luke List,98,1,48
90,T54,T54,Shane Lowry,64,1,33
91,T54,T54,Peter Malnati,87,1,24
92,T54,T54,Ben Martin,64,1,23
93,T54,T54,Hideki Matsuyama,75,1,35
94,T54,T54,William McGirt,84,1,33
95,T54,T54,Phil Mickelson,90,1,34
96,T54,T54,Alex Noren,67,1,19
97,T54,T54,Sean O'Hair,67,1,28
98,T54,T54,Rod Pampling,62,1,26
99,T54,T54,Martin Piller,79,1,38
100,T54,T54,D.A. Points,63,1,27
101,T54,T54,"Ted Potter, Jr.",87,1,41
102,T54,T54,Ian Poulter,73,1,19
103,T54,T54,Jonathan Randolph,71,1,33
104,T54,T54,Chez Reavie,93,1,27
105,T54,T54,Sam Saunders,80,1,27
106,T54,T54,Charl Schwartzel,65,1,24
107,T54,T54,Conrad Shindler,60,1,23
108,T54,T54,Kyle Stanley,93,1,27
109,T54,T54,Chris Stroud,81,1,29
110,T54,T54,Brian Stuard,103,1,33
111,T54,T54,Nick Watney,94,1,28
112,T54,T54,Richy Werenski,98,1,39
