,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Daniel Summerhays,51,1.48,12,810
1,2,2,Greg Chalmers,56,1.5,14,936
2,3,3,Kevin Kisner,89,1.78,25,1404
3,T4,T4,Peter Malnati,87,1.81,27,1494
4,T4,T4,Webb Simpson,95,1.81,30,1656
5,6,6,Cameron Smith,85,1.92,27,1404
6,7,7,Brian Stuard,103,2.0,35,1746
7,8,8,Johnson Wagner,75,2.01,25,1242
8,9,9,Dustin Johnson,77,2.03,27,1332
9,10,10,Wesley Bryan,69,2.07,25,1206
10,11,11,Nick Watney,94,2.1,34,1620
11,12,12,Zac Blair,64,2.11,22,1044
12,13,13,Andrew Landry,82,2.15,31,1440
13,T14,T14,Ian Poulter,73,2.17,25,1152
14,T14,T14,Kevin Streelman,94,2.17,36,1656
15,16,16,Bill Haas,76,2.18,29,1332
16,17,17,Hunter Mahan,67,2.2,25,1134
17,18,18,Jason Day,75,2.21,27,1224
18,19,19,Zach Johnson,94,2.23,35,1566
19,T20,T20,Brandt Snedeker,84,2.24,33,1476
20,T20,T20,Jimmy Walker,81,2.24,31,1386
21,T22,T22,Rickie Fowler,74,2.25,30,1332
22,T22,T22,Sam Saunders,80,2.25,30,1332
23,24,24,Ben Crane,65,2.26,24,1062
24,T25,T25,Scott Brown,102,2.27,40,1764
25,T25,T25,J.T. Poston,73,2.27,29,1278
26,27,27,Henrik Stenson,60,2.28,23,1008
27,28,28,Brian Gay,103,2.31,42,1818
28,29,29,Tony Finau,105,2.32,41,1764
29,30,30,Alex Cejka,77,2.33,29,1242
30,31,31,Ben Martin,64,2.34,27,1152
31,T32,T32,Harris English,84,2.35,33,1404
32,T32,T32,Troy Merritt,89,2.35,36,1530
33,34,34,Nate Lashley,51,2.36,20,846
34,35,35,Denny McCarthy,71,2.38,27,1134
35,T36,T36,Dominic Bozzelli,65,2.39,28,1170
36,T36,T36,Charles Howell III,104,2.39,43,1800
37,T36,T36,Kevin Na,91,2.39,37,1548
38,T36,T36,Patrick Reed,94,2.39,37,1548
39,T36,T36,Tyrone Van Aswegen,101,2.39,40,1674
40,41,41,Kevin Tway,110,2.4,45,1872
41,T42,T42,Chesson Hadley,103,2.41,43,1782
42,T42,T42,Alex Noren,67,2.41,26,1080
43,44,44,William McGirt,84,2.42,34,1404
44,45,45,Jim Furyk,50,2.43,21,864
45,46,46,Cameron Percy,56,2.44,22,900
46,T47,T47,Ricky Barnes,65,2.45,26,1062
47,T47,T47,Ben Silverman,90,2.45,37,1512
48,49,49,Rory McIlroy,64,2.46,27,1098
49,50,50,John Huh,94,2.47,40,1620
50,T51,T51,Beau Hossler,104,2.51,47,1872
51,T51,T51,Si Woo Kim,108,2.51,47,1872
52,53,53,Chris Kirk,108,2.52,48,1908
53,54,54,Michael Kim,74,2.54,32,1260
54,T55,T55,Phil Mickelson,90,2.55,40,1566
55,T55,T55,Ollie Schniederjans,91,2.55,40,1566
56,T57,T57,Mackenzie Hughes,80,2.56,35,1368
57,T57,T57,David Lingmerth,82,2.56,36,1404
58,T57,T57,Ryan Moore,78,2.56,36,1404
59,T57,T57,Sean O'Hair,67,2.56,29,1134
60,61,61,Matt Kuchar,88,2.57,37,1440
61,T62,T62,Pat Perez,82,2.59,35,1350
62,T62,T62,Scott Stallings,96,2.59,42,1620
63,T62,T62,Steve Wheatcroft,60,2.59,27,1044
64,65,65,Bubba Watson,90,2.6,37,1422
65,66,66,Tiger Woods,68,2.61,32,1224
66,T67,T67,Billy Horschel,86,2.64,39,1476
67,T67,T67,Justin Thomas,91,2.64,39,1476
68,T69,T69,Abraham Ancer,98,2.66,46,1728
69,T69,T69,Trey Mullinax,75,2.66,33,1242
70,T69,T69,C.T. Pan,104,2.66,47,1764
71,72,72,Tyrrell Hatton,58,2.67,26,972
72,73,73,Justin Rose,70,2.69,32,1188
73,74,74,Daniel Berger,81,2.7,37,1368
74,T75,T75,Aaron Baddeley,84,2.71,38,1404
75,T75,T75,Fabián Gómez,88,2.71,41,1512
76,T75,T75,Jamie Lovemark,92,2.71,43,1584
77,T75,T75,Seamus Power,86,2.71,38,1404
78,79,79,Emiliano Grillo,94,2.72,45,1656
79,80,80,Cody Gribble,71,2.74,32,1170
80,81,81,Adam Hadwin,92,2.75,44,1602
81,T82,T82,Talor Gooch,78,2.78,36,1296
82,T82,T82,Robert Streb,78,2.78,37,1332
83,T84,T84,Stephan Jaeger,81,2.81,38,1350
84,T84,T84,Patrick Rodgers,97,2.81,47,1674
85,86,86,Jonas Blixt,67,2.82,31,1098
86,T87,T87,Danny Lee,88,2.84,44,1548
87,T87,T87,Marc Leishman,93,2.84,46,1620
88,T89,T89,Derek Fathauer,84,2.85,41,1440
89,T89,T89,Russell Henley,77,2.85,38,1332
90,T89,T89,Charley Hoffman,87,2.85,41,1440
91,T89,T89,Anirban Lahiri,82,2.85,42,1476
92,T93,T93,Keegan Bradley,98,2.87,48,1674
93,T93,T93,Stewart Cink,87,2.87,45,1566
94,T93,T93,Brice Garnett,99,2.87,49,1710
95,T93,T93,Xander Schauffele,96,2.87,48,1674
96,T93,T93,Michael Thompson,62,2.87,30,1044
97,98,98,Chris Stroud,81,2.89,38,1314
98,T99,T99,Bronson Burgoon,69,2.9,36,1242
99,T99,T99,Kelly Kraft,94,2.9,48,1656
100,101,101,Austin Cook,107,2.91,56,1926
101,T102,T102,Whee Kim,93,2.93,47,1602
102,T102,T102,Patton Kizzire,92,2.93,47,1602
103,T104,T104,Bud Cauley,55,2.94,28,954
104,T104,T104,Sung Kang,89,2.94,45,1530
105,T106,T106,Billy Hurley III,70,2.95,34,1152
106,T106,T106,J.J. Spaun,85,2.95,42,1422
107,T108,T108,Paul Casey,74,2.97,38,1278
108,T108,T108,Jason Kokrak,99,2.97,53,1782
109,T108,T108,Chez Reavie,93,2.97,46,1548
110,111,111,Conrad Shindler,60,2.98,30,1008
111,112,112,Retief Goosen,60,2.99,28,936
112,T113,T113,Andrew Putnam,97,3.0,48,1602
113,T113,T113,Shawn Stefani,76,3.0,40,1332
114,T115,T115,Ryan Armour,109,3.01,58,1926
115,T115,T115,Brett Stegmaier,67,3.01,33,1098
116,T117,T117,Kiradech Aphibarnrat,51,3.02,25,828
117,T117,T117,Roberto Díaz,72,3.02,37,1224
118,T117,T117,Richy Werenski,98,3.02,50,1656
119,120,120,Tommy Fleetwood,73,3.03,36,1188
120,121,121,J.B. Holmes,77,3.04,41,1350
121,122,122,James Hahn,85,3.05,45,1476
122,123,123,Nicholas Lindheim,77,3.06,38,1242
123,T124,T124,Rod Pampling,62,3.07,32,1044
124,T124,T124,Charl Schwartzel,65,3.07,32,1044
125,T126,T126,Brandon Harkins,101,3.1,53,1710
126,T126,T126,Francesco Molinari,73,3.1,39,1260
127,128,128,Byeong Hun An,86,3.11,47,1512
128,129,129,"Ted Potter, Jr.",87,3.13,49,1566
129,130,130,Jonathan Byrd,70,3.14,35,1116
130,131,131,Jonathan Randolph,71,3.16,37,1170
131,132,132,Ryan Palmer,69,3.17,36,1134
132,133,133,D.A. Points,63,3.19,35,1098
133,134,134,Russell Knox,94,3.21,52,1620
134,135,135,Kyle Stanley,93,3.22,51,1584
135,T136,T136,Blayne Barber,69,3.23,39,1206
136,T136,T136,Martin Flores,92,3.23,50,1548
137,138,138,Martin Piller,79,3.25,45,1386
138,T139,T139,J.J. Henry,81,3.26,44,1350
139,T139,T139,Adam Schenk,86,3.26,47,1440
140,141,141,Jordan Spieth,81,3.29,45,1368
141,142,142,Branden Grace,67,3.3,38,1152
142,143,143,Harold Varner III,91,3.31,53,1602
143,144,144,Luke List,98,3.33,57,1710
144,145,145,Ryan Blaum,81,3.35,47,1404
145,146,146,Rory Sabbatini,91,3.37,54,1602
146,147,147,Nick Taylor,94,3.4,55,1620
147,148,148,Peter Uihlein,83,3.42,48,1404
148,149,149,Lanto Griffin,80,3.45,46,1332
149,150,150,Shane Lowry,64,3.47,35,1008
150,151,151,Matt Jones,70,3.49,39,1116
151,152,152,Rob Oppenheim,74,3.51,43,1224
152,T153,T153,Jon Rahm,71,3.54,42,1188
153,T153,T153,Gary Woodland,96,3.54,58,1638
154,155,155,Hideki Matsuyama,75,3.55,46,1296
155,T156,T156,Bryson DeChambeau,93,3.58,60,1674
156,T156,T156,Brooks Koepka,64,3.58,40,1116
157,T156,T156,Graeme McDowell,67,3.58,38,1062
158,T159,T159,Joel Dahmen,93,3.59,55,1530
159,T159,T159,Martin Laird,73,3.59,42,1170
160,161,161,Aaron Wise,90,3.6,57,1584
161,162,162,David Hearn,66,3.61,39,1080
162,T163,T163,Matt Atkins,56,3.63,34,936
163,T163,T163,Matt Every,79,3.63,49,1350
164,165,165,Tom Hoge,101,3.64,61,1674
165,166,166,Rafa Cabrera Bello,75,3.65,46,1260
166,167,167,Vaughn Taylor,83,3.66,52,1422
167,T168,T168,Patrick Cantlay,87,3.68,53,1440
168,T168,T168,Ethan Tracy,72,3.68,45,1224
169,T168,T168,Jhonattan Vegas,92,3.68,59,1602
170,T171,T171,Brian Harman,94,3.7,60,1620
171,T171,T171,Tom Lovelady,87,3.7,54,1458
172,T171,T171,Andrew Yun,51,3.7,30,810
173,174,174,Brendan Steele,74,3.73,45,1206
174,175,175,Cameron Tringale,67,3.79,43,1134
175,176,176,Sam Ryder,82,3.82,55,1440
176,177,177,Kyle Thompson,50,3.86,32,828
177,178,178,Corey Conners,97,3.88,65,1674
178,179,179,Lucas Glover,65,3.92,43,1098
179,180,180,Robert Garrigus,80,3.95,54,1368
180,181,181,Scott Piercy,84,3.96,57,1440
181,182,182,Louis Oosthuizen,62,4.01,39,972
182,183,183,Tyler Duncan,97,4.06,68,1674
183,184,184,Keith Mitchell,99,4.18,73,1746
184,185,185,Chad Campbell,87,4.22,60,1422
185,186,186,Kevin Chappell,77,4.28,57,1332
186,187,187,Hudson Swafford,73,4.39,53,1206
187,188,188,Jason Dufner,71,4.43,51,1152
188,189,189,Xinjun Zhang,81,4.52,61,1350
189,190,190,Adam Scott,78,4.56,64,1404
190,191,191,Grayson Murray,72,4.63,60,1296
191,192,192,Zecheng Dou,53,4.88,43,882
192,193,193,Satoshi Kodaira,51,5.44,47,864
