,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Peter Malnati,87,45.51,213,468
1,2,2,Brian Gay,103,45.02,235,522
2,3,3,Wesley Bryan,69,44.7,177,396
3,4,4,Tiger Woods,68,44.44,144,324
4,5,5,Whee Kim,93,44.25,231,522
5,6,6,Daniel Summerhays,51,44.12,135,306
6,7,7,Webb Simpson,95,44.0,198,450
7,8,8,Kevin Na,91,43.52,188,432
8,9,9,Jamie Lovemark,92,43.33,195,450
9,10,10,Emiliano Grillo,94,43.29,187,432
10,11,11,David Hearn,66,42.98,147,342
11,12,12,Tom Hoge,101,42.91,224,522
12,13,13,Anirban Lahiri,82,42.82,185,432
13,14,14,Ollie Schniederjans,91,42.74,200,468
14,15,15,Danny Lee,88,42.66,215,504
15,16,16,Ricky Barnes,65,42.5,153,360
16,T17,T17,Brooks Koepka,64,42.36,122,288
17,T17,T17,David Lingmerth,82,42.36,183,432
18,19,19,Seamus Power,86,42.09,197,468
19,20,20,Grayson Murray,72,41.92,166,396
20,21,21,Brandon Harkins,101,41.87,211,504
21,22,22,Matt Jones,70,41.53,157,378
22,T23,T23,Greg Chalmers,56,41.52,142,342
23,T23,T23,Dustin Johnson,77,41.52,142,342
24,25,25,Beau Hossler,104,41.47,209,504
25,26,26,Chez Reavie,93,41.45,194,468
26,27,27,Bryson DeChambeau,93,41.33,186,450
27,28,28,Keith Mitchell,99,41.27,208,504
28,29,29,Rory Sabbatini,91,41.24,193,468
29,30,30,Ryan Moore,78,41.16,163,396
30,T31,T31,Martin Laird,73,41.11,148,360
31,T31,T31,Hunter Mahan,67,41.11,148,360
32,T31,T31,Chris Stroud,81,41.11,185,450
33,34,34,Ryan Armour,109,41.04,229,558
