,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Dustin Johnson,77,37.04,346,934
1,2,2,Phil Mickelson,90,35.96,365,1015
2,3,3,Justin Thomas,91,35.08,354,1009
3,4,4,Jason Day,75,34.63,276,797
4,5,5,Jon Rahm,71,34.46,286,830
5,6,6,Justin Rose,70,34.38,285,829
6,7,7,Ricky Barnes,65,34.37,232,675
7,8,8,Grayson Murray,72,34.2,276,807
8,9,9,Tommy Fleetwood,73,34.14,281,823
9,10,10,Brooks Koepka,64,33.42,254,760
10,11,11,Brandon Harkins,101,33.33,374,1122
11,12,12,Bryson DeChambeau,93,33.25,387,1164
12,13,13,Ollie Schniederjans,91,33.13,325,981
13,14,14,Rory McIlroy,64,33.1,240,725
14,15,15,Sam Saunders,80,33.06,286,865
15,16,16,Tiger Woods,68,32.93,271,823
16,17,17,Kevin Na,91,32.87,328,998
17,18,18,Tony Finau,105,32.79,404,1232
18,19,19,Ryan Palmer,69,32.75,243,742
19,20,20,David Lingmerth,82,32.62,288,883
20,21,21,Marc Leishman,93,32.44,350,1079
21,22,22,Brian Gay,103,32.39,379,1170
22,23,23,Aaron Wise,90,32.32,352,1089
23,24,24,Tom Hoge,101,32.27,343,1063
24,25,25,Peter Malnati,87,32.23,303,940
25,26,26,Jordan Spieth,81,32.22,310,962
26,27,27,Hideki Matsuyama,75,32.1,287,894
27,28,28,Tom Lovelady,87,31.93,312,977
28,T29,T29,Martin Laird,73,31.9,245,768
29,T29,T29,Keith Mitchell,99,31.9,386,1210
30,31,31,Chesson Hadley,103,31.89,383,1201
31,T32,T32,Rickie Fowler,74,31.75,294,926
32,T32,T32,Xander Schauffele,96,31.75,348,1096
33,T32,T32,Cameron Smith,85,31.75,281,885
34,35,35,Patrick Reed,94,31.5,309,981
35,36,36,Trey Mullinax,75,31.48,255,810
36,37,37,Vaughn Taylor,83,31.41,299,952
37,38,38,Danny Lee,88,31.37,315,1004
38,39,39,Jamie Lovemark,92,31.31,320,1022
39,40,40,Whee Kim,93,31.3,318,1016
40,41,41,Kevin Chappell,77,31.07,275,885
41,42,42,Troy Merritt,89,31.05,308,992
42,43,43,Austin Cook,107,31.04,397,1279
43,44,44,Emiliano Grillo,94,30.99,353,1139
44,45,45,Harris English,84,30.93,274,886
45,46,46,Patrick Rodgers,97,30.85,339,1099
46,47,47,John Huh,94,30.82,327,1061
47,48,48,Zach Johnson,94,30.74,324,1054
48,49,49,Cody Gribble,71,30.73,224,729
49,50,50,Jimmy Walker,81,30.72,263,856
50,51,51,Lanto Griffin,80,30.69,275,896
51,52,52,J.J. Spaun,85,30.67,303,988
52,53,53,Dominic Bozzelli,65,30.66,218,711
53,54,54,Kevin Tway,110,30.63,382,1247
54,55,55,Martin Piller,79,30.54,255,835
55,56,56,Beau Hossler,104,30.47,387,1270
56,T57,T57,Bud Cauley,55,30.39,186,612
57,T57,T57,Michael Kim,74,30.39,231,760
58,59,59,Ryan Blaum,81,30.37,280,922
59,60,60,Jason Kokrak,99,30.35,380,1252
60,61,61,Billy Horschel,86,30.34,321,1058
61,62,62,J.T. Poston,73,30.31,264,871
62,T63,T63,Bronson Burgoon,69,30.27,257,849
63,T63,T63,Pat Perez,82,30.27,277,915
64,65,65,Bubba Watson,90,30.24,293,969
65,66,66,Rafa Cabrera Bello,75,30.23,266,880
66,T67,T67,J.B. Holmes,77,30.22,265,877
67,T67,T67,Hunter Mahan,67,30.22,236,781
68,69,69,Luke List,98,30.21,352,1165
69,70,70,Branden Grace,67,30.18,233,772
70,71,71,Daniel Summerhays,51,30.07,138,459
71,T72,T72,Derek Fathauer,84,30.06,260,865
72,T72,T72,Si Woo Kim,108,30.06,358,1191
73,74,74,Robert Garrigus,80,30.04,268,892
74,75,75,Seamus Power,86,30.01,274,913
75,76,76,Peter Uihlein,83,30.0,285,950
76,77,77,Brandt Snedeker,84,29.99,287,957
77,T78,T78,Brian Harman,94,29.98,328,1094
78,T78,T78,Chris Stroud,81,29.98,247,824
79,80,80,Ben Martin,64,29.97,220,734
80,81,81,Matt Jones,70,29.96,222,741
81,T82,T82,Cameron Percy,56,29.92,187,625
82,T82,T82,Gary Woodland,96,29.92,345,1153
83,84,84,"Ted Potter, Jr.",87,29.91,294,983
84,85,85,Patrick Cantlay,87,29.85,303,1015
85,86,86,Kiradech Aphibarnrat,51,29.82,153,513
86,87,87,Sung Kang,89,29.81,288,966
87,88,88,Paul Casey,74,29.79,258,866
88,89,89,Anirban Lahiri,82,29.77,284,954
89,90,90,Mackenzie Hughes,80,29.71,268,902
90,91,91,Rory Sabbatini,91,29.64,321,1083
91,92,92,Nicholas Lindheim,77,29.59,250,845
92,T93,T93,Alex Noren,67,29.57,207,700
93,T93,T93,Chez Reavie,93,29.57,314,1062
94,T95,T95,Matt Atkins,56,29.56,175,592
95,T95,T95,Patton Kizzire,92,29.56,326,1103
96,97,97,Rob Oppenheim,74,29.54,231,782
97,98,98,Chris Kirk,108,29.53,383,1297
98,99,99,Joel Dahmen,93,29.52,310,1050
99,100,100,Abraham Ancer,98,29.5,339,1149
100,T101,T101,Ben Silverman,90,29.46,289,981
101,T101,T101,Shawn Stefani,76,29.46,264,896
102,103,103,Webb Simpson,95,29.45,329,1117
103,104,104,Martin Flores,92,29.43,302,1026
104,T105,T105,Blayne Barber,69,29.42,248,843
105,T105,T105,Nick Watney,94,29.42,323,1098
106,107,107,Matt Every,79,29.38,255,868
107,108,108,Charley Hoffman,87,29.29,280,956
108,109,109,Francesco Molinari,73,29.27,259,885
109,110,110,Matt Kuchar,88,29.24,281,961
110,111,111,Wesley Bryan,69,29.21,215,736
111,T112,T112,Ian Poulter,73,29.18,225,771
112,T112,T112,Brett Stegmaier,67,29.18,225,771
113,114,114,Kyle Stanley,93,29.16,328,1125
114,115,115,Charl Schwartzel,65,29.15,186,638
115,116,116,Hudson Swafford,73,29.12,242,831
116,117,117,Alex Cejka,77,29.11,230,790
117,T118,T118,Greg Chalmers,56,29.08,155,533
118,T118,T118,James Hahn,85,29.08,292,1004
119,120,120,Adam Scott,78,29.06,288,991
120,T121,T121,David Hearn,66,29.03,216,744
121,T121,T121,Sam Ryder,82,29.03,301,1037
122,123,123,Byeong Hun An,86,28.98,297,1025
123,124,124,Johnson Wagner,75,28.96,243,839
124,125,125,Daniel Berger,81,28.95,264,912
125,126,126,Keegan Bradley,98,28.94,334,1154
126,127,127,Russell Henley,77,28.93,265,916
127,T128,T128,Scott Brown,102,28.87,334,1157
128,T128,T128,Talor Gooch,78,28.87,237,821
