,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
38,39,39,Michael Thompson,62,7.54,23,305,92.4
39,40,40,Brandt Snedeker,84,7.6,26,342,92.4
40,41,41,Whee Kim,93,7.62,23,302,92.3
41,42,42,Rickie Fowler,74,7.72,20,259,92.2
42,T43,T43,Jason Day,75,7.83,17,217,92.1
43,T43,T43,Michael Kim,74,7.83,18,230,92.1
44,45,45,Patrick Rodgers,97,7.9,29,367,92.1
45,46,46,Bubba Watson,90,7.93,23,290,92.0
46,47,47,Rory McIlroy,64,7.94,15,189,92.0
47,48,48,Chris Kirk,108,7.96,32,402,92.0
48,49,49,Brett Stegmaier,67,7.97,20,251,92.0
49,50,50,Hunter Mahan,67,8.0,20,250,92.0
50,51,51,Jim Furyk,50,8.08,16,198,91.9
51,52,52,Bud Cauley,55,8.09,14,173,91.9
52,T53,T53,Beau Hossler,104,8.1,34,420,91.9
53,T53,T53,D.A. Points,63,8.1,17,210,91.9
54,T53,T53,Kevin Streelman,94,8.1,32,395,91.9
55,56,56,Billy Hurley III,70,8.12,22,271,91.8
56,57,57,Billy Horschel,86,8.16,32,392,91.8
57,58,58,Dustin Johnson,77,8.23,19,231,91.7
58,59,59,Nate Lashley,51,8.24,14,170,91.7
59,T60,T60,Ben Martin,64,8.26,18,218,91.7
60,T60,T60,Tiger Woods,68,8.26,19,230,91.7
61,62,62,Danny Lee,88,8.27,22,266,91.7
62,63,63,Tony Finau,105,8.29,32,386,91.7
63,64,64,Harris English,84,8.3,24,289,91.7
64,65,65,Jamie Lovemark,92,8.33,28,336,91.6
65,T66,T66,Keegan Bradley,98,8.41,29,345,91.5
66,T66,T66,Seamus Power,86,8.41,27,321,91.5
67,68,68,Scott Stallings,96,8.43,30,356,91.5
68,69,69,Stephan Jaeger,81,8.44,26,308,91.5
69,70,70,Stewart Cink,87,8.45,24,284,91.5
