,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Greg Chalmers,56.0,0.79,32.387,41.0
1,2,2,Jason Day,75.0,0.77,37.72,49.0
2,3,3,Alex Noren,67.0,0.758,37.154,49.0
3,4,4,Daniel Summerhays,51.0,0.736,27.965,38.0
4,5,5,Webb Simpson,95.0,0.6920000000000001,56.016999999999996,81.0
5,6,6,Beau Hossler,104.0,0.685,61.617,90.0
6,7,7,Johnson Wagner,75.0,0.623,34.291,55.0
7,8,8,Peter Malnati,87.0,0.619,46.409,75.0
8,9,9,Patrick Rodgers,97.0,0.561,40.931,73.0
9,10,10,Emiliano Grillo,94.0,0.546,39.84,73.0
10,11,11,Kevin Na,91.0,0.5329999999999999,37.303000000000004,70.0
11,12,12,Kevin Kisner,89.0,0.513,33.364000000000004,65.0
12,13,13,Phil Mickelson,90.0,0.51,35.71,70.0
13,T14,T14,Seamus Power,86.0,0.498,32.851,66.0
14,T14,T14,Michael Thompson,62.0,0.498,27.889,56.0
15,T16,T16,Graeme McDowell,67.0,0.478,21.967,46.0
16,T16,T16,Brandt Snedeker,84.0,0.478,35.378,74.0
17,18,18,Denny McCarthy,71.0,0.449,22.017,49.0
18,19,19,Brian Gay,103.0,0.442,40.668,92.0
19,20,20,Whee Kim,93.0,0.42700000000000005,31.180999999999997,73.0
20,21,21,Justin Rose,70.0,0.424,22.479,53.0
21,22,22,Brett Stegmaier,67.0,0.401,18.835,47.0
22,23,23,Billy Horschel,86.0,0.392,30.164,77.0
23,24,24,Jim Furyk,50.0,0.389,17.903,46.0
24,25,25,Dustin Johnson,77.0,0.385,23.861,62.0
25,26,26,Bud Cauley,55.0,0.36700000000000005,15.055,41.0
26,27,27,Derek Fathauer,84.0,0.363,24.669,68.0
27,28,28,Wesley Bryan,69.0,0.36,18.354,51.0
28,29,29,Nicholas Lindheim,77.0,0.355,20.929000000000002,59.0
29,30,30,Branden Grace,67.0,0.35,15.389000000000001,44.0
30,31,31,Matt Kuchar,88.0,0.348,22.592,65.0
31,T32,T32,Bryson DeChambeau,93.0,0.34600000000000003,26.982,78.0
32,T32,T32,Hunter Mahan,67.0,0.34600000000000003,17.64,51.0
33,34,34,Ricky Barnes,65.0,0.33799999999999997,15.2,45.0
34,35,35,Tyrrell Hatton,58.0,0.335,14.077,42.0
35,36,36,Ben Crane,65.0,0.332,15.285,46.0
36,37,37,Ollie Schniederjans,91.0,0.325,25.041999999999998,77.0
37,T38,T38,Tommy Fleetwood,73.0,0.324,17.509,54.0
38,T38,T38,Jimmy Walker,81.0,0.324,21.369,66.0
39,40,40,Daniel Berger,81.0,0.319,19.78,62.0
40,41,41,Austin Cook,107.0,0.315,28.962,92.0
41,42,42,Dominic Bozzelli,65.0,0.308,18.799,61.0
42,43,43,Rickie Fowler,,,,
43,44,44,Martin Laird,73.0,0.282,17.178,61.0
44,T45,T45,Rafa Cabrera Bello,75.0,0.273,13.100999999999999,48.0
45,T45,T45,Brian Harman,94.0,0.273,19.683,72.0
46,47,47,Justin Thomas,91.0,0.272,18.528,68.0
47,48,48,Tiger Woods,68.0,0.266,15.703,59.0
48,49,49,Michael Kim,74.0,0.259,14.004000000000001,54.0
49,50,50,Jonas Blixt,67.0,0.244,11.722000000000001,48.0
50,T51,T51,Ben Silverman,90.0,0.23800000000000002,18.084,76.0
51,T51,T51,Aaron Wise,90.0,0.23800000000000002,19.070999999999998,80.0
52,53,53,Tony Finau,105.0,0.23199999999999998,18.774,81.0
53,54,54,David Lingmerth,82.0,0.22899999999999998,15.774000000000001,69.0
54,55,55,Brandon Harkins,101.0,0.225,19.146,85.0
55,56,56,Ian Poulter,73.0,0.223,11.142999999999999,50.0
56,57,57,Harris English,84.0,0.222,15.062999999999999,68.0
57,58,58,Charles Howell III,104.0,0.21899999999999997,17.090999999999998,78.0
58,59,59,Chesson Hadley,103.0,0.20800000000000002,18.554000000000002,89.0
59,60,60,Zach Johnson,94.0,0.20600000000000002,14.835,72.0
60,61,61,Zac Blair,64.0,0.203,9.346,46.0
61,62,62,Cody Gribble,71.0,0.201,10.838,54.0
62,T63,T63,William McGirt,84.0,0.2,14.969000000000001,75.0
63,T63,T63,Nick Watney,94.0,0.2,15.999,80.0
64,65,65,Anirban Lahiri,82.0,0.19899999999999998,13.321,67.0
65,66,66,Xander Schauffele,96.0,0.196,14.078,72.0
66,67,67,Chez Reavie,93.0,0.192,11.495,60.0
67,T68,T68,Roberto Díaz,72.0,0.168,9.41,56.0
68,T68,T68,Brooks Koepka,64.0,0.168,9.057,54.0
69,T70,T70,Russell Henley,77.0,0.16699999999999998,9.703,58.0
70,T70,T70,John Huh,94.0,0.16699999999999998,13.73,82.0
71,T72,T72,Patrick Reed,94.0,0.16399999999999998,10.315999999999999,63.0
72,T72,T72,Brian Stuard,103.0,0.16399999999999998,14.398,88.0
73,74,74,Danny Lee,88.0,0.156,10.927,70.0
74,75,75,Kiradech Aphibarnrat,51.0,0.138,4.699,34.0
75,76,76,J.T. Poston,73.0,0.135,7.711,57.0
76,77,77,Paul Casey,74.0,0.133,6.537000000000001,49.0
77,78,78,Hideki Matsuyama,75.0,0.132,7.507000000000001,57.0
78,79,79,Adam Schenk,86.0,0.13,8.564,66.0
79,80,80,Marc Leishman,93.0,0.126,9.234,73.0
80,81,81,Martin Piller,79.0,0.11900000000000001,7.942,67.0
81,82,82,Ben Martin,64.0,0.11800000000000001,6.721,57.0
82,T83,T83,Pat Perez,82.0,0.115,5.872999999999999,51.0
83,T83,T83,Jonathan Randolph,71.0,0.115,6.912000000000001,60.0
84,T83,T83,Cameron Smith,85.0,0.115,6.99,61.0
85,86,86,D.A. Points,63.0,0.11,5.274,48.0
86,87,87,Bronson Burgoon,69.0,0.107,6.122999999999999,57.0
87,88,88,Adam Hadwin,92.0,0.106,7.013,66.0
88,89,89,Sam Saunders,80.0,0.094,6.303999999999999,67.0
89,90,90,Nate Lashley,51.0,0.08199999999999999,2.853,35.0
90,91,91,Charl Schwartzel,65.0,0.081,3.3810000000000002,42.0
91,92,92,Troy Merritt,89.0,0.077,5.593999999999999,73.0
92,93,93,Kelly Kraft,94.0,0.075,5.534,74.0
93,94,94,"Ted Potter, Jr.",87.0,0.07400000000000001,5.735,77.0
94,95,95,Chris Kirk,108.0,0.073,6.996,96.0
95,96,96,Trey Mullinax,75.0,0.07200000000000001,4.242,59.0
96,97,97,Rory McIlroy,64.0,0.06,3.073,51.0
97,98,98,Rory Sabbatini,91.0,0.059000000000000004,4.449,75.0
98,99,99,Chris Stroud,81.0,0.053,3.0980000000000003,58.0
99,T100,T100,Andrew Putnam,97.0,0.052000000000000005,4.008,77.0
100,T100,T100,Kevin Tway,110.0,0.052000000000000005,4.721,90.0
101,102,102,Scott Brown,102.0,0.049,3.967,81.0
102,103,103,Rob Oppenheim,74.0,0.045,2.4130000000000003,54.0
103,104,104,Kyle Stanley,93.0,0.037000000000000005,2.504,67.0
104,105,105,Talor Gooch,78.0,0.031,1.902,62.0
105,106,106,Patton Kizzire,92.0,0.03,2.3209999999999997,78.0
106,107,107,Charley Hoffman,87.0,0.026000000000000002,1.788,68.0
107,T108,T108,Ryan Blaum,81.0,0.025,1.79,72.0
108,T108,T108,Billy Hurley III,70.0,0.025,1.419,57.0
109,110,110,Jason Kokrak,99.0,0.022000000000000002,1.93,88.0
110,111,111,Peter Uihlein,83.0,0.021,1.3519999999999999,65.0
111,112,112,Jamie Lovemark,92.0,0.01,0.81,78.0
112,113,113,Alex Cejka,77.0,0.009000000000000001,0.556,60.0
113,114,114,Gary Woodland,96.0,0.006999999999999999,0.48200000000000004,70.0
114,T115,T115,Fabián Gómez,88.0,0.001,0.061,71.0
115,T115,T115,Bubba Watson,90.0,0.001,0.062,68.0
116,T117,T117,Andrew Landry,82.0,-0.01,-0.7509999999999999,73.0
117,T117,T117,Tyrone Van Aswegen,101.0,-0.01,-0.821,83.0
118,119,119,Blayne Barber,69.0,-0.022000000000000002,-1.3230000000000002,60.0
119,120,120,Harold Varner III,91.0,-0.024,-1.7690000000000001,74.0
120,T121,T121,Louis Oosthuizen,62.0,-0.026000000000000002,-1.213,46.0
121,T121,T121,Ethan Tracy,72.0,-0.026000000000000002,-1.402,54.0
122,T123,T123,Matt Jones,70.0,-0.034,-1.615,47.0
123,T123,T123,Jordan Spieth,81.0,-0.034,-2.224,66.0
124,T123,T123,Shawn Stefani,76.0,-0.034,-2.045,60.0
125,126,126,Tom Lovelady,87.0,-0.049,-3.41,69.0
126,127,127,Abraham Ancer,98.0,-0.055999999999999994,-4.648,83.0
127,128,128,Aaron Baddeley,84.0,-0.057,-3.9730000000000003,70.0
128,T129,T129,Ryan Armour,109.0,-0.057999999999999996,-5.545,96.0
129,T129,T129,Jason Dufner,71.0,-0.057999999999999996,-3.002,52.0
130,T131,T131,Bill Haas,76.0,-0.059000000000000004,-3.9219999999999997,66.0
131,T131,T131,Jhonattan Vegas,92.0,-0.059000000000000004,-3.778,64.0
132,133,133,C.T. Pan,104.0,-0.067,-5.47,82.0
133,134,134,Scott Stallings,96.0,-0.07,-5.617000000000001,80.0
134,135,135,Brice Garnett,99.0,-0.076,-6.169,81.0
135,136,136,Vaughn Taylor,83.0,-0.08,-5.579,70.0
136,137,137,Robert Streb,78.0,-0.081,-4.83,60.0
137,138,138,Russell Knox,94.0,-0.08800000000000001,-6.537999999999999,74.0
138,139,139,Lanto Griffin,80.0,-0.096,-5.733,60.0
139,140,140,Cameron Tringale,67.0,-0.10400000000000001,-5.2860000000000005,51.0
140,141,141,Jonathan Byrd,70.0,-0.106,-5.087,48.0
141,142,142,Richy Werenski,98.0,-0.109,-8.086,74.0
142,143,143,David Hearn,66.0,-0.127,-6.327999999999999,50.0
143,144,144,Steve Wheatcroft,60.0,-0.128,-5.886,46.0
144,145,145,Stephan Jaeger,81.0,-0.14400000000000002,-9.089,63.0
145,146,146,J.J. Spaun,85.0,-0.149,-10.58,71.0
146,147,147,Jon Rahm,71.0,-0.151,-7.685,51.0
147,148,148,James Hahn,85.0,-0.152,-10.517000000000001,69.0
148,149,149,Tom Hoge,101.0,-0.162,-13.429,83.0
149,150,150,Conrad Shindler,60.0,-0.166,-7.324,44.0
150,151,151,Si Woo Kim,108.0,-0.168,-13.138,78.0
151,152,152,Mackenzie Hughes,80.0,-0.177,-12.01,68.0
152,153,153,Patrick Cantlay,87.0,-0.182,-12.177,67.0
153,154,154,Lucas Glover,65.0,-0.18600000000000003,-8.573,46.0
154,155,155,Matt Atkins,56.0,-0.198,-7.906000000000001,40.0
155,156,156,Cameron Percy,56.0,-0.205,-8.386000000000001,41.0
156,T157,T157,J.B. Holmes,77.0,-0.207,-14.109000000000002,68.0
157,T157,T157,Sean O'Hair,67.0,-0.207,-11.800999999999998,57.0
158,T157,T157,Henrik Stenson,60.0,-0.207,-9.091000000000001,44.0
159,160,160,Sung Kang,89.0,-0.235,-15.725,67.0
160,161,161,Kevin Streelman,94.0,-0.25,-20.472,82.0
161,162,162,Hudson Swafford,73.0,-0.26,-13.534,52.0
162,163,163,Ryan Moore,78.0,-0.271,-17.863,66.0
163,164,164,Joel Dahmen,93.0,-0.27699999999999997,-19.67,71.0
164,T165,T165,Byeong Hun An,86.0,-0.285,-20.82,73.0
165,T165,T165,Adam Scott,78.0,-0.285,-17.090999999999998,60.0
166,167,167,Shane Lowry,64.0,-0.28600000000000003,-14.581,51.0
167,168,168,Martin Flores,92.0,-0.289,-20.820999999999998,72.0
168,169,169,Nick Taylor,94.0,-0.312,-23.070999999999998,74.0
169,170,170,Kevin Chappell,77.0,-0.344,-21.35,62.0
170,171,171,Stewart Cink,87.0,-0.345,-23.115,67.0
171,172,172,Sam Ryder,82.0,-0.349,-24.435,70.0
172,173,173,Grayson Murray,72.0,-0.35,-20.673000000000002,59.0
173,174,174,Keegan Bradley,98.0,-0.358,-28.639,80.0
174,175,175,Matt Every,79.0,-0.364,-22.201999999999998,61.0
175,176,176,Corey Conners,97.0,-0.385,-30.425,79.0
176,177,177,Retief Goosen,60.0,-0.41100000000000003,-16.459,40.0
177,178,178,Rod Pampling,62.0,-0.42100000000000004,-18.964000000000002,45.0
178,179,179,Xinjun Zhang,81.0,-0.43700000000000006,-24.884,57.0
179,180,180,Chad Campbell,87.0,-0.45399999999999996,-30.441,67.0
180,181,181,Luke List,98.0,-0.467,-36.445,78.0
181,182,182,Francesco Molinari,73.0,-0.48700000000000004,-27.74,57.0
182,183,183,Keith Mitchell,99.0,-0.504,-41.84,83.0
183,184,184,Ryan Palmer,69.0,-0.528,-31.665,60.0
184,185,185,Tyler Duncan,97.0,-0.5660000000000001,-45.865,81.0
185,T186,T186,Robert Garrigus,80.0,-0.569,-38.672,68.0
186,T186,T186,J.J. Henry,81.0,-0.569,-35.859,63.0
187,T186,T186,Scott Piercy,84.0,-0.569,-38.686,68.0
188,189,189,Brendan Steele,74.0,-0.5760000000000001,-31.096,54.0
189,190,190,Andrew Yun,51.0,-0.6,-20.385,34.0
190,191,191,Satoshi Kodaira,51.0,-0.645,-25.794,40.0
191,192,192,Zecheng Dou,53.0,-0.667,-24.01,36.0
192,193,193,Kyle Thompson,50.0,-0.75,-27.017,36.0
