,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Brian Gay,103,358,706,50.7
1,2,2,Chris Kirk,108,344,678,50.7
2,3,3,Austin Cook,107,334,671,49.8
3,4,4,Ryan Armour,109,324,659,49.2
4,T5,T5,Tom Hoge,101,321,629,51.0
5,T5,T5,Kevin Tway,110,321,617,52.0
6,7,7,Si Woo Kim,108,318,572,55.6
7,8,8,Jamie Lovemark,92,316,586,53.9
8,9,9,Abraham Ancer,98,312,596,52.3
9,10,10,Peter Malnati,87,310,598,51.8
10,11,11,Brandon Harkins,101,309,621,49.8
11,12,12,Beau Hossler,104,296,651,45.5
12,13,13,Brian Stuard,103,295,609,48.4
13,T14,T14,Ollie Schniederjans,91,293,577,50.8
14,T14,T14,Justin Thomas,91,293,537,54.6
15,16,16,Jason Kokrak,99,291,577,50.4
16,17,17,Tyrone Van Aswegen,101,290,575,50.4
17,18,18,Luke List,98,289,518,55.8
18,19,19,Webb Simpson,95,285,601,47.4
19,T20,T20,Chesson Hadley,103,284,613,46.3
20,T20,T20,"Ted Potter, Jr.",87,284,570,49.8
21,22,22,Brice Garnett,99,281,542,51.8
22,T23,T23,Tony Finau,105,279,563,49.6
23,T23,T23,Danny Lee,88,279,534,52.2
24,25,25,Keegan Bradley,98,276,522,52.9
25,T26,T26,Kevin Na,91,275,561,49.0
26,T26,T26,Xander Schauffele,96,275,530,51.9
27,28,28,Bryson DeChambeau,93,274,551,49.7
28,29,29,Scott Stallings,96,273,547,49.9
29,30,30,Troy Merritt,89,272,528,51.5
30,31,31,John Huh,94,271,577,47.0
31,32,32,Keith Mitchell,99,270,541,49.9
32,T33,T33,Scott Brown,102,269,547,49.2
33,T33,T33,Marc Leishman,93,269,517,52.0
34,35,35,Nick Watney,94,267,542,49.3
35,T36,T36,Derek Fathauer,84,265,506,52.4
36,T36,T36,Kelly Kraft,94,265,528,50.2
37,T36,T36,Rory Sabbatini,91,265,530,50.0
38,T39,T39,Aaron Baddeley,84,262,485,54.0
39,T39,T39,Kevin Streelman,94,262,510,51.4
40,41,41,David Lingmerth,82,261,514,50.8
41,42,42,Billy Horschel,86,260,528,49.2
42,T43,T43,Andrew Putnam,97,258,521,49.5
43,T43,T43,Patrick Rodgers,97,258,517,49.9
44,T43,T43,Nick Taylor,94,258,498,51.8
45,T46,T46,Charles Howell III,104,257,519,49.5
46,T46,T46,Aaron Wise,90,257,556,46.2
47,48,48,C.T. Pan,104,256,524,48.9
48,T49,T49,William McGirt,84,255,512,49.8
49,T49,T49,Phil Mickelson,90,255,540,47.2
50,51,51,Brandt Snedeker,84,254,532,47.7
51,T52,T52,Ben Silverman,90,252,527,47.8
52,T52,T52,Jimmy Walker,81,252,499,50.5
53,54,54,Patrick Reed,94,251,467,53.7
54,T55,T55,Byeong Hun An,86,250,496,50.4
55,T55,T55,Joel Dahmen,93,250,484,51.7
56,T55,T55,Whee Kim,93,250,553,45.2
57,T55,T55,Andrew Landry,82,250,499,50.1
58,T59,T59,Alex Cejka,77,248,446,55.6
59,T59,T59,Ryan Palmer,69,248,425,58.4
60,T59,T59,Richy Werenski,98,248,491,50.5
61,T62,T62,Martin Flores,92,247,477,51.8
62,T62,T62,Brian Harman,94,247,515,48.0
63,T62,T62,Harold Varner III,91,247,502,49.2
64,65,65,Zach Johnson,94,246,520,47.3
65,66,66,Emiliano Grillo,94,245,539,45.5
66,T67,T67,Corey Conners,97,244,507,48.1
67,T67,T67,Bill Haas,76,244,439,55.6
68,T67,T67,Jordan Spieth,81,244,471,51.8
69,70,70,Tyler Duncan,97,243,496,49.0
70,71,71,Patton Kizzire,92,242,509,47.5
71,T72,T72,J.B. Holmes,77,241,485,49.7
72,T72,T72,Anirban Lahiri,82,241,488,49.4
73,T74,T74,Chad Campbell,87,240,464,51.7
74,T74,T74,Ryan Moore,78,240,453,53.0
75,T74,T74,Cameron Smith,85,240,461,52.1
76,T77,T77,Charley Hoffman,87,239,479,49.9
77,T77,T77,Jonathan Randolph,71,239,451,53.0
78,T79,T79,Adam Hadwin,92,238,450,52.9
79,T79,T79,Martin Piller,79,238,484,49.2
80,81,81,Patrick Cantlay,87,236,444,53.2
81,T82,T82,Sam Saunders,80,235,475,49.5
82,T82,T82,Tiger Woods,68,235,454,51.8
83,84,84,Grayson Murray,72,234,435,53.8
84,T85,T85,Ryan Blaum,81,233,493,47.3
85,T85,T85,Robert Garrigus,80,233,464,50.2
86,T85,T85,Mackenzie Hughes,80,233,455,51.2
87,T85,T85,Matt Kuchar,88,233,476,48.9
88,T89,T89,James Hahn,85,232,468,49.6
89,T89,T89,Scott Piercy,84,232,433,53.6
90,T89,T89,Jhonattan Vegas,92,232,446,52.0
91,T92,T92,Dominic Bozzelli,65,231,463,49.9
92,T92,T92,Matt Every,79,231,421,54.9
