,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Peter Malnati,87,44.24,661,1494
1,2,2,Kevin Na,91,43.54,674,1548
2,3,3,Brian Gay,103,43.4,789,1818
3,4,4,Phil Mickelson,90,43.17,676,1566
4,5,5,Tom Hoge,101,42.83,717,1674
5,6,6,Daniel Summerhays,51,42.72,346,810
6,7,7,Ricky Barnes,65,42.66,453,1062
7,8,8,Tiger Woods,68,42.65,522,1224
8,9,9,Jason Day,75,42.57,521,1224
9,10,10,Justin Thomas,91,42.55,628,1476
10,11,11,Dominic Bozzelli,65,42.22,494,1170
11,12,12,Wesley Bryan,69,42.12,508,1206
12,13,13,David Lingmerth,82,42.09,591,1404
13,14,14,Patrick Reed,94,41.8,647,1548
14,T15,T15,Rory McIlroy,64,41.71,458,1098
15,T15,T15,Jonathan Randolph,71,41.71,488,1170
16,17,17,Greg Chalmers,56,41.67,390,936
17,18,18,Martin Piller,79,41.63,577,1386
18,19,19,Cameron Smith,85,41.52,583,1404
19,T20,T20,Danny Lee,88,41.41,641,1548
20,T20,T20,Jimmy Walker,81,41.41,574,1386
21,22,22,Charl Schwartzel,65,41.38,432,1044
22,T23,T23,Derek Fathauer,84,41.32,595,1440
23,T23,T23,Whee Kim,93,41.32,662,1602
24,T23,T23,Ollie Schniederjans,91,41.32,647,1566
25,T26,T26,Bud Cauley,55,41.19,393,954
26,T26,T26,"Ted Potter, Jr.",87,41.19,645,1566
27,28,28,Brandon Harkins,101,41.17,704,1710
28,29,29,Dustin Johnson,77,41.14,548,1332
29,30,30,Brooks Koepka,64,41.13,459,1116
30,31,31,Webb Simpson,95,41.12,681,1656
31,32,32,Alex Cejka,77,40.98,509,1242
32,T33,T33,Jamie Lovemark,92,40.97,649,1584
33,T33,T33,Grayson Murray,72,40.97,531,1296
34,35,35,Rob Oppenheim,74,40.93,501,1224
35,36,36,Ben Martin,64,40.71,469,1152
36,37,37,Michael Kim,74,40.63,512,1260
37,38,38,Seamus Power,86,40.6,570,1404
38,39,39,Matt Kuchar,88,40.56,584,1440
39,40,40,Martin Laird,73,40.51,474,1170
40,41,41,Chris Stroud,81,40.49,532,1314
41,42,42,Justin Rose,70,40.4,480,1188
42,43,43,Jim Furyk,50,40.28,348,864
43,T44,T44,Abraham Ancer,98,40.1,693,1728
44,T44,T44,Emiliano Grillo,94,40.1,664,1656
45,T44,T44,Johnson Wagner,75,40.1,498,1242
