,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Daniel Summerhays,51,1.546,1252,810
1,2,2,Kevin Na,91,1.5590000000000002,2414,1548
2,3,3,Peter Malnati,87,1.56,2330,1494
3,4,4,Wesley Bryan,69,1.561,1883,1206
4,5,5,Phil Mickelson,90,1.5619999999999998,2446,1566
5,6,6,Dominic Bozzelli,65,1.5659999999999998,1832,1170
6,T7,T7,Jason Day,75,1.569,1920,1224
7,T7,T7,Brian Gay,103,1.569,2853,1818
8,9,9,Ricky Barnes,65,1.57,1667,1062
9,10,10,Greg Chalmers,56,1.5730000000000002,1472,936
10,T11,T11,Patrick Reed,94,1.574,2436,1548
11,T11,T11,Justin Thomas,91,1.574,2323,1476
12,T11,T11,Jimmy Walker,81,1.574,2182,1386
13,14,14,Cameron Smith,85,1.575,2212,1404
14,T15,T15,"Ted Potter, Jr.",87,1.58,2475,1566
15,T15,T15,Ollie Schniederjans,91,1.58,2474,1566
16,T17,T17,Derek Fathauer,84,1.581,2277,1440
17,T17,T17,Tom Hoge,101,1.581,2646,1674
18,T17,T17,Rory McIlroy,64,1.581,1736,1098
19,T20,T20,Dustin Johnson,77,1.5819999999999999,2107,1332
20,T20,T20,Webb Simpson,95,1.5819999999999999,2619,1656
21,T22,T22,David Lingmerth,82,1.5830000000000002,2223,1404
22,T22,T22,Tiger Woods,68,1.5830000000000002,1937,1224
23,24,24,Martin Piller,79,1.584,2196,1386
24,25,25,Alex Cejka,77,1.585,1968,1242
25,26,26,Michael Kim,74,1.5859999999999999,1998,1260
26,27,27,Danny Lee,88,1.587,2456,1548
27,T28,T28,Bud Cauley,55,1.588,1515,954
28,T28,T28,Ben Martin,64,1.588,1829,1152
29,30,30,Zach Johnson,94,1.59,2490,1566
30,T31,T31,Jamie Lovemark,92,1.591,2520,1584
31,T31,T31,Jonathan Randolph,71,1.591,1861,1170
32,T31,T31,Brandt Snedeker,84,1.591,2348,1476
33,34,34,Johnson Wagner,75,1.5919999999999999,1977,1242
34,T35,T35,Seamus Power,86,1.5930000000000002,2237,1404
35,T35,T35,Justin Rose,70,1.5930000000000002,1892,1188
36,T37,T37,Ben Crane,65,1.594,1693,1062
37,T37,T37,Whee Kim,93,1.594,2554,1602
38,T39,T39,Austin Cook,107,1.5959999999999999,3073,1926
39,T39,T39,Jim Furyk,50,1.5959999999999999,1379,864
40,T39,T39,Sam Saunders,80,1.5959999999999999,2126,1332
41,T42,T42,Troy Merritt,89,1.597,2443,1530
42,T42,T42,Charl Schwartzel,65,1.597,1667,1044
43,T42,T42,Ben Silverman,90,1.597,2414,1512
44,T45,T45,Harris English,84,1.598,2243,1404
45,T45,T45,Brooks Koepka,64,1.598,1783,1116
46,47,47,Chris Stroud,81,1.599,2101,1314
47,48,48,John Huh,94,1.601,2594,1620
48,49,49,Martin Laird,73,1.6019999999999999,1874,1170
49,T50,T50,Aaron Baddeley,84,1.6030000000000002,2250,1404
50,T50,T50,Matt Kuchar,88,1.6030000000000002,2308,1440
51,T52,T52,Cody Gribble,71,1.604,1877,1170
52,T52,T52,Brandon Harkins,101,1.604,2742,1710
53,54,54,Chris Kirk,108,1.605,3063,1908
54,T55,T55,Abraham Ancer,98,1.6059999999999999,2775,1728
55,T55,T55,Kevin Kisner,89,1.6059999999999999,2255,1404
56,T55,T55,Rob Oppenheim,74,1.6059999999999999,1966,1224
57,T58,T58,Kiradech Aphibarnrat,51,1.607,1331,828
58,T58,T58,Beau Hossler,104,1.607,3008,1872
59,T58,T58,Kelly Kraft,94,1.607,2661,1656
60,T58,T58,Ryan Palmer,69,1.607,1822,1134
61,T62,T62,Talor Gooch,78,1.608,2084,1296
62,T62,T62,Marc Leishman,93,1.608,2605,1620
63,T62,T62,Grayson Murray,72,1.608,2084,1296
64,T65,T65,Zac Blair,64,1.609,1680,1044
65,T65,T65,Andrew Landry,82,1.609,2317,1440
66,T65,T65,Alex Noren,67,1.609,1738,1080
67,T65,T65,Sean O'Hair,67,1.609,1825,1134
68,T65,T65,Ian Poulter,73,1.609,1854,1152
69,T70,T70,Rickie Fowler,74,1.61,2145,1332
70,T70,T70,Anirban Lahiri,82,1.61,2377,1476
71,T70,T70,Tyrone Van Aswegen,101,1.61,2695,1674
72,T73,T73,Chesson Hadley,103,1.611,2870,1782
73,T73,T73,Si Woo Kim,108,1.611,3016,1872
74,T75,T75,J.B. Holmes,77,1.6119999999999999,2176,1350
75,T75,T75,Matt Jones,70,1.6119999999999999,1799,1116
76,T75,T75,Hunter Mahan,67,1.6119999999999999,1828,1134
77,78,78,Tony Finau,105,1.6130000000000002,2845,1764
78,79,79,Emiliano Grillo,94,1.614,2672,1656
79,T80,T80,Paul Casey,74,1.615,2064,1278
80,T80,T80,J.T. Poston,73,1.615,2064,1278
81,T80,T80,Rory Sabbatini,91,1.615,2587,1602
82,T83,T83,Billy Hurley III,70,1.6159999999999999,1862,1152
83,T83,T83,Patrick Rodgers,97,1.6159999999999999,2706,1674
84,T83,T83,Jordan Spieth,81,1.6159999999999999,2211,1368
85,T86,T86,Jonas Blixt,67,1.617,1775,1098
86,T86,T86,Scott Brown,102,1.617,2852,1764
87,T86,T86,D.A. Points,63,1.617,1775,1098
88,T86,T86,Brian Stuard,103,1.617,2824,1746
89,T90,T90,Matt Atkins,56,1.618,1514,936
90,T90,T90,Ryan Blaum,81,1.618,2272,1404
91,T90,T90,Retief Goosen,60,1.618,1514,936
92,T90,T90,Trey Mullinax,75,1.618,2010,1242
93,T90,T90,Chez Reavie,93,1.618,2504,1548
94,T95,T95,Jon Rahm,71,1.619,1923,1188
95,T95,T95,Conrad Shindler,60,1.619,1632,1008
96,T95,T95,Scott Stallings,96,1.619,2623,1620
97,T95,T95,Aaron Wise,90,1.619,2565,1584
98,T99,T99,Ryan Moore,78,1.62,2275,1404
99,T99,T99,Vaughn Taylor,83,1.62,2303,1422
100,T99,T99,Kevin Tway,110,1.62,3032,1872
101,T102,T102,Bryson DeChambeau,93,1.621,2714,1674
102,T102,T102,Xander Schauffele,96,1.621,2714,1674
103,T104,T104,Robert Garrigus,80,1.6219999999999999,2219,1368
104,T104,T104,Tyrrell Hatton,58,1.6219999999999999,1577,972
