,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,T1,T1,Harris English,84,0.82,134,11.0
1,T1,T1,Nicholas Lindheim,77,0.82,147,12.0
2,3,3,Kyle Stanley,93,0.78,154,12.0
3,4,4,Emiliano Grillo,94,0.75,147,11.0
4,5,5,Kiradech Aphibarnrat,51,0.73,55,4.0
5,6,6,Beau Hossler,104,0.7,213,15.0
6,7,7,Roberto Díaz,72,0.69,130,9.0
7,8,8,Kevin Kisner,89,0.66,167,11.0
8,T9,T9,Jamie Lovemark,92,0.64,172,11.0
9,T9,T9,Sam Saunders,80,0.64,125,8.0
10,11,11,Conrad Shindler,60,0.63,95,6.0
11,T12,T12,Joel Dahmen,93,0.62,145,9.0
12,T12,T12,Hideki Matsuyama,75,0.62,130,8.0
13,14,14,Andrew Landry,82,0.6,133,8.0
14,T15,T15,Brian Gay,103,0.59,187,11.0
15,T15,T15,Tyrrell Hatton,58,0.59,101,6.0
16,T17,T17,Brandon Harkins,101,0.58,189,11.0
17,T17,T17,Kevin Na,91,0.58,138,8.0
18,T17,T17,Justin Thomas,91,0.58,121,7.0
19,T17,T17,Gary Woodland,96,0.58,155,9.0
20,T21,T21,Ricky Barnes,65,0.57,87,5.0
21,T21,T21,Brian Harman,94,0.57,158,9.0
22,T23,T23,Bronson Burgoon,69,0.56,126,7.0
23,T23,T23,Martin Laird,73,0.56,160,9.0
24,T25,T25,Derek Fathauer,84,0.55,163,9.0
25,T25,T25,Russell Knox,94,0.55,181,10.0
26,T25,T25,Michael Thompson,62,0.55,163,9.0
27,T28,T28,Stewart Cink,87,0.54,148,8.0
28,T28,T28,Whee Kim,93,0.54,129,7.0
29,T28,T28,Chris Kirk,108,0.54,204,11.0
30,T31,T31,Michael Kim,74,0.53,113,6.0
31,T31,T31,Brandt Snedeker,84,0.53,171,9.0
32,T31,T31,Aaron Wise,90,0.53,187,10.0
33,T34,T34,Ryan Blaum,81,0.52,192,10.0
34,T34,T34,Jimmy Walker,81,0.52,134,7.0
35,T36,T36,Abraham Ancer,98,0.51,158,8.0
36,T36,T36,David Hearn,66,0.51,99,5.0
37,T36,T36,Cameron Percy,56,0.51,78,4.0
38,T36,T36,J.T. Poston,73,0.51,118,6.0
39,40,40,Matt Jones,70,0.5,119,6.0
40,T41,T41,Tyler Duncan,97,0.49,185,9.0
41,T41,T41,Martin Flores,92,0.49,164,8.0
42,T41,T41,Cody Gribble,71,0.49,103,5.0
43,T41,T41,Tom Hoge,101,0.49,142,7.0
44,T41,T41,Jonathan Randolph,71,0.49,122,6.0
45,46,46,Keegan Bradley,98,0.48,166,8.0
46,T47,T47,Blayne Barber,69,0.47,149,7.0
47,T47,T47,Si Woo Kim,108,0.47,148,7.0
48,T47,T47,Seamus Power,86,0.47,169,8.0
49,50,50,Adam Schenk,86,0.46,197,9.0
50,T51,T51,Rafa Cabrera Bello,75,0.45,111,5.0
51,T51,T51,Trey Mullinax,75,0.45,133,6.0
52,T51,T51,Rory Sabbatini,91,0.45,177,8.0
53,T51,T51,Johnson Wagner,75,0.45,154,7.0
54,T51,T51,Nick Watney,94,0.45,177,8.0
55,T56,T56,Ryan Armour,109,0.44,227,10.0
56,T56,T56,Mackenzie Hughes,80,0.44,159,7.0
57,T56,T56,Jordan Spieth,81,0.44,137,6.0
58,T59,T59,Austin Cook,107,0.43,186,8.0
59,T59,T59,Tommy Fleetwood,73,0.43,117,5.0
60,T59,T59,Lucas Glover,65,0.43,115,5.0
61,T59,T59,Adam Hadwin,92,0.43,164,7.0
62,T59,T59,Matt Kuchar,88,0.43,139,6.0
63,T59,T59,Shane Lowry,64,0.43,117,5.0
64,T59,T59,Kevin Tway,110,0.43,207,9.0
65,T66,T66,Patrick Cantlay,87,0.42,142,6.0
66,T66,T66,Ben Martin,64,0.42,95,4.0
67,T66,T66,William McGirt,84,0.42,189,8.0
68,T66,T66,Scott Stallings,96,0.42,190,8.0
69,T70,T70,Wesley Bryan,69,0.41,97,4.0
70,T70,T70,Greg Chalmers,56,0.41,98,4.0
71,T70,T70,Talor Gooch,78,0.41,123,5.0
72,T70,T70,Billy Hurley III,70,0.41,123,5.0
73,T70,T70,D.A. Points,63,0.41,97,4.0
74,T70,T70,Patrick Rodgers,97,0.41,197,8.0
75,T70,T70,Ben Silverman,90,0.41,148,6.0
76,T70,T70,Harold Varner III,91,0.41,170,7.0
77,T78,T78,Alex Cejka,77,0.4,125,5.0
78,T78,T78,Tony Finau,105,0.4,198,8.0
79,T78,T78,Pat Perez,82,0.4,99,4.0
80,T78,T78,Cameron Tringale,67,0.4,124,5.0
81,T82,T82,Brooks Koepka,64,0.39,103,4.0
82,T82,T82,Peter Malnati,87,0.39,154,6.0
83,T84,T84,Kevin Chappell,77,0.38,131,5.0
84,T84,T84,Zecheng Dou,53,0.38,79,3.0
85,T84,T84,Alex Noren,67,0.38,132,5.0
86,T87,T87,Fabián Gómez,88,0.37,163,6.0
87,T87,T87,Bill Haas,76,0.37,163,6.0
88,T87,T87,Andrew Yun,51,0.37,81,3.0
89,T90,T90,Retief Goosen,60,0.36,83,3.0
90,T90,T90,John Huh,94,0.36,166,6.0
91,T90,T90,Francesco Molinari,73,0.36,110,4.0
92,T90,T90,Daniel Summerhays,51,0.36,84,3.0
93,T94,T94,Zach Johnson,94,0.35,144,5.0
94,T94,T94,Jason Kokrak,99,0.35,230,8.0
95,T94,T94,Henrik Stenson,60,0.35,113,4.0
96,T97,T97,Marc Leishman,93,0.34,174,6.0
97,T97,T97,Phil Mickelson,90,0.34,145,5.0
98,T97,T97,Richy Werenski,98,0.34,175,6.0
99,T100,T100,Russell Henley,77,0.33,120,4.0
100,T100,T100,Luke List,98,0.33,181,6.0
101,T100,T100,Tom Lovelady,87,0.33,151,5.0
102,T100,T100,Tyrone Van Aswegen,101,0.33,151,5.0
103,T104,T104,Matt Atkins,56,0.32,94,3.0
104,T104,T104,Brice Garnett,99,0.32,189,6.0
105,T104,T104,Denny McCarthy,71,0.32,126,4.0
106,T104,T104,Louis Oosthuizen,62,0.32,94,3.0
107,T104,T104,Charl Schwartzel,65,0.32,95,3.0
108,T104,T104,Peter Uihlein,83,0.32,158,5.0
109,T110,T110,Jim Furyk,50,0.31,97,3.0
110,T110,T110,Billy Horschel,86,0.31,195,6.0
111,T110,T110,David Lingmerth,82,0.31,129,4.0
112,T110,T110,Rory McIlroy,64,0.31,98,3.0
113,T110,T110,Steve Wheatcroft,60,0.31,98,3.0
114,T115,T115,J.B. Holmes,77,0.3,134,4.0
115,T115,T115,Graeme McDowell,67,0.3,100,3.0
116,T117,T117,Bryson DeChambeau,93,0.29,207,6.0
117,T117,T117,Robert Garrigus,80,0.29,140,4.0
118,T117,T117,Satoshi Kodaira,51,0.29,69,2.0
119,T117,T117,Ryan Moore,78,0.29,137,4.0
120,T117,T117,Kyle Thompson,50,0.29,70,2.0
121,T122,T122,Chad Campbell,87,0.28,141,4.0
122,T122,T122,Andrew Putnam,97,0.28,177,5.0
123,T122,T122,Webb Simpson,95,0.28,179,5.0
124,T122,T122,Ethan Tracy,72,0.28,141,4.0
125,T126,T126,Byeong Hun An,86,0.27,148,4.0
126,T126,T126,Stephan Jaeger,81,0.27,149,4.0
127,T126,T126,Dustin Johnson,77,0.27,112,3.0
128,T126,T126,Nate Lashley,51,0.27,74,2.0
129,T126,T126,Justin Rose,70,0.27,110,3.0
130,T126,T126,J.J. Spaun,85,0.27,150,4.0
131,T132,T132,Aaron Baddeley,84,0.26,155,4.0
132,T132,T132,James Hahn,85,0.26,154,4.0
133,T132,T132,Ollie Schniederjans,91,0.26,152,4.0
134,T135,T135,Scott Brown,102,0.25,158,4.0
135,T135,T135,Charles Howell III,104,0.25,197,5.0
136,T135,T135,Keith Mitchell,99,0.25,199,5.0
137,T135,T135,Xander Schauffele,96,0.25,163,4.0
138,T135,T135,Jhonattan Vegas,92,0.25,159,4.0
139,T140,T140,Matt Every,79,0.24,124,3.0
140,T140,T140,J.J. Henry,81,0.24,165,4.0
141,T140,T140,Charley Hoffman,87,0.24,124,3.0
142,T140,T140,Danny Lee,88,0.24,125,3.0
143,T140,T140,Ryan Palmer,69,0.24,126,3.0
144,T145,T145,Chesson Hadley,103,0.23,176,4.0
145,T145,T145,Anirban Lahiri,82,0.23,129,3.0
146,T145,T145,Brett Stegmaier,67,0.23,128,3.0
147,T145,T145,Robert Streb,78,0.23,133,3.0
148,T149,T149,Bud Cauley,55,0.22,93,2.0
149,T149,T149,Corey Conners,97,0.22,183,4.0
150,T149,T149,Ben Crane,65,0.22,89,2.0
151,T149,T149,Rickie Fowler,74,0.22,134,3.0
152,T149,T149,Lanto Griffin,80,0.22,139,3.0
153,T149,T149,Rod Pampling,62,0.22,90,2.0
154,T149,T149,Martin Piller,79,0.22,139,3.0
155,T149,T149,Shawn Stefani,76,0.22,137,3.0
156,157,157,Adam Scott,78,0.21,145,3.0
157,T158,T158,Jonas Blixt,67,0.2,98,2.0
158,T158,T158,Jason Day,75,0.2,98,2.0
159,T158,T158,"Ted Potter, Jr.",87,0.2,147,3.0
160,161,161,Chris Stroud,81,0.19,108,2.0
161,T162,T162,Jonathan Byrd,70,0.18,114,2.0
162,T162,T162,Scott Piercy,84,0.18,165,3.0
163,T162,T162,Vaughn Taylor,83,0.18,165,3.0
164,T165,T165,Patrick Reed,94,0.17,116,2.0
165,T165,T165,Nick Taylor,94,0.17,176,3.0
166,T167,T167,Jason Dufner,71,0.16,128,2.0
167,T167,T167,Hunter Mahan,67,0.16,127,2.0
