,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Whee Kim,93,10.11,267,27
1,2,2,Beau Hossler,104,9.51,389,37
2,3,3,Emiliano Grillo,94,9.32,279,26
3,4,4,Cody Gribble,71,8.76,194,17
4,5,5,Harris English,84,8.61,267,23
5,6,6,Alex Noren,67,8.5,247,21
6,7,7,Michael Thompson,62,8.16,282,23
7,8,8,Brandt Snedeker,84,8.15,319,26
8,9,9,Kyle Stanley,93,8.07,285,23
9,10,10,Martin Laird,73,7.84,268,21
10,11,11,Tom Lovelady,87,7.45,282,21
11,12,12,Tony Finau,105,7.42,364,27
12,13,13,Brandon Harkins,101,7.37,339,25
13,14,14,Tommy Fleetwood,73,7.36,231,17
14,15,15,Roberto Díaz,72,7.32,246,18
15,16,16,Matt Jones,70,7.28,206,15
16,17,17,Derek Fathauer,84,7.27,289,21
17,18,18,Ricky Barnes,65,7.19,167,12
18,19,19,Brian Gay,103,7.12,365,26
19,20,20,Talor Gooch,78,7.11,225,16
20,21,21,Tom Hoge,101,7.06,269,19
21,T22,T22,Brian Harman,94,6.98,301,21
22,T22,T22,Brooks Koepka,64,6.98,215,15
23,T22,T22,Kevin Na,91,6.98,258,18
24,25,25,Brett Stegmaier,67,6.96,230,16
25,26,26,Jimmy Walker,81,6.91,246,17
26,T27,T27,Ben Silverman,90,6.83,293,20
27,T27,T27,Aaron Wise,90,6.83,366,25
28,T29,T29,Joel Dahmen,93,6.67,300,20
29,T29,T29,Kevin Kisner,89,6.67,300,20
30,31,31,Andrew Landry,82,6.64,271,18
31,32,32,Wesley Bryan,69,6.59,182,12
32,T33,T33,Chris Kirk,108,6.58,380,25
33,T33,T33,Justin Thomas,91,6.58,243,16
34,T35,T35,Nicholas Lindheim,77,6.56,259,17
35,T35,T35,Jordan Spieth,81,6.56,259,17
36,37,37,Seamus Power,86,6.54,306,20
37,38,38,Rory Sabbatini,91,6.53,337,22
38,39,39,Ryan Blaum,81,6.46,325,21
39,40,40,Jim Furyk,50,6.45,186,12
40,41,41,Jamie Lovemark,92,6.41,312,20
41,42,42,David Hearn,66,6.4,203,13
42,43,43,Gary Woodland,96,6.38,298,19
43,44,44,Pat Perez,82,6.35,189,12
44,T45,T45,Dominic Bozzelli,65,6.33,221,14
45,T45,T45,Dustin Johnson,77,6.33,221,14
46,47,47,Austin Cook,107,6.3,381,24
47,48,48,Blayne Barber,69,6.29,286,18
48,49,49,Hideki Matsuyama,75,6.28,223,14
49,T50,T50,Chad Campbell,87,6.25,272,17
50,T50,T50,Ethan Tracy,72,6.25,240,15
51,52,52,Andrew Yun,51,6.21,145,9
52,53,53,Stephan Jaeger,81,6.16,292,18
53,54,54,Bud Cauley,55,6.06,165,10
54,55,55,Harold Varner III,91,6.04,298,18
55,T56,T56,William McGirt,84,6.02,349,21
56,T56,T56,Francesco Molinari,73,6.02,216,13
57,58,58,Conrad Shindler,60,6.01,183,11
58,T59,T59,Greg Chalmers,56,5.99,167,10
59,T59,T59,Stewart Cink,87,5.99,267,16
60,61,61,Sam Ryder,82,5.94,286,17
61,62,62,Ollie Schniederjans,91,5.92,287,17
62,63,63,Bronson Burgoon,69,5.91,254,15
63,64,64,Russell Knox,94,5.88,340,20
64,T65,T65,Denny McCarthy,71,5.83,240,14
65,T65,T65,J.T. Poston,73,5.83,223,13
66,T65,T65,Jonathan Randolph,71,5.83,240,14
67,68,68,Steve Wheatcroft,60,5.79,190,11
68,69,69,Tyler Duncan,97,5.78,346,20
69,70,70,Matt Kuchar,88,5.77,260,15
70,71,71,Robert Streb,78,5.76,243,14
71,72,72,Ryan Armour,109,5.75,400,23
72,T73,T73,Tyrrell Hatton,58,5.74,209,12
73,T73,T73,Kevin Tway,110,5.74,383,22
74,75,75,Henrik Stenson,60,5.73,227,13
75,76,76,Charles Howell III,104,5.69,369,21
76,T77,T77,Chesson Hadley,103,5.67,353,20
77,T77,T77,Webb Simpson,95,5.67,335,19
78,T79,T79,Troy Merritt,89,5.61,285,16
79,T79,T79,Peter Uihlein,83,5.61,285,16
80,81,81,Billy Hurley III,70,5.58,251,14
81,82,82,Fabián Gómez,88,5.57,323,18
82,T83,T83,Justin Rose,70,5.56,216,12
83,T83,T83,Cameron Tringale,67,5.56,234,13
84,T85,T85,Bill Haas,76,5.54,289,16
85,T85,T85,Zach Johnson,94,5.54,271,15
