,Putting_from_6_RANK THIS WEEK,Putting_from_6_RANK LAST WEEK,Putting_from_6_PLAYER NAME,Putting_from_6_ROUNDS,Putting_from_6_% MADE,Putting_from_6_ATTEMPTS,Putting_from_6_PUTTS MADE
0,1,1,Graeme McDowell,67,89.36,47,42
1,2,2,Ian Poulter,73,88.0,50,44
2,3,3,Louis Oosthuizen,62,85.71,49,42
3,4,4,Kevin Kisner,89,84.93,73,62
4,5,5,Matt Kuchar,88,84.48,58,49
5,6,6,Ricky Barnes,65,84.21,38,32
6,7,7,Patrick Reed,94,84.15,82,69
7,8,8,Alex Noren,67,83.33,48,40
8,9,9,Hunter Mahan,67,82.46,57,47
9,10,10,Jamie Lovemark,92,81.58,76,62
10,11,11,Jason Day,75,81.13,53,43
11,12,12,Paul Casey,74,80.95,63,51
12,13,13,Denny McCarthy,71,80.85,47,38
13,14,14,Nate Lashley,51,80.49,41,33
14,15,15,Roberto Díaz,72,80.0,55,44
15,16,16,Justin Thomas,91,79.45,73,58
16,17,17,Ben Crane,65,79.17,48,38
17,18,18,Trey Mullinax,75,78.95,57,45
18,19,19,Michael Thompson,62,78.85,52,41
19,20,20,Aaron Baddeley,84,78.67,75,59
20,21,21,Cameron Smith,85,78.57,56,44
21,22,22,Webb Simpson,95,78.48,79,62
22,23,23,Jonathan Randolph,71,78.13,64,50
23,24,24,Justin Rose,70,77.42,62,48
24,25,25,Branden Grace,67,77.08,48,37
25,26,26,Derek Fathauer,84,76.92,78,60
26,27,27,Rory McIlroy,64,76.74,43,33
27,28,28,Martin Piller,79,76.67,90,69
28,29,29,Peter Uihlein,83,76.36,55,42
29,30,30,Ben Silverman,90,76.32,76,58
30,T31,T31,Cody Gribble,71,76.19,63,48
31,T31,T31,Tyrrell Hatton,58,76.19,42,32
32,T31,T31,Beau Hossler,104,76.19,84,64
33,T31,T31,Henrik Stenson,60,76.19,42,32
34,T35,T35,Talor Gooch,78,76.12,67,51
35,T35,T35,Seamus Power,86,76.12,67,51
36,T35,T35,Robert Streb,78,76.12,67,51
37,38,38,Billy Horschel,86,76.09,92,70
38,39,39,Tiger Woods,68,75.93,54,41
39,T40,T40,Bud Cauley,55,75.86,29,22
40,T40,T40,Michael Kim,74,75.86,58,44
41,42,42,Chris Stroud,81,75.81,62,47
42,43,43,Scott Piercy,84,75.71,70,53
43,44,44,Chris Kirk,108,75.53,94,71
44,45,45,Ryan Blaum,81,75.34,73,55
45,46,46,Ollie Schniederjans,91,75.31,81,61
46,47,47,Richy Werenski,98,75.29,85,64
47,T48,T48,Scott Brown,102,75.0,96,72
48,T48,T48,Wesley Bryan,69,75.0,64,48
49,T48,T48,Greg Chalmers,56,75.0,36,27
50,T48,T48,Dustin Johnson,77,75.0,60,45
51,T48,T48,Johnson Wagner,75,75.0,60,45
52,53,53,"Ted Potter, Jr.",87,74.75,99,74
53,54,54,Corey Conners,97,74.68,79,59
54,55,55,Jimmy Walker,81,74.63,67,50
55,56,56,Brian Harman,94,74.6,63,47
56,57,57,Marc Leishman,93,74.42,86,64
57,58,58,Brandt Snedeker,84,74.39,82,61
58,59,59,Nicholas Lindheim,77,74.24,66,49
59,60,60,John Huh,94,74.23,97,72
60,61,61,Brooks Koepka,64,74.19,62,46
61,62,62,Harris English,84,73.97,73,54
62,63,63,Emiliano Grillo,94,73.33,90,66
63,64,64,Peter Malnati,87,73.2,97,71
64,65,65,Andrew Yun,51,73.17,41,30
65,66,66,Keith Mitchell,99,73.12,93,68
66,67,67,Fabián Gómez,88,73.08,78,57
67,68,68,Chez Reavie,93,73.02,63,46
68,69,69,Brian Stuard,103,72.9,107,78
69,70,70,Sam Ryder,82,72.6,73,53
70,71,71,Tommy Fleetwood,73,72.58,62,45
71,72,72,Bronson Burgoon,69,72.55,51,37
72,73,73,Patrick Rodgers,97,72.41,87,63
73,74,74,Daniel Berger,81,72.31,65,47
74,75,75,Sam Saunders,80,72.22,72,52
75,T76,T76,Danny Lee,88,72.09,86,62
76,T76,T76,Daniel Summerhays,51,72.09,43,31
77,T78,T78,Blayne Barber,69,72.0,75,54
78,T78,T78,Phil Mickelson,90,72.0,100,72
79,T78,T78,Charl Schwartzel,65,72.0,50,36
80,81,81,Kelly Kraft,94,71.95,82,59
81,82,82,Kevin Na,91,71.88,64,46
82,83,83,Alex Cejka,77,71.64,67,48
83,84,84,Xander Schauffele,96,71.6,81,58
84,85,85,Anirban Lahiri,82,71.59,88,63
85,T86,T86,Jonathan Byrd,70,71.43,42,30
86,T86,T86,Jim Furyk,50,71.43,42,30
87,T86,T86,Billy Hurley III,70,71.43,56,40
88,T86,T86,Si Woo Kim,108,71.43,91,65
89,90,90,Brandon Harkins,101,71.28,94,67
90,91,91,Sung Kang,89,71.08,83,59
91,92,92,Bryson DeChambeau,93,70.97,93,66
92,93,93,Abraham Ancer,98,70.93,86,61
93,94,94,Jason Kokrak,99,70.79,89,63
94,95,95,Austin Cook,107,70.75,106,75
95,T96,T96,Andrew Putnam,97,70.73,82,58
96,T96,T96,Nick Taylor,94,70.73,82,58
97,98,98,Aaron Wise,90,70.65,92,65
98,99,99,Whee Kim,93,70.53,95,67
99,100,100,Adam Schenk,86,70.51,78,55
100,T101,T101,Luke List,98,70.45,88,62
101,T101,T101,C.T. Pan,104,70.45,88,62
102,103,103,Sean O'Hair,67,70.42,71,50
103,T104,T104,Dominic Bozzelli,65,70.37,54,38
104,T104,T104,Brian Gay,103,70.37,108,76
105,106,106,J.T. Poston,73,70.18,57,40
106,T107,T107,Robert Garrigus,80,70.0,70,49
107,T107,T107,Shawn Stefani,76,70.0,60,42
108,T107,T107,Nick Watney,94,70.0,80,56
109,110,110,Tyrone Van Aswegen,101,69.9,103,72
110,111,111,Brendan Steele,74,69.81,53,37
111,112,112,Tom Hoge,101,69.77,86,60
112,113,113,Gary Woodland,96,69.74,76,53
113,114,114,Jordan Spieth,81,69.57,69,48
114,115,115,Andrew Landry,82,69.23,78,54
115,116,116,Tyler Duncan,97,69.15,94,65
116,T117,T117,Rickie Fowler,74,68.97,58,40
117,T117,T117,Ben Martin,64,68.97,58,40
118,119,119,Jhonattan Vegas,92,68.75,64,44
119,120,120,Ryan Palmer,69,68.18,44,30
120,121,121,Russell Knox,94,67.95,78,53
121,122,122,Lanto Griffin,80,67.57,74,50
122,123,123,J.B. Holmes,77,67.47,83,56
123,124,124,Scott Stallings,96,67.39,92,62
124,125,125,Jon Rahm,71,67.21,61,41
125,126,126,Patrick Cantlay,87,67.19,64,43
126,127,127,Kyle Stanley,93,67.12,73,49
127,128,128,William McGirt,84,67.11,76,51
128,T129,T129,Byeong Hun An,86,66.67,90,60
129,T129,T129,Kiradech Aphibarnrat,51,66.67,36,24
130,T129,T129,Matt Atkins,56,66.67,48,32
131,T129,T129,Kevin Chappell,77,66.67,72,48
132,T129,T129,Tony Finau,105,66.67,87,58
133,T129,T129,Martin Laird,73,66.67,72,48
134,T129,T129,Pat Perez,82,66.67,57,38
135,136,136,Kevin Tway,110,66.36,107,71
136,137,137,Patton Kizzire,92,66.27,83,55
137,138,138,Zach Johnson,94,66.2,71,47
138,T139,T139,Joel Dahmen,93,66.18,68,45
139,T139,T139,Adam Scott,78,66.18,68,45
140,141,141,Matt Every,79,66.13,62,41
141,142,142,Francesco Molinari,73,66.04,53,35
142,143,143,Rob Oppenheim,74,65.96,47,31
143,144,144,Vaughn Taylor,83,65.82,79,52
144,145,145,Brice Garnett,99,65.79,76,50
145,146,146,Ethan Tracy,72,65.71,70,46
146,147,147,Rory Sabbatini,91,65.59,93,61
147,148,148,Jason Dufner,71,65.52,58,38
148,149,149,Satoshi Kodaira,51,65.22,46,30
149,150,150,Jonas Blixt,67,65.12,43,28
150,151,151,Bubba Watson,90,65.08,63,41
151,152,152,Harold Varner III,91,65.0,80,52
152,153,153,Kevin Streelman,94,64.77,88,57
153,154,154,Brett Stegmaier,67,64.29,56,36
154,155,155,Hudson Swafford,73,64.15,53,34
155,156,156,Chesson Hadley,103,63.92,97,62
156,157,157,Martin Flores,92,63.89,72,46
157,158,158,D.A. Points,63,63.64,55,35
158,159,159,Zecheng Dou,53,63.27,49,31
159,T160,T160,Keegan Bradley,98,63.24,68,43
160,T160,T160,Ryan Moore,78,63.24,68,43
161,162,162,Bill Haas,76,63.16,57,36
162,163,163,Hideki Matsuyama,75,62.5,72,45
163,164,164,Stewart Cink,87,62.32,69,43
164,165,165,Charley Hoffman,87,62.3,61,38
165,166,166,J.J. Spaun,85,62.12,66,41
166,167,167,Mackenzie Hughes,80,62.11,95,59
167,168,168,Stephan Jaeger,81,61.54,65,40
168,T169,T169,Rafa Cabrera Bello,75,61.11,36,22
169,T169,T169,Troy Merritt,89,61.11,72,44
170,171,171,Tom Lovelady,87,60.94,64,39
171,T172,T172,Zac Blair,64,60.47,43,26
172,T172,T172,David Hearn,66,60.47,43,26
173,T174,T174,Retief Goosen,60,60.0,30,18
174,T174,T174,Russell Henley,77,60.0,60,36
175,T174,T174,Cameron Percy,56,60.0,50,30
176,T174,T174,Xinjun Zhang,81,60.0,70,42
177,178,178,Cameron Tringale,67,59.18,49,29
178,179,179,Adam Hadwin,92,59.02,61,36
179,180,180,David Lingmerth,82,58.9,73,43
180,181,181,Matt Jones,70,58.7,46,27
181,182,182,Ryan Armour,109,58.62,87,51
182,183,183,James Hahn,85,58.44,77,45
183,184,184,Grayson Murray,72,58.18,55,32
184,185,185,Kyle Thompson,50,58.0,50,29
185,186,186,Conrad Shindler,60,57.78,45,26
186,T187,T187,Lucas Glover,65,57.69,52,30
187,T187,T187,Charles Howell III,104,57.69,78,45
188,189,189,Chad Campbell,87,56.67,90,51
189,190,190,J.J. Henry,81,56.52,69,39
190,191,191,Steve Wheatcroft,60,55.0,40,22
191,192,192,Shane Lowry,64,54.55,55,30
192,193,193,Rod Pampling,62,47.73,44,21
