,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,J.B. Holmes,74,304.4,14309.0,47,352.8,226.2
1,2,2,Bubba Watson,73,300.3,12013.4,40,341.2,244.5
2,3,3,Dustin Johnson,85,298.9,16738.9,56,342.0,256.4
3,4,4,Robert Garrigus,83,297.8,16678.8,56,340.7,235.9
4,5,5,Gary Woodland,53,293.9,7934.7,27,315.2,262.2
5,6,6,Phil Mickelson,66,293.0,11427.9,39,322.9,245.5
6,7,7,Tag Ridings,50,291.2,11066.4,38,332.4,252.6
7,8,8,Andres Romero,58,290.7,11338.0,39,329.8,238.8
8,9,9,Charley Hoffman,97,290.2,20605.1,71,318.7,248.9
9,10,10,Anthony Kim,76,289.3,14176.7,49,338.7,237.1
10,11,11,Martin Laird,72,288.8,12993.9,45,328.9,251.4
11,12,12,Davis Love III,89,288.7,18473.8,64,338.8,203.8
12,13,13,Ángel Cabrera,55,288.4,9806.0,34,325.0,239.2
13,14,14,Tiger Woods,64,287.0,8895.9,31,320.7,250.3
14,15,15,Marc Leishman,91,285.7,19141.8,67,320.5,250.8
15,16,16,Harrison Frazar,93,285.1,18532.3,65,318.9,244.6
16,17,17,Jason Day,61,284.4,11374.3,40,318.7,247.4
17,18,18,Troy Matteson,95,283.8,22702.3,80,325.9,247.4
18,T19,T19,Fred Couples,54,283.3,10766.3,38,312.5,259.9
19,T19,T19,Matt Jones,56,283.3,9917.2,35,315.5,249.0
20,21,21,Adam Scott,53,283.2,10761.0,38,335.8,206.2
21,22,22,Nick Watney,86,282.9,16972.6,60,311.4,244.1
22,23,23,Daniel Chopra,89,282.2,22291.0,79,330.9,208.6
23,T24,T24,George McNeill,82,281.9,16914.8,60,310.7,246.4
24,T24,T24,Scott Piercy,85,281.9,15787.7,56,310.2,238.6
25,T24,T24,Vijay Singh,71,281.9,16630.7,59,326.7,228.7
26,27,27,Leif Olson,51,281.6,9012.7,32,321.7,239.5
27,28,28,John Merrick,91,280.7,17966.1,64,310.4,235.0
28,29,29,Stewart Cink,79,280.0,16519.0,59,324.8,228.7
29,30,30,Jimmy Walker,74,279.8,11472.1,41,317.0,234.8
30,31,31,Lucas Glover,93,279.7,18180.8,65,309.6,238.5
31,T32,T32,Ryan Palmer,78,279.6,17336.2,62,308.9,245.4
32,T32,T32,Charles Warren,63,279.6,12023.8,43,301.9,239.9
33,34,34,Bill Haas,91,279.2,20099.5,72,305.3,243.8
34,35,35,Bo Van Pelt,100,278.9,18688.0,67,311.2,246.8
35,36,36,Jonathan Byrd,89,278.7,15606.1,56,311.3,247.0
36,T37,T37,Steve Marino,98,278.6,22009.4,79,308.4,249.5
37,T37,T37,Geoff Ogilvy,78,278.6,17552.6,63,315.1,210.7
38,39,39,Kevin Streelman,97,278.2,22530.5,81,314.2,229.7
39,40,40,John Senden,100,277.9,19728.4,71,313.3,248.7
40,41,41,Sergio Garcia,59,277.7,10830.9,39,309.9,238.1
41,42,42,Mathew Goggin,76,277.6,15268.4,55,318.8,242.6
42,43,43,Peter Tomasulo,61,277.5,10546.2,38,302.5,246.0
43,44,44,David Duval,56,277.0,9142.4,33,306.4,239.9
44,T45,T45,Retief Goosen,74,276.8,14116.4,51,311.5,246.9
