,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Corey Pavin,73,21.09,158,749,+0.127
1,2,2,Brad Faxon,59,15.26,110,721,+0.300
2,3,3,Eric Axley,71,10.5,86,819,+0.419
3,4,4,Chris Riley,77,10.49,98,934,+0.031
4,5,5,Parker McLachlin,71,10.47,98,936,+0.316
5,6,6,Brendon Todd,53,10.37,68,656,+0.206
6,7,7,Richard Johnson,85,10.35,107,1034,+0.019
7,8,8,Mark Brooks,55,10.09,56,555,+0.107
8,9,9,Scott Sterling,51,9.93,55,554,+0.127
9,10,10,Greg Kraft,51,9.9,57,576,+0.281
10,11,11,Dean Wilson,81,9.86,96,974,+0.083
11,12,12,Aron Price,89,9.81,105,1070,+0.019
12,13,13,Tom Lehman,55,9.26,45,486,-0.044
13,14,14,Spencer Levin,75,9.03,84,930,+0.048
14,15,15,Jeff Quinney,78,9.0,89,989,+0.225
15,T16,T16,Brad Adamonis,70,8.61,73,848,+0.041
16,T16,T16,Greg Chalmers,85,8.61,85,987,+0.153
17,18,18,Bart Bryant,58,8.44,61,723,+0.230
18,19,19,John Mallinger,90,8.23,81,984,+0.160
19,20,20,Marc Turnesa,77,8.17,81,992,+0.099
20,21,21,David Duval,56,8.16,50,613,+0.280
21,22,22,Chris DiMarco,97,8.09,98,1212,+0.122
22,23,23,Glen Day,79,7.88,70,888,+0.271
23,24,24,Charlie Wi,92,7.82,86,1100,+0.081
24,25,25,Nathan Green,104,7.81,100,1281,+0.230
25,26,26,Steve Flesch,77,7.67,67,873,+0.060
26,27,27,Kent Jones,73,7.65,65,850,-0.015
27,28,28,Nick O'Hern,90,7.61,90,1182,+0.156
28,29,29,Brian Gay,96,7.59,87,1146,-0.034
29,30,30,Lee Janzen,74,7.56,64,847,+0.156
30,31,31,Cliff Kresge,78,7.52,70,931,+0.186
31,32,32,Adam Scott,53,7.46,44,590,+0.205
32,33,33,Bob Estes,78,7.28,70,962,+0.186
33,34,34,David Mathis,82,7.2,69,958,+0.290
34,35,35,Luke Donald,79,7.03,60,854,+0.183
35,36,36,Steve Elkington,70,6.98,60,859,+0.067
36,37,37,Johnson Wagner,81,6.97,72,1033,+0.153
37,38,38,Colt Knost,71,6.94,54,778,+0.074
38,39,39,Jeff Klauk,97,6.87,84,1222,+0.107
39,40,40,Bill Lunde,83,6.81,71,1042,+0.070
40,41,41,Bryce Molder,69,6.75,51,756,+0.059
