,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Nick Watney,86,0.732,49.785,68
1,2,2,Boo Weekley,79,0.721,46.875,65
2,3,3,Steve Marino,98,0.6679999999999999,56.145,84
3,4,4,Lucas Glover,93,0.638,50.427,79
4,T5,T5,Hunter Mahan,94,0.628,47.123000000000005,75
5,T5,T5,Charles Warren,63,0.628,33.281,53
6,7,7,John Rollins,92,0.618,48.852,79
7,8,8,Jonathan Byrd,89,0.581,45.883,79
8,9,9,Kenny Perry,92,0.5660000000000001,41.325,73
9,10,10,Sean O'Hair,80,0.539,31.250999999999998,58
10,11,11,Martin Laird,72,0.5379999999999999,33.353,62
11,12,12,Bill Haas,91,0.535,43.846000000000004,82
12,13,13,Dustin Johnson,85,0.509,32.58,64
13,14,14,D.J. Trahan,96,0.506,40.454,80
14,15,15,David Toms,98,0.49700000000000005,39.799,80
15,16,16,Robert Allenby,71,0.493,27.634,56
16,17,17,Troy Matteson,95,0.486,42.765,88
17,18,18,Nicholas Thompson,96,0.473,41.146,87
18,19,19,Joe Durant,62,0.465,21.853,47
19,20,20,Sergio Garcia,59,0.46,20.244,44
20,21,21,Greg Owen,97,0.452,37.067,82
21,22,22,Jeff Maggert,79,0.447,32.598,73
22,23,23,John Senden,100,0.44299999999999995,40.717,92
23,24,24,Kevin Streelman,97,0.43700000000000006,37.976,87
24,25,25,Tag Ridings,50,0.429,17.574,41
25,26,26,Camilo Villegas,76,0.42700000000000005,23.903000000000002,56
26,27,27,Ted Purdy,101,0.42100000000000004,37.496,89
27,28,28,Robert Garrigus,83,0.418,30.06,72
28,29,29,Heath Slocum,95,0.415,35.302,85
29,30,30,Charley Hoffman,97,0.405,35.271,87
30,31,31,Mathew Goggin,76,0.40299999999999997,24.185,60
31,32,32,Ernie Els,70,0.397,21.42,54
32,T33,T33,Bo Van Pelt,100,0.387,31.726999999999997,82
33,T33,T33,Bubba Watson,73,0.387,22.074,57
34,35,35,Davis Love III,89,0.384,29.56,77
35,36,36,Vijay Singh,71,0.377,19.224,51
36,37,37,Ángel Cabrera,55,0.37200000000000005,14.149000000000001,38
37,T38,T38,Andres Romero,58,0.37,15.902999999999999,43
38,T38,T38,Kirk Triplett,60,0.37,20.329,55
39,40,40,Tommy Armour III,58,0.353,18.332,52
40,41,41,Tiger Woods,64,0.335,16.078,48
41,42,42,Michael Allen,73,0.32899999999999996,19.074,58
42,43,43,Jason Gore,74,0.326,20.209,62
43,T44,T44,Jason Day,61,0.32299999999999995,16.157,50
44,T44,T44,Jason Dufner,90,0.32299999999999995,25.191999999999997,78
45,46,46,Phil Mickelson,66,0.312,14.970999999999998,48
46,47,47,Fred Couples,54,0.304,12.782,42
47,48,48,Rory Sabbatini,81,0.299,20.032,67
48,49,49,Ben Crane,93,0.282,22.595,80
49,50,50,Steve Stricker,81,0.275,17.055,62
50,51,51,James Nitties,86,0.262,19.889,76
51,52,52,Ryan Moore,89,0.26,19.487000000000002,75
52,53,53,Scott McCarron,91,0.259,20.97,81
53,54,54,Geoff Ogilvy,78,0.258,14.982000000000001,58
54,55,55,Will MacKenzie,69,0.257,15.665999999999999,61
55,T56,T56,Retief Goosen,74,0.253,14.171,56
56,T56,T56,Zach Johnson,94,0.253,19.958,79
57,58,58,Peter Tomasulo,61,0.249,11.459000000000001,46
58,59,59,Michael Letzig,96,0.24,20.668000000000003,86
59,60,60,Kevin Sutherland,96,0.233,17.029,73
60,61,61,Scott Verplank,88,0.22899999999999998,18.1,79
61,62,62,Ian Poulter,59,0.222,9.33,42
62,63,63,Stephen Ames,77,0.214,12.171,57
63,64,64,Justin Rose,71,0.18899999999999997,10.763,57
64,65,65,Steve Lowery,83,0.185,14.279000000000002,77
65,66,66,Rod Pampling,72,0.183,11.724,64
66,67,67,Brian Davis,103,0.18100000000000002,16.492,91
67,68,68,Y.E. Yang,83,0.17,11.897,70
68,69,69,Marc Leishman,91,0.163,13.714,84
69,70,70,John Merrick,91,0.162,11.004000000000001,68
70,71,71,Jason Bohn,88,0.16,13.151,82
71,72,72,Jarrod Lyle,65,0.159,7.947,50
72,T73,T73,Kris Blanks,60,0.154,7.23,47
73,T73,T73,Ben Curtis,63,0.154,7.237,47
74,75,75,Mark Wilson,99,0.147,12.924000000000001,88
75,76,76,Bill Lunde,83,0.14300000000000002,10.702,75
76,77,77,Tom Lehman,55,0.141,4.931,35
77,78,78,Brendon de Jonge,90,0.134,10.575999999999999,79
78,79,79,Charles Howell III,99,0.13,10.759,83
79,80,80,Tim Clark,81,0.125,7.362,59
80,81,81,J.B. Holmes,74,0.12300000000000001,7.496,61
81,T82,T82,Matt Kuchar,82,0.12,8.491,71
82,T82,T82,Tim Petrovic,97,0.12,10.325,86
83,84,84,Scott Piercy,85,0.11900000000000001,9.015,76
84,85,85,Anthony Kim,76,0.115,6.922999999999999,60
85,86,86,Paul Goydos,79,0.107,6.982,65
86,87,87,Rich Beem,77,0.10099999999999999,5.859,58
87,88,88,Stewart Cink,79,0.098,5.775,59
88,T89,T89,Steve Elkington,70,0.09699999999999999,5.984,62
89,T89,T89,John Mallinger,90,0.09699999999999999,6.862,71
90,91,91,Darron Stiles,52,0.094,3.943,42
91,92,92,D.A. Points,99,0.068,5.836,86
92,93,93,Tim Herron,87,0.067,5.394,81
93,94,94,Jerry Kelly,90,0.062,4.758,77
94,95,95,Brian Vranesh,51,0.06,2.568,43
95,96,96,Todd Hamilton,83,0.055,3.491,64
96,97,97,J.J. Henry,97,0.03,2.485,84
97,98,98,Rocco Mediate,79,0.028999999999999998,1.939,66
98,99,99,Billy Mayfair,83,0.02,1.367,69
99,100,100,Kevin Stadler,65,0.018000000000000002,0.9740000000000001,54
100,101,101,Justin Leonard,95,0.008,0.575,75
101,102,102,Kent Jones,73,0.004,0.247,61
102,103,103,Adam Scott,53,-0.005,-0.19,42
103,T104,T104,Alex Cejka,82,-0.006,-0.392,71
104,T104,T104,K.J. Choi,65,-0.006,-0.299,50
105,T106,T106,Briny Baird,89,-0.012,-0.851,72
106,T106,T106,Colt Knost,71,-0.012,-0.653,56
107,108,108,Jeff Klauk,97,-0.016,-1.386,88
108,109,109,Jeff Overton,92,-0.017,-1.301,76
109,110,110,George McNeill,82,-0.02,-1.548,76
110,111,111,Jim Furyk,86,-0.021,-1.3630000000000002,65
111,112,112,Daniel Chopra,89,-0.022000000000000002,-1.79,83
112,113,113,Woody Austin,84,-0.036000000000000004,-2.76,76
113,114,114,Brandt Snedeker,81,-0.037000000000000005,-2.385,65
114,115,115,Ricky Barnes,67,-0.042,-2.122,51
115,116,116,Matt Bettencourt,98,-0.046,-4.007,87
116,117,117,Patrick Sheehan,51,-0.05,-1.9340000000000002,39
117,118,118,Harrison Frazar,93,-0.055999999999999994,-4.737,84
118,119,119,Chad Campbell,90,-0.057,-4.0569999999999995,71
119,120,120,Pat Perez,74,-0.07400000000000001,-4.587,62
120,121,121,Ken Duke,87,-0.077,-5.444,71
121,122,122,Jay Williamson,69,-0.084,-4.765,57
122,123,123,Mark Calcavecchia,72,-0.095,-5.885,62
123,124,124,Bart Bryant,58,-0.106,-5.492000000000001,52
124,125,125,Cliff Kresge,78,-0.10800000000000001,-7.212999999999999,67
125,126,126,Bob Estes,78,-0.128,-8.798,69
126,127,127,Casey Wittenberg,71,-0.132,-7.129,54
127,128,128,Chris Stroud,88,-0.133,-10.123,76
128,129,129,Glen Day,79,-0.139,-8.887,64
129,130,130,Scott Sterling,51,-0.14,-5.595,40
