,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,T1,T1,Marc Leishman,28,34.5,143,415,1.96
1,T1,T1,Parker McLachlin,25,34.5,133,386,1.65
2,3,3,Rory Sabbatini,25,35.5,130,366,1.77
3,4,4,Aaron Baddeley,23,36.2,113,312,1.15
4,5,5,Bryce Molder,21,37.1,85,229,2.82
5,6,6,Tiger Woods,17,37.2,81,218,0.62
6,7,7,Scott Piercy,28,37.4,156,417,1.09
7,8,8,Chad Campbell,26,37.6,124,330,1.69
8,9,9,Billy Mayfair,28,37.8,105,278,2.57
9,10,10,Mark Wilson,28,37.9,132,348,1.59
10,11,11,James Nitties,27,38.1,143,375,2.59
11,12,12,Kent Jones,24,38.5,92,239,2.07
12,T13,T13,John Merrick,28,38.9,133,342,1.95
13,T13,T13,Kirk Triplett,20,38.9,72,185,0.56
14,15,15,Bo Van Pelt,30,39.2,149,380,1.61
15,16,16,Troy Matteson,30,39.3,173,440,1.45
16,T17,T17,Ken Duke,29,39.9,142,356,1.41
17,T17,T17,Colt Knost,24,39.9,85,213,2.59
18,T17,T17,Chris Riley,22,39.9,95,238,1.79
19,20,20,Aron Price,27,40.3,147,365,1.7
20,21,21,Scott Verplank,24,40.4,118,292,2.29
21,22,22,Todd Hamilton,29,40.5,120,296,3.08
22,23,23,Hunter Mahan,25,40.6,147,362,2.52
23,T24,T24,Greg Chalmers,26,40.9,131,320,1.53
24,T24,T24,Brendon de Jonge,29,40.9,155,379,2.26
25,T24,T24,Robert Garrigus,25,40.9,150,367,1.2
26,27,27,Bill Lunde,27,41.2,139,337,2.01
27,T28,T28,Corey Pavin,23,41.3,85,206,2.0
28,T28,T28,Mike Weir,24,41.3,140,339,1.79
29,30,30,Martin Laird,24,41.4,121,292,2.73
30,31,31,Casey Wittenberg,25,41.8,100,239,1.8
31,32,32,Brian Gay,27,41.9,126,301,1.83
32,33,33,Mark Brooks,17,42.1,59,140,0.85
33,34,34,Chris DiMarco,29,42.3,162,383,1.36
34,35,35,Charles Howell III,29,42.4,179,422,0.67
35,36,36,Jimmy Walker,24,42.5,148,348,1.62
36,T37,T37,Matt Jones,17,42.6,98,230,0.82
37,T37,T37,Heath Slocum,30,42.6,130,305,2.69
38,39,39,Ian Poulter,17,42.8,86,201,1.16
39,40,40,Kevin Streelman,29,43.0,178,414,0.73
40,41,41,Steve Lowery,27,43.1,151,350,2.19
41,42,42,Stewart Cink,22,43.5,137,315,1.82
42,43,43,Derek Fathauer,25,43.6,123,282,1.38
43,44,44,Joe Durant,20,43.7,69,158,1.74
44,T45,T45,George McNeill,26,44.0,169,384,1.3
45,T45,T45,Greg Owen,30,44.0,146,332,1.3
46,47,47,Mark Calcavecchia,23,44.2,141,319,1.91
47,48,48,Darron Stiles,20,44.4,63,142,3.65
48,49,49,Lucas Glover,26,44.9,164,365,1.52
49,T50,T50,Harrison Frazar,28,45.0,227,505,2.33
50,T50,T50,Zach Johnson,26,45.0,130,289,1.31
51,52,52,Justin Rose,22,45.2,122,270,1.23
52,53,53,Bob Estes,23,45.5,135,297,2.81
53,54,54,Anthony Kim,22,45.6,152,333,0.99
54,T55,T55,Scott McCarron,27,45.7,127,278,2.05
55,T55,T55,Rocco Mediate,22,45.7,144,315,0.69
56,T57,T57,Paul Goydos,25,45.8,114,249,2.46
57,T57,T57,Camilo Villegas,21,45.8,121,264,1.57
58,59,59,Scott Sterling,16,45.9,84,183,1.19
59,T60,T60,Alex Cejka,25,46.0,134,291,1.87
60,T60,T60,Ernie Els,19,46.0,109,237,1.93
61,T60,T60,Jarrod Lyle,21,46.0,120,261,1.25
62,T63,T63,Bart Bryant,17,46.1,88,191,3.86
63,T63,T63,Will MacKenzie,24,46.1,119,258,2.86
64,T63,T63,Geoff Ogilvy,20,46.1,136,295,0.44
65,66,66,Brian Vranesh,20,46.2,91,197,2.64
66,T67,T67,Brad Adamonis,25,46.3,157,339,1.97
67,T67,T67,Tag Ridings,16,46.3,100,216,1.6
68,T67,T67,Brandt Snedeker,26,46.3,112,242,1.16
69,T67,T67,David Toms,27,46.3,132,285,1.67
70,T71,T71,Greg Kraft,21,46.8,87,186,2.87
71,T71,T71,Peter Lonard,30,46.8,153,327,2.81
72,T71,T71,D.A. Points,29,46.8,170,363,1.94
73,T71,T71,Chris Stroud,28,46.8,163,348,2.27
74,75,75,Steve Marino,29,46.9,184,392,0.11
75,76,76,Jay Williamson,22,47.0,102,217,2.84
76,77,77,Marc Turnesa,30,47.1,137,291,2.85
77,78,78,David Mathis,27,47.3,158,334,1.84
78,T79,T79,Ben Crane,27,47.5,161,339,1.06
79,T79,T79,Jeff Klauk,29,47.5,162,341,1.6
80,T79,T79,Ryan Moore,27,47.5,145,305,1.66
81,T82,T82,Kris Blanks,20,47.7,93,195,2.37
82,T82,T82,Charley Hoffman,27,47.7,215,451,0.84
83,T84,T84,Stephen Ames,23,48.0,118,246,2.37
84,T84,T84,Kevin Stadler,20,48.0,120,250,2.0
85,T86,T86,Ricky Barnes,23,48.1,126,262,1.98
86,T86,T86,Tom Lehman,16,48.1,65,135,2.0
87,T88,T88,Jason Dufner,26,48.3,160,331,1.88
88,T88,T88,Tom Pernice Jr.,26,48.3,174,360,1.09
89,T88,T88,D.J. Trahan,30,48.3,154,319,2.6
90,T91,T91,Woody Austin,24,48.4,164,339,1.28
91,T91,T91,Brian Bateman,25,48.4,133,275,3.01
92,T91,T91,Dustin Johnson,25,48.4,163,337,0.98
93,94,94,Luke Donald,21,48.5,150,309,1.13
94,T95,T95,Fred Couples,16,48.6,118,243,0.42
95,T95,T95,Matt Kuchar,24,48.6,157,323,0.13
96,T95,T95,Michael Letzig,28,48.6,219,451,2.1
97,T95,T95,Phil Mickelson,18,48.6,141,290,1.99
98,T95,T95,Ryan Palmer,26,48.6,153,315,2.22
99,T95,T95,Johnson Wagner,26,48.6,153,315,2.22
100,101,101,Gary Woodland,18,48.7,97,199,3.4
101,T102,T102,Tim Herron,27,49.0,215,439,2.14
102,T102,T102,Boo Weekley,22,49.0,124,253,2.02
103,T104,T104,Nathan Green,30,49.2,224,455,0.85
104,T104,T104,Tim Petrovic,31,49.2,177,360,1.69
105,T106,T106,Davis Love III,27,49.5,193,390,1.45
106,T106,T106,Adam Scott,19,49.5,106,214,1.32
107,108,108,Vijay Singh,21,49.6,125,252,0.48
108,T109,T109,Ben Curtis,18,49.8,111,223,0.45
109,T109,T109,Glen Day,26,49.8,130,261,1.92
110,111,111,John Rollins,27,49.9,175,351,2.46
111,T112,T112,Jeff Quinney,26,50.0,153,306,3.59
112,T112,T112,Andres Romero,20,50.0,113,226,0.62
113,T114,T114,Jeff Overton,28,50.1,232,463,1.72
114,T114,T114,Ted Purdy,30,50.1,199,397,1.71
115,T116,T116,Jason Day,18,50.2,118,235,2.03
116,T116,T116,Pat Perez,22,50.2,143,285,3.57
117,T116,T116,Brendon Todd,21,50.2,111,221,2.61
118,119,119,Nicholas Thompson,31,50.3,197,392,1.52
119,120,120,Charlie Wi,28,50.4,169,335,1.83
120,121,121,Brian Davis,32,50.6,195,385,1.49
121,122,122,Stuart Appleby,25,50.7,170,335,2.71
122,123,123,Jonathan Byrd,25,50.9,172,338,1.4
123,T124,T124,Cliff Kresge,28,51.0,158,310,2.03
124,T124,T124,Justin Leonard,26,51.0,155,304,1.81
125,T124,T124,John Mallinger,27,51.0,152,298,1.45
126,127,127,Daniel Chopra,28,51.1,217,425,2.17
127,128,128,Ryuji Imada,25,51.2,175,342,2.0
128,129,129,Michael Allen,22,51.3,122,238,1.56
129,130,130,Rick Price,21,51.4,90,175,3.56
130,T131,T131,Kevin Sutherland,27,51.5,184,357,2.34
131,T131,T131,Nick Watney,24,51.5,193,375,0.62
132,133,133,Retief Goosen,20,51.6,159,308,1.7
133,134,134,Ángel Cabrera,17,51.7,122,236,2.21
134,T135,T135,Jason Bohn,25,51.8,158,305,1.71
135,T135,T135,J.J. Henry,28,51.8,202,390,2.52
136,137,137,Freddie Jacobson,25,51.9,201,387,1.94
137,138,138,Padraig Harrington,20,52.1,146,280,1.64
138,139,139,Bill Haas,29,52.3,206,394,0.34
139,140,140,Jeff Maggert,28,52.5,155,295,2.65
140,T141,T141,Eric Axley,30,52.7,188,357,3.35
141,T141,T141,Rich Beem,26,52.7,138,262,1.81
142,143,143,Charles Warren,20,52.8,121,229,2.07
143,144,144,Mathew Goggin,26,52.9,138,261,2.03
144,145,145,Steve Elkington,23,53.0,132,249,2.35
145,T146,T146,Sean O'Hair,23,53.1,154,290,1.82
146,T146,T146,Kenny Perry,24,53.1,163,307,0.12
147,T148,T148,Cameron Beckman,26,53.2,189,355,1.8
148,T148,T148,Lee Janzen,23,53.2,151,284,2.58
149,T150,T150,Spencer Levin,25,53.3,171,321,0.88
150,T150,T150,Joe Ogilvie,29,53.3,220,413,0.64
151,152,152,Brett Quigley,28,53.4,203,380,1.08
152,T153,T153,Vaughn Taylor,28,53.5,183,342,2.3
153,T153,T153,Dean Wilson,29,53.5,167,312,2.46
154,T155,T155,Matt Bettencourt,31,53.7,240,447,2.92
155,T155,T155,Brad Faxon,23,53.7,145,270,3.66
156,T157,T157,Jim Furyk,23,53.8,136,253,1.76
157,T157,T157,Carl Pettersson,29,53.8,204,379,2.11
158,159,159,Chez Reavie,27,53.9,144,267,2.71
159,160,160,Rod Pampling,23,54.2,161,297,2.11
160,161,161,Matt Weibring,22,54.3,132,243,2.27
161,162,162,Kevin Na,26,54.5,199,365,1.41
162,163,163,Sergio Garcia,17,54.6,124,227,1.45
163,164,164,Briny Baird,28,54.7,164,300,2.01
