,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,T1,T1,Vijay Singh,71,5,2,3
1,T1,T1,Darron Stiles,52,5,4,1
2,3,3,Anthony Kim,76,11,1,10
3,4,4,Webb Simpson,94,12,2,10
4,5,5,David Toms,98,24,17,7
5,6,6,Ryan Palmer,78,27,9,18
6,7,7,Mark Wilson,99,29,7,22
7,8,8,Joe Ogilvie,85,31,13,18
8,9,9,John Mallinger,90,32,18,14
9,10,10,Geoff Ogilvy,78,33,24,9
10,11,11,Kenny Perry,92,38,25,13
11,12,12,Steve Marino,98,40,6,34
12,T13,T13,Jeff Maggert,79,48,44,4
13,T13,T13,Parker McLachlin,71,48,41,7
14,T15,T15,K.J. Choi,65,51,45,6
15,T15,T15,Kevin Sutherland,96,51,11,40
16,17,17,Jason Gore,74,55,33,22
17,18,18,Heath Slocum,95,56,40,16
18,19,19,Vaughn Taylor,88,57,14,43
19,20,20,Glen Day,79,58,25,33
20,21,21,Chez Reavie,81,60,58,2
21,T22,T22,Brian Davis,103,63,31,32
22,T22,T22,Peter Tomasulo,61,63,34,29
23,T24,T24,Robert Garrigus,83,64,9,55
24,T24,T24,Cliff Kresge,78,64,48,16
25,26,26,J.B. Holmes,74,65,5,60
26,27,27,Ernie Els,70,66,48,18
27,28,28,Aron Price,89,68,29,39
28,29,29,Brandt Snedeker,81,72,38,34
29,30,30,Hunter Mahan,94,76,58,18
30,31,31,D.A. Points,99,77,48,29
31,32,32,Camilo Villegas,76,78,54,24
32,33,33,Nick O'Hern,90,79,75,4
33,34,34,John Merrick,91,81,21,60
34,35,35,Carl Pettersson,86,82,70,12
35,T36,T36,Mathew Goggin,76,83,34,49
36,T36,T36,Ian Poulter,59,83,58,25
37,38,38,Andres Romero,58,89,16,73
38,39,39,Fred Couples,54,90,30,60
39,40,40,Dustin Johnson,85,93,12,81
40,41,41,Matt Bettencourt,98,95,45,50
41,T42,T42,Bo Van Pelt,100,98,32,66
42,T42,T42,Matt Weibring,65,98,27,71
43,44,44,Stewart Cink,79,100,54,46
44,T45,T45,Jason Bohn,88,101,48,53
45,T45,T45,Davis Love III,89,101,15,86
46,T47,T47,Bob Heintz,59,104,38,66
47,T47,T47,Kirk Triplett,60,104,70,34
48,49,49,Steve Elkington,70,107,57,50
49,T50,T50,Harrison Frazar,93,108,7,101
