,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Tiger Woods,64,-.130
1,2,2,Sergio Garcia,59,-.059
2,3,3,Camilo Villegas,76,-.058
3,4,4,Greg Chalmers,85,-.050
4,5,5,Dustin Johnson,85,-.043
5,6,6,Jim Furyk,86,-.038
6,7,7,Daniel Chopra,89,-.028
7,8,8,Bill Haas,91,-.027
8,9,9,Geoff Ogilvy,78,-.022
9,10,10,Sean O'Hair,80,-.017
10,11,11,Joe Ogilvie,85,-.013
11,T12,T12,Briny Baird,89,-.009
12,T12,T12,Andres Romero,58,-.009
13,14,14,Chris Stroud,88,-.007
14,T15,T15,Tommy Armour III,58,E
15,T15,T15,Ángel Cabrera,55,E
16,T15,T15,Jason Day,61,E
17,T15,T15,Steve Stricker,81,E
18,19,19,Pat Perez,74,+.008
19,20,20,Jay Williamson,69,+.011
20,21,21,Troy Matteson,95,+.014
21,22,22,George McNeill,82,+.016
22,23,23,Boo Weekley,79,+.017
23,24,24,Tim Petrovic,97,+.019
24,T25,T25,Harrison Frazar,93,+.021
25,T25,T25,Martin Laird,72,+.021
26,T27,T27,Alex Cejka,82,+.025
27,T27,T27,Retief Goosen,74,+.025
28,T27,T27,Phil Mickelson,66,+.025
29,30,30,Kent Jones,73,+.026
30,T31,T31,Robert Garrigus,83,+.027
31,T31,T31,Michael Letzig,96,+.027
32,T31,T31,John Senden,100,+.027
33,34,34,D.A. Points,99,+.032
34,T35,T35,Luke Donald,79,+.033
35,T35,T35,Justin Leonard,95,+.033
36,37,37,Ian Poulter,59,+.035
37,38,38,Hunter Mahan,94,+.037
38,39,39,Nick Watney,86,+.038
39,40,40,Bubba Watson,73,+.039
40,T41,T41,Anthony Kim,76,+.040
41,T41,T41,Kevin Streelman,97,+.040
42,43,43,Mark Calcavecchia,72,+.041
43,44,44,Bo Van Pelt,100,+.042
44,45,45,Adam Scott,53,+.043
45,46,46,Scott Piercy,85,+.044
46,47,47,Jason Dufner,90,+.045
47,48,48,Jimmy Walker,74,+.049
48,T49,T49,Bob Estes,78,+.050
49,T49,T49,Marc Leishman,91,+.050
50,T51,T51,Jonathan Byrd,89,+.053
51,T51,T51,Carl Pettersson,86,+.053
52,T53,T53,K.J. Choi,65,+.054
53,T53,T53,Steve Marino,98,+.054
54,T53,T53,Charlie Wi,92,+.054
55,T56,T56,Glen Day,79,+.055
56,T56,T56,Charles Howell III,99,+.055
57,T56,T56,John Rollins,92,+.055
58,T59,T59,Spencer Levin,75,+.056
59,T59,T59,Rory Sabbatini,81,+.056
60,T61,T61,Stephen Ames,77,+.057
61,T61,T61,Freddie Jacobson,83,+.057
62,T61,T61,Tag Ridings,50,+.057
63,64,64,Matt Jones,56,+.058
64,65,65,Ryuji Imada,85,+.059
65,T66,T66,Cameron Beckman,87,+.061
66,T66,T66,Stewart Cink,79,+.061
67,T66,T66,Greg Owen,97,+.061
68,T66,T66,Tom Pernice Jr.,82,+.061
69,70,70,Brad Adamonis,70,+.062
70,T71,T71,Kris Blanks,60,+.063
71,T71,T71,Mark Wilson,99,+.063
72,73,73,Rich Beem,77,+.065
73,T74,T74,Bryce Molder,69,+.067
74,T74,T74,Kevin Na,91,+.067
75,T74,T74,David Toms,98,+.067
76,77,77,Tim Clark,81,+.068
77,78,78,Brian Vranesh,51,+.069
78,79,79,Jerry Kelly,90,+.070
79,80,80,John Merrick,91,+.071
80,T81,T81,Jeff Klauk,97,+.073
81,T81,T81,Y.E. Yang,83,+.073
82,83,83,Zach Johnson,94,+.076
83,84,84,Will MacKenzie,69,+.078
84,T85,T85,Chad Campbell,90,+.079
85,T85,T85,Nicholas Thompson,96,+.079
86,87,87,Tim Herron,87,+.081
87,T88,T88,Ben Crane,93,+.083
88,T88,T88,Dean Wilson,81,+.083
89,90,90,Kevin Stadler,65,+.084
90,T91,T91,Steve Elkington,70,+.085
91,T91,T91,Aron Price,89,+.085
92,T91,T91,Scott Sterling,51,+.085
93,T94,T94,David Mathis,82,+.088
94,T94,T94,Heath Slocum,95,+.088
95,96,96,Nick O'Hern,90,+.090
96,T97,T97,Davis Love III,89,+.091
97,T97,T97,Ted Purdy,101,+.091
98,99,99,Robert Allenby,71,+.092
99,T100,T100,J.J. Henry,97,+.093
100,T100,T100,Jeff Maggert,79,+.093
101,T102,T102,Stuart Appleby,79,+.095
102,T102,T102,Lucas Glover,93,+.095
103,T102,T102,Gary Woodland,53,+.095
104,T105,T105,Brendon de Jonge,90,+.097
105,T105,T105,Ryan Moore,89,+.097
106,T105,T105,Scott Verplank,88,+.097
107,T105,T105,Matt Weibring,65,+.097
108,T109,T109,Padraig Harrington,66,+.099
109,T109,T109,Vaughn Taylor,88,+.099
110,111,111,Brandt Snedeker,81,+.100
111,T112,T112,Justin Rose,71,+.103
112,T112,T112,Webb Simpson,94,+.103
113,T112,T112,D.J. Trahan,96,+.103
114,115,115,Matt Kuchar,82,+.104
115,116,116,Todd Hamilton,83,+.105
116,117,117,Rocco Mediate,79,+.106
117,118,118,Johnson Wagner,81,+.107
118,T119,T119,Brian Bateman,55,+.109
119,T119,T119,Peter Tomasulo,61,+.109
120,121,121,Chez Reavie,81,+.112
121,T122,T122,Aaron Baddeley,66,+.113
122,T122,T122,Jarrod Lyle,65,+.113
123,T122,T122,Kevin Sutherland,96,+.113
124,T125,T125,Woody Austin,84,+.114
125,T125,T125,Scott McCarron,91,+.114
126,127,127,Chris Riley,77,+.120
127,128,128,Brian Davis,103,+.121
128,T129,T129,Charley Hoffman,97,+.122
129,T129,T129,Mike Weir,85,+.122
130,131,131,James Nitties,86,+.123
131,132,132,Nathan Green,104,+.125
132,133,133,J.B. Holmes,74,+.126
133,T134,T134,Mark Brooks,55,+.128
134,T134,T134,Leif Olson,51,+.128
135,136,136,Casey Wittenberg,71,+.129
136,137,137,Jeff Overton,92,+.130
137,T138,T138,Cliff Kresge,78,+.133
138,T138,T138,Vijay Singh,71,+.133
139,T138,T138,Charles Warren,63,+.133
140,T141,T141,Ken Duke,87,+.134
141,T141,T141,Peter Lonard,86,+.134
142,T143,T143,Chris DiMarco,97,+.140
143,T143,T143,Rod Pampling,72,+.140
144,145,145,Ernie Els,70,+.142
145,T146,T146,Bill Lunde,83,+.144
146,T146,T146,John Mallinger,90,+.144
147,148,148,Parker McLachlin,71,+.146
148,149,149,Jason Bohn,88,+.147
149,T150,T150,Michael Allen,73,+.151
150,T150,T150,Marc Turnesa,77,+.151
151,152,152,Kenny Perry,92,+.152
152,153,153,Brian Gay,96,+.154
153,154,154,Jeff Quinney,78,+.156
154,155,155,Kirk Triplett,60,+.160
155,T156,T156,Matt Bettencourt,98,+.167
156,T156,T156,Richard Johnson,85,+.167
157,T156,T156,Ryan Palmer,78,+.167
158,159,159,Fred Couples,54,+.168
159,T160,T160,Steve Flesch,77,+.170
160,T160,T160,Mathew Goggin,76,+.170
161,162,162,Lee Janzen,74,+.178
162,163,163,David Duval,56,+.180
163,164,164,Brett Quigley,92,+.181
164,165,165,Steve Lowery,83,+.186
165,166,166,Brad Faxon,59,+.187
166,167,167,Rick Price,54,+.194
167,168,168,Paul Goydos,79,+.197
168,169,169,Bob Heintz,59,+.198
169,T170,T170,Colt Knost,71,+.200
170,T170,T170,Patrick Sheehan,51,+.200
171,T170,T170,Darron Stiles,52,+.200
172,T173,T173,Greg Kraft,51,+.203
