,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Jonathan Byrd,25,92,33,59
1,2,2,Lucas Glover,26,95,25,70
2,T3,T3,Kenny Perry,24,97,48,49
3,T3,T3,John Rollins,27,97,30,67
4,T5,T5,Robert Allenby,21,98,48,50
5,T5,T5,Boo Weekley,22,98,62,36
6,7,7,Hunter Mahan,25,102,28,74
7,T8,T8,Ryan Moore,27,104,33,71
8,T8,T8,Greg Owen,30,104,59,45
9,T8,T8,Heath Slocum,30,104,97,7
10,11,11,Kirk Triplett,20,105,100,5
11,12,12,Tiger Woods,17,107,21,86
12,13,13,Charles Warren,20,111,18,93
13,14,14,Scott McCarron,27,117,114,3
14,15,15,John Senden,29,118,40,78
15,16,16,Michael Allen,22,119,80,39
16,T17,T17,Martin Laird,24,121,14,107
17,T17,T17,Jeff Maggert,28,121,83,38
18,19,19,Kris Blanks,20,122,65,57
19,20,20,David Toms,27,123,119,4
20,21,21,Bo Van Pelt,30,124,56,68
21,T22,T22,Jason Bohn,25,126,108,18
22,T22,T22,D.J. Trahan,30,126,79,47
23,T24,T24,Tommy Armour III,19,129,95,34
24,T24,T24,Nicholas Thompson,31,129,38,91
25,26,26,Mathew Goggin,26,131,69,62
26,T27,T27,Jason Gore,24,132,72,60
27,T27,T27,Bill Haas,29,132,22,110
28,29,29,Ted Purdy,30,134,45,89
29,T30,T30,Steve Marino,29,139,35,104
30,T30,T30,Billy Mayfair,28,139,119,20
31,32,32,Will MacKenzie,24,140,78,62
32,33,33,Steve Elkington,23,142,107,35
33,34,34,Steve Lowery,27,143,74,69
34,35,35,Peter Tomasulo,25,144,50,94
35,36,36,Ernie Els,19,145,68,77
36,T37,T37,Troy Matteson,30,146,9,137
37,T37,T37,Mark Wilson,28,146,118,28
38,39,39,Jason Dufner,26,148,102,46
39,T40,T40,Bill Lunde,27,149,57,92
40,T40,T40,Jay Williamson,22,149,123,26
41,42,42,Ben Crane,27,150,109,41
42,43,43,Tim Clark,23,152,150,2
43,44,44,Zach Johnson,26,153,143,10
44,T45,T45,John Merrick,28,154,29,125
45,T45,T45,Ryan Palmer,26,154,26,128
46,47,47,Justin Leonard,26,155,123,32
47,T48,T48,Sergio Garcia,17,156,18,138
48,T48,T48,Scott Verplank,24,156,145,11
49,T50,T50,Davis Love III,27,157,14,143
50,T50,T50,Steve Stricker,22,157,104,53
51,T52,T52,Joe Durant,20,158,157,1
52,T52,T52,Marc Leishman,28,158,17,141
53,54,54,Kevin Streelman,29,159,30,129
54,T55,T55,Jeff Klauk,29,160,147,13
55,T55,T55,Matt Weibring,22,160,84,76
56,57,57,Nick Watney,24,161,6,155
57,T58,T58,Robert Garrigus,25,162,1,161
58,T58,T58,Patrick Sheehan,15,162,146,16
59,60,60,Charlie Wi,28,164,112,52
60,61,61,Darron Stiles,20,165,153,12
61,T62,T62,Stephen Ames,23,167,94,73
62,T62,T62,Alex Cejka,25,167,143,24
63,T62,T62,Charley Hoffman,27,167,11,156
64,65,65,Kent Jones,24,168,141,27
65,T66,T66,Sean O'Hair,23,169,46,123
66,T66,T66,Tag Ridings,16,169,4,165
67,T66,T66,Justin Rose,22,169,90,79
68,69,69,J.J. Henry,28,171,44,127
69,T70,T70,Jason Day,18,172,36,136
70,T70,T70,Dustin Johnson,25,172,3,169
71,T70,T70,Vijay Singh,21,172,41,131
72,T70,T70,Chris Stroud,28,172,72,100
73,T70,T70,Johnson Wagner,26,172,88,84
74,T75,T75,Chad Campbell,26,173,70,103
75,T75,T75,Chez Reavie,27,173,154,19
76,77,77,James Nitties,27,174,63,111
77,T78,T78,Chris Riley,22,176,167,9
78,T78,T78,Camilo Villegas,21,176,50,126
79,T80,T80,Bob Estes,23,177,137,40
80,T80,T80,Jim Furyk,23,177,152,25
81,T80,T80,Colt Knost,24,177,154,23
82,T80,T80,Michael Letzig,28,177,43,134
83,T84,T84,Brian Davis,32,178,127,51
84,T84,T84,D.A. Points,29,178,141,37
85,86,86,Scott Piercy,28,179,12,167
86,87,87,Bubba Watson,24,180,2,178
87,T88,T88,Harrison Frazar,28,182,10,172
88,T88,T88,Gary Woodland,18,182,5,177
89,90,90,Bart Bryant,17,183,175,8
90,T91,T91,Daniel Chopra,28,185,26,159
91,T91,T91,Adam Scott,19,185,37,148
92,T91,T91,Vaughn Taylor,28,185,129,56
93,94,94,Briny Baird,28,186,138,48
94,T95,T95,Bob Heintz,20,187,123,64
95,T95,T95,Rod Pampling,23,187,90,97
96,T97,T97,Stewart Cink,22,188,39,149
97,T97,T97,Tim Petrovic,31,188,133,55
98,T99,T99,Ángel Cabrera,17,189,8,181
99,T99,T99,Brian Gay,27,189,183,6
100,T101,T101,Fred Couples,16,190,24,166
101,T101,T101,Brandt Snedeker,26,190,169,21
102,T103,T103,J.B. Holmes,25,191,7,184
103,T103,T103,Anthony Kim,22,191,16,175
104,T103,T103,Brian Vranesh,20,191,89,102
105,T103,T103,Casey Wittenberg,25,191,109,82
106,T107,T107,Matt Jones,17,192,23,169
107,T107,T107,Phil Mickelson,18,192,13,179
108,T107,T107,Kevin Stadler,20,192,75,117
109,T107,T107,Kevin Sutherland,27,192,80,112
110,T111,T111,K.J. Choi,22,193,150,43
111,T111,T111,Jerry Kelly,26,193,114,79
