,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
64,T62,T62,Kevin Na,26,"25' 1""",17145.083,683
65,T62,T62,Scott Verplank,24,"25' 1""",19415.083,774
66,T62,T62,Nick Watney,24,"25' 1""",13130.583,523
67,T68,T68,Briny Baird,28,"25' 2""",16684.167,662
68,T68,T68,Matt Bettencourt,31,"25' 2""",17338.5,689
69,T68,T68,Peter Lonard,30,"25' 2""",17660.75,702
70,T68,T68,Billy Mayfair,28,"25' 2""",16431.75,654
71,T68,T68,Gary Woodland,18,"25' 2""",6439.6669999999995,256
72,T73,T73,Stuart Appleby,25,"25' 3""",13541.5,537
73,T73,T73,Chris DiMarco,29,"25' 3""",20048.5,795
74,T73,T73,Derek Fathauer,25,"25' 3""",9879.5,391
75,T73,T73,Bob Heintz,20,"25' 3""",11798.333,468
76,T73,T73,Pat Perez,22,"25' 3""",13519.75,535
77,T73,T73,Patrick Sheehan,15,"25' 3""",9703.167,384
78,T79,T79,Aaron Baddeley,23,"25' 4""",11430.917,451
79,T79,T79,Bart Bryant,17,"25' 4""",13151.083,519
80,T79,T79,Ángel Cabrera,17,"25' 4""",6615.1669999999995,261
81,T79,T79,Brendon de Jonge,29,"25' 4""",16915.417,667
82,T79,T79,Retief Goosen,20,"25' 4""",11486.667,453
83,T79,T79,Nathan Green,30,"25' 4""",19372.083,765
84,T79,T79,Hunter Mahan,25,"25' 4""",16544.083,653
85,T79,T79,Jeff Quinney,26,"25' 4""",16514.083,651
86,T79,T79,Rory Sabbatini,25,"25' 4""",13205.25,521
87,T88,T88,Jim Furyk,23,"25' 5""",15976.0,629
88,T88,T88,Freddie Jacobson,25,"25' 5""",15139.5,596
89,T88,T88,Kent Jones,24,"25' 5""",14943.667,588
90,T91,T91,Jonathan Byrd,25,"25' 6""",17898.417,701
91,T91,T91,Mark Calcavecchia,23,"25' 6""",12826.583,503
92,T91,T91,Glen Day,26,"25' 6""",15551.417,610
93,T91,T91,Todd Hamilton,29,"25' 6""",14031.583,550
94,T91,T91,Tim Herron,27,"25' 6""",16228.917,637
95,T96,T96,Jason Gore,24,"25' 7""",14115.417,552
96,T96,T96,Spencer Levin,25,"25' 7""",14630.667,571
97,T96,T96,John Merrick,28,"25' 7""",14491.667,567
98,T96,T96,Bryce Molder,21,"25' 7""",12801.917,500
99,T96,T96,Joe Ogilvie,29,"25' 7""",15353.75,601
100,T96,T96,Webb Simpson,30,"25' 7""",18328.833,717
101,T96,T96,Charlie Wi,28,"25' 7""",18427.667,720
102,T103,T103,Robert Allenby,21,"25' 8""",13176.5,514
103,T103,T103,Robert Garrigus,25,"25' 8""",14230.167,555
104,T103,T103,Anthony Kim,22,"25' 8""",11030.167,430
105,T103,T103,Scott McCarron,27,"25' 8""",20683.333,806
106,T103,T103,George McNeill,26,"25' 8""",16085.333,627
107,T103,T103,Boo Weekley,22,"25' 8""",15637.083,610
108,T109,T109,Jeff Klauk,29,"25' 9""",22032.5,855
109,T109,T109,Tom Pernice Jr.,26,"25' 9""",16737.0,651
110,T109,T109,Steve Stricker,22,"25' 9""",14697.667,571
111,112,112,Mark Wilson,28,"25' 10""",21650.75,837
112,T113,T113,Steve Lowery,27,"25' 11""",17588.583,678
113,T113,T113,Kevin Sutherland,27,"25' 11""",16112.333,621
114,T113,T113,Kirk Triplett,20,"25' 11""",14062.583,543
115,T116,T116,Cliff Kresge,28,"26' 0""",15487.25,596
116,T116,T116,Nick O'Hern,27,"26' 0""",20971.917,807
117,T116,T116,Chez Reavie,27,"26' 0""",17711.083,681
118,T116,T116,Matt Weibring,22,"26' 0""",12828.417,493
119,T120,T120,Tommy Armour III,19,"26' 1""",12486.583,478
120,T120,T120,Bob Estes,23,"26' 1""",16804.667,644
121,T120,T120,Harrison Frazar,28,"26' 1""",15863.75,609
122,T120,T120,Charles Howell III,29,"26' 1""",17712.667,679
123,T120,T120,Brett Quigley,28,"26' 1""",15842.25,608
124,T125,T125,Greg Chalmers,26,"26' 2""",16212.5,620
125,T125,T125,Troy Matteson,30,"26' 2""",18894.25,723
126,T127,T127,Ricky Barnes,23,"26' 3""",10680.167,407
127,T127,T127,Luke Donald,21,"26' 3""",13669.833,520
128,T127,T127,Jerry Kelly,26,"26' 3""",17989.0,685
129,T130,T130,Brad Adamonis,25,"26' 4""",12333.917,469
130,T130,T130,Bo Van Pelt,30,"26' 4""",18800.917,713
131,T132,T132,Martin Laird,24,"26' 5""",13962.417,529
132,T132,T132,John Mallinger,27,"26' 5""",17502.0,663
133,T132,T132,Camilo Villegas,21,"26' 5""",12638.083,478
134,T132,T132,Dean Wilson,29,"26' 5""",16353.167,620
135,T136,T136,Eric Axley,30,"26' 6""",10837.167,409
136,T136,T136,Chad Campbell,26,"26' 6""",16027.833,604
137,T136,T136,Steve Flesch,27,"26' 6""",14357.833,541
138,T136,T136,Kenny Perry,24,"26' 6""",17514.833,661
139,T136,T136,Carl Pettersson,29,"26' 6""",15504.75,585
140,T141,T141,Tim Clark,23,"26' 7""",15953.833,600
141,T141,T141,Ken Duke,29,"26' 7""",15751.25,593
142,T141,T141,J.J. Henry,28,"26' 7""",19003.667,714
143,T141,T141,Matt Kuchar,24,"26' 7""",16829.667,634
144,T145,T145,Michael Allen,22,"26' 8""",14732.167,553
145,T145,T145,Tim Petrovic,31,"26' 8""",20825.917,781
146,T145,T145,Jimmy Walker,24,"26' 8""",12543.667,470
147,148,148,Alex Cejka,25,"26' 9""",18150.833,679
