,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
158,159,159,George McNeill,82,17.55,183,1043,+0.02
159,160,160,Jeff Overton,92,17.57,184,1047,+0.13
160,161,161,Troy Matteson,95,17.95,215,1198,+0.01
161,T162,T162,Brian Bateman,55,18.03,119,660,+0.11
162,T162,T162,Stewart Cink,79,18.03,148,821,+0.06
163,164,164,Andres Romero,58,18.06,106,587,-0.01
164,165,165,Chad Campbell,90,18.18,178,979,+0.08
165,166,166,Anthony Kim,76,18.35,151,823,+0.04
166,167,167,Ken Duke,87,18.36,179,975,+0.13
167,168,168,J.B. Holmes,74,18.46,151,818,+0.13
168,169,169,Ángel Cabrera,55,18.53,96,518,E
169,170,170,James Nitties,86,18.55,195,1051,+0.12
170,171,171,Tag Ridings,50,18.72,105,561,+0.06
171,172,172,Phil Mickelson,66,18.74,122,651,+0.02
172,173,173,Robert Garrigus,83,19.28,187,970,+0.03
173,174,174,Gary Woodland,53,19.35,95,491,+0.09
174,175,175,Charles Howell III,99,19.37,220,1136,+0.05
175,176,176,Rory Sabbatini,81,19.44,179,921,+0.06
176,177,177,Derek Fathauer,63,19.77,137,693,+0.24
177,178,178,Scott Piercy,85,20.0,206,1030,+0.04
178,179,179,Matt Jones,56,20.13,121,601,+0.06
179,180,180,Aaron Baddeley,66,20.2,160,792,+0.11
180,181,181,Harrison Frazar,93,20.8,239,1149,+0.02
181,182,182,Marc Leishman,91,21.02,240,1142,+0.05
182,183,183,Jimmy Walker,74,21.4,183,855,+0.05
183,184,184,Parker McLachlin,71,22.49,206,916,+0.15
