,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Corey Pavin,73,16.92,22.0,130,-0.05
1,2,2,Brad Faxon,59,10.17,12.0,118,+0.25
2,3,3,Mark Brooks,55,9.57,9.0,94,+0.44
3,4,4,Dean Wilson,81,6.49,10.0,154,+0.60
4,5,5,Jeff Quinney,78,6.41,10.0,156,+0.40
5,6,6,Tom Lehman,55,5.81,5.0,86,-0.20
6,7,7,Glen Day,79,5.63,8.0,142,+0.25
7,8,8,Greg Kraft,51,5.56,5.0,90,+0.60
8,9,9,Paul Goydos,79,5.48,8.0,146,+0.38
9,10,10,Brian Gay,96,5.11,9.0,176,+0.11
10,11,11,David Duval,56,5.0,5.0,100,+0.60
11,12,12,Eric Axley,71,4.62,6.0,130,+0.50
12,13,13,Richard Johnson,85,4.38,7.0,160,-0.43
13,14,14,John Mallinger,90,4.27,7.0,164,+0.43
14,T15,T15,Spencer Levin,75,4.23,6.0,142,+0.33
15,T15,T15,Parker McLachlin,71,4.23,6.0,142,+0.50
16,17,17,Rick Price,54,4.17,4.0,96,+0.75
17,18,18,Jay Williamson,69,4.1,5.0,122,+0.60
18,19,19,Mike Weir,85,4.05,6.0,148,+0.17
19,20,20,Ryuji Imada,85,4.0,6.0,150,E
20,21,21,Greg Chalmers,85,3.9,6.0,154,-0.17
21,T22,T22,Luke Donald,79,3.79,5.0,132,+0.20
22,T22,T22,J.B. Holmes,74,3.79,5.0,132,+1.00
23,24,24,Bart Bryant,58,3.7,4.0,108,+0.75
24,T25,T25,Nick O'Hern,90,3.49,6.0,172,-0.17
25,T25,T25,Scott Sterling,51,3.49,3.0,86,+1.00
26,27,27,Adam Scott,53,3.41,3.0,88,E
27,28,28,Marc Turnesa,77,3.25,5.0,154,+0.80
28,29,29,Brian Vranesh,51,3.19,3.0,94,+0.67
29,30,30,Cameron Beckman,87,3.09,5.0,162,+0.40
30,31,31,Peter Lonard,86,3.05,5.0,164,+0.20
31,32,32,Martin Laird,72,3.03,4.0,132,+0.50
32,33,33,Joe Ogilvie,85,3.01,5.0,166,+0.20
33,34,34,Nathan Green,104,3.0,6.0,200,+0.33
34,35,35,Scott Verplank,88,2.98,5.0,168,+0.40
35,36,36,Brendon Todd,53,2.94,3.0,102,+0.33
36,37,37,Rich Beem,77,2.9,4.0,138,+0.50
37,38,38,Kevin Na,91,2.87,5.0,174,+0.40
38,39,39,Pat Perez,74,2.86,4.0,140,+0.75
39,40,40,Chris Riley,77,2.82,4.0,142,+0.75
40,41,41,Brian Bateman,55,2.73,3.0,110,+0.67
41,T42,T42,David Mathis,82,2.63,4.0,152,+0.75
42,T42,T42,Tim Petrovic,97,2.63,5.0,190,+0.20
43,44,44,Matt Kuchar,82,2.56,4.0,156,E
44,45,45,Jeff Maggert,79,2.53,4.0,158,+0.75
45,46,46,Justin Rose,71,2.5,3.0,120,E
46,47,47,Aron Price,89,2.47,4.0,162,-0.25
47,T48,T48,Aaron Baddeley,66,2.46,3.0,122,+1.33
48,T48,T48,Camilo Villegas,76,2.46,3.0,122,+0.33
49,50,50,Jerry Kelly,90,2.44,4.0,164,+0.50
50,51,51,Colt Knost,71,2.38,3.0,126,E
51,T52,T52,Daniel Chopra,89,2.25,4.0,178,+0.25
52,T52,T52,Charles Howell III,99,2.25,4.0,178,+0.25
53,54,54,Rocco Mediate,79,2.24,3.0,134,E
54,55,55,Andres Romero,58,2.22,2.0,90,+1.00
55,T56,T56,Mathew Goggin,76,2.21,3.0,136,E
56,T56,T56,Lee Janzen,74,2.21,3.0,136,E
57,58,58,J.J. Henry,97,2.2,4.0,182,+1.25
58,59,59,Jason Gore,74,2.17,3.0,138,E
59,60,60,Chris DiMarco,97,2.15,4.0,186,E
60,T61,T61,Cliff Kresge,78,2.08,3.0,144,E
61,T61,T61,Rory Sabbatini,81,2.08,3.0,144,+0.33
62,63,63,Brian Davis,103,2.02,4.0,198,+0.25
63,64,64,Freddie Jacobson,83,1.95,3.0,154,+0.67
64,T65,T65,Bob Estes,78,1.92,3.0,156,E
65,T65,T65,Ryan Palmer,78,1.92,3.0,156,+0.33
66,67,67,Briny Baird,89,1.9,3.0,158,E
67,68,68,James Nitties,86,1.88,3.0,160,+0.67
68,69,69,Joe Durant,62,1.85,2.0,108,+0.50
69,70,70,Tom Pernice Jr.,82,1.83,3.0,164,+0.33
70,T71,T71,Ricky Barnes,67,1.82,2.0,110,+0.50
71,T71,T71,Padraig Harrington,66,1.82,2.0,110,+0.50
72,T71,T71,Bob Heintz,59,1.82,2.0,110,E
73,74,74,Steve Lowery,83,1.81,3.0,166,+1.00
74,T75,T75,Zach Johnson,94,1.79,3.0,168,-0.33
75,T75,T75,Jeff Overton,92,1.79,3.0,168,+1.33
76,T75,T75,Vaughn Taylor,88,1.79,3.0,168,+0.67
77,T78,T78,Bryce Molder,69,1.75,2.0,114,+1.50
78,T78,T78,Vijay Singh,71,1.75,2.0,114,+0.50
79,T80,T80,Brendon de Jonge,90,1.74,3.0,172,+0.33
80,T80,T80,Jason Dufner,90,1.74,3.0,172,+0.33
81,82,82,Lucas Glover,93,1.72,3.0,174,-0.33
82,83,83,Greg Owen,97,1.69,3.0,178,+0.33
83,84,84,Kirk Triplett,60,1.67,2.0,120,-0.50
84,85,85,Troy Matteson,95,1.65,3.0,182,+0.67
