,Ball_Speed_RANK THIS WEEK,Ball_Speed_RANK LAST WEEK,Ball_Speed_PLAYER NAME,Ball_Speed_ROUNDS,Ball_Speed_AVG.,Ball_Speed_TOTAL BALL SPEED,Ball_Speed_TOTAL ATTEMPTS,Ball_Speed_FASTEST SPEED,Ball_Speed_SLOWEST SPEED
0,1,1,Bubba Watson,73,183.73,9186.55,50,189.09,175.12
1,2,2,J.B. Holmes,74,182.15,9836.23,54,188.23,172.48
2,3,3,Gary Woodland,53,181.68,5813.82,32,187.66,157.85
3,4,4,Dustin Johnson,85,179.59,11673.33,65,185.0,170.31
4,5,5,Robert Garrigus,83,178.46,10707.72,60,184.84,168.75
5,6,6,Phil Mickelson,66,177.93,8006.99,45,183.0,165.9
6,7,7,Tiger Woods,64,177.92,7116.8,40,183.11,168.4
7,8,8,Tag Ridings,50,177.8,7289.9,41,183.58,165.58
8,9,9,Nick Watney,86,177.15,12932.18,73,183.87,170.09
9,10,10,Ángel Cabrera,55,176.96,6724.65,38,181.39,168.98
10,11,11,Adam Scott,53,175.85,7737.23,44,181.86,144.11
11,12,12,Charley Hoffman,97,175.54,14394.43,82,181.11,165.56
12,13,13,Andres Romero,58,174.88,9093.81,52,179.57,170.77
13,14,14,Sergio Garcia,59,174.63,7858.51,45,178.75,168.2
14,15,15,Bill Haas,91,174.25,14114.27,81,181.29,166.03
15,16,16,Martin Laird,72,173.99,9395.32,54,182.21,166.97
16,17,17,Davis Love III,89,173.34,11960.17,69,179.76,142.11
17,18,18,Troy Matteson,95,173.0,14704.98,85,179.22,164.99
18,19,19,Leif Olson,51,172.82,6567.33,38,178.74,158.48
19,20,20,Jimmy Walker,74,172.54,8626.98,50,176.75,165.43
20,21,21,George McNeill,82,172.44,13105.77,76,177.33,165.07
21,22,22,John Senden,100,172.36,13961.07,81,177.99,164.95
22,23,23,Marc Leishman,91,172.21,13088.0,76,176.4,164.6
23,T24,T24,Lucas Glover,93,172.17,12396.22,72,177.73,165.9
24,T24,T24,Charles Howell III,99,172.17,14806.37,86,176.06,164.14
25,26,26,J.J. Henry,97,171.83,14261.57,83,178.32,157.3
26,27,27,Retief Goosen,74,171.71,9615.88,56,177.39,160.47
27,T28,T28,Ricky Barnes,67,171.49,8746.17,51,177.62,158.95
28,T28,T28,Daniel Chopra,89,171.49,15433.85,90,177.58,143.04
29,30,30,Anthony Kim,76,171.42,10799.63,63,182.69,161.93
30,31,31,Fred Couples,54,171.3,7365.92,43,175.13,167.46
31,32,32,Sean O'Hair,80,170.91,10083.79,59,175.51,166.27
32,33,33,Jason Day,61,170.85,8200.61,48,176.47,162.33
33,34,34,Harrison Frazar,93,170.84,13325.9,78,174.56,166.27
34,35,35,James Nitties,86,170.74,10073.73,59,177.35,159.05
35,36,36,Kevin Streelman,97,170.67,14677.38,86,174.52,163.01
36,37,37,Jonathan Byrd,89,170.64,10579.72,62,175.94,165.47
37,38,38,Stewart Cink,79,170.6,11259.82,66,175.01,149.43
38,39,39,Scott Piercy,85,170.49,10570.43,62,175.78,164.11
39,40,40,Matt Jones,56,170.29,6641.22,39,174.6,163.87
40,41,41,Greg Owen,97,170.26,14471.72,85,177.37,162.75
41,42,42,Aaron Baddeley,66,170.19,8679.64,51,177.26,161.46
42,43,43,David Duval,56,170.09,6123.32,36,174.55,157.82
43,44,44,Boo Weekley,79,169.79,12734.55,75,173.6,164.46
44,45,45,Jeff Overton,92,169.68,13234.73,78,175.41,162.56
45,46,46,Ryan Moore,89,169.45,12031.06,71,175.69,160.75
46,47,47,Bo Van Pelt,100,169.24,12693.3,75,174.63,163.74
47,48,48,D.J. Trahan,96,169.16,13025.09,77,173.94,150.96
48,49,49,John Merrick,91,169.09,12005.12,71,173.96,161.45
49,50,50,Charles Warren,63,168.9,7938.22,47,174.15,159.99
50,51,51,Rory Sabbatini,81,168.57,11631.52,69,174.55,162.69
51,T52,T52,Michael Allen,73,168.54,8764.19,52,174.14,164.29
52,T52,T52,Camilo Villegas,76,168.54,9943.65,59,173.82,160.46
53,54,54,Robert Allenby,71,168.48,9266.58,55,174.55,163.17
54,55,55,Mathew Goggin,76,168.43,9769.01,58,175.18,161.65
55,T56,T56,Ernie Els,70,168.34,8921.81,53,173.23,147.98
56,T56,T56,Geoff Ogilvy,78,168.34,11615.59,69,174.87,142.36
57,58,58,Y.E. Yang,83,168.27,11779.13,70,173.25,162.58
58,59,59,Peter Tomasulo,61,168.16,7230.84,43,172.7,158.08
59,60,60,John Rollins,92,168.03,13274.72,79,172.22,162.2
60,61,61,Matt Bettencourt,98,167.94,13939.39,83,177.83,159.93
61,62,62,Ryan Palmer,78,167.93,11419.22,68,173.62,155.24
62,63,63,Stuart Appleby,79,167.91,11250.25,67,174.05,161.59
63,64,64,Vijay Singh,71,167.57,10221.99,61,172.34,161.54
64,65,65,Hunter Mahan,94,167.56,11561.68,69,170.93,161.86
65,T66,T66,Stephen Ames,77,167.52,10386.24,62,173.3,159.57
66,T66,T66,Padraig Harrington,66,167.52,7873.38,47,175.76,149.39
67,68,68,Brad Adamonis,70,167.3,9870.5,59,172.95,155.62
68,69,69,Michael Letzig,96,167.26,15220.75,91,173.47,158.96
69,70,70,Chris Stroud,88,167.14,10028.52,60,175.28,152.72
70,71,71,Will MacKenzie,69,167.09,10192.73,61,173.05,147.41
71,72,72,Ted Purdy,101,167.0,13694.22,82,173.9,156.72
72,73,73,Brett Quigley,92,166.99,12357.38,74,171.53,160.25
73,74,74,Steve Marino,98,166.91,14687.84,88,174.97,157.94
74,75,75,Nicholas Thompson,96,166.87,13349.82,80,175.63,160.45
75,76,76,Pat Perez,74,166.85,10845.16,65,171.19,157.45
76,77,77,Derek Fathauer,63,166.82,7840.66,47,175.27,161.61
77,78,78,Chad Campbell,90,166.7,12002.2,72,173.72,161.17
78,79,79,Brian Vranesh,51,166.66,5999.58,36,173.7,158.09
79,80,80,Brendon de Jonge,90,166.64,11664.68,70,171.14,161.89
80,81,81,Jason Dufner,90,166.39,13144.92,79,171.91,158.25
81,82,82,Tim Herron,87,166.2,13960.57,84,170.67,159.39
82,83,83,Kris Blanks,60,166.05,7638.17,46,171.06,158.76
83,84,84,Steve Lowery,83,166.04,12950.96,78,172.89,150.1
84,85,85,Kevin Stadler,65,165.91,7797.61,47,171.26,160.65
85,86,86,Rod Pampling,72,165.9,10285.77,62,170.64,161.15
86,87,87,Kevin Sutherland,96,165.89,10782.79,65,175.15,159.3
87,T88,T88,Joe Durant,62,165.77,7791.15,47,170.54,159.13
88,T88,T88,Kenny Perry,92,165.77,13427.33,81,170.43,140.43
89,90,90,Bob Estes,78,165.63,12256.73,74,170.46,159.14
90,T91,T91,Bill Lunde,83,165.58,12583.82,76,168.59,158.04
91,T91,T91,Jarrod Lyle,65,165.58,8278.98,50,170.97,155.15
92,93,93,Nathan Green,104,165.47,15057.94,91,173.35,153.84
93,94,94,Johnson Wagner,81,165.39,12238.76,74,169.6,161.29
94,95,95,Ken Duke,87,165.27,9916.43,60,171.22,160.16
95,96,96,Todd Hamilton,83,165.2,10407.38,63,171.75,157.71
96,97,97,Justin Rose,71,165.13,9247.47,56,171.72,158.41
97,98,98,Scott McCarron,91,165.07,12875.32,78,172.45,158.54
98,99,99,Woody Austin,84,164.96,13197.07,80,169.3,159.01
99,100,100,Charlie Wi,92,164.83,13186.05,80,169.58,153.97
100,T101,T101,Brian Bateman,55,164.71,8235.25,50,169.7,158.04
101,T101,T101,Steve Stricker,81,164.71,11364.99,69,170.01,160.38
102,103,103,Jason Gore,74,164.69,9387.4,57,168.94,159.57
103,104,104,Mark Calcavecchia,72,164.52,9706.91,59,169.27,159.79
104,105,105,Freddie Jacobson,83,164.25,11497.43,70,170.01,155.33
105,106,106,Lee Janzen,74,163.97,9838.0,60,168.82,158.18
106,107,107,Rich Beem,77,163.7,8839.84,54,169.14,158.58
107,108,108,Carl Pettersson,86,163.52,12754.9,78,168.96,143.07
108,109,109,Webb Simpson,94,163.48,12424.3,76,168.78,159.73
109,110,110,Tim Petrovic,97,163.25,14366.3,88,170.17,155.72
110,111,111,Scott Sterling,51,163.17,6690.17,41,167.72,149.18
111,112,112,Steve Flesch,77,163.06,9131.4,56,167.12,156.31
112,113,113,Joe Ogilvie,85,163.03,11574.79,71,168.72,157.55
113,114,114,Ryuji Imada,85,162.92,12545.13,77,168.4,156.35
114,115,115,Greg Chalmers,85,162.9,11077.47,68,166.35,155.59
115,116,116,Ian Poulter,59,162.88,8144.22,50,166.04,157.88
116,117,117,Cameron Beckman,87,162.8,12861.53,79,167.34,151.6
117,118,118,Kevin Na,91,162.58,12193.65,75,167.32,153.97
118,119,119,Bob Heintz,59,162.49,7149.77,44,167.77,155.79
119,120,120,Parker McLachlin,71,162.39,10230.76,63,169.79,148.98
120,121,121,Matt Weibring,65,162.34,7954.84,49,166.61,152.64
121,122,122,Mike Weir,85,162.14,11025.54,68,168.11,154.69
122,123,123,Jason Bohn,88,162.12,13455.69,83,168.07,157.16
123,124,124,Bryce Molder,69,162.0,8585.78,53,173.14,154.29
124,125,125,Briny Baird,89,161.91,12628.95,78,165.81,155.13
125,126,126,Casey Wittenberg,71,161.88,8903.47,55,167.9,153.69
126,127,127,Steve Elkington,70,161.86,8902.27,55,165.87,152.04
127,128,128,Jim Furyk,86,161.7,11319.05,70,168.98,156.68
128,129,129,Ben Crane,93,161.28,13063.39,81,166.3,155.44
129,130,130,David Mathis,82,161.27,11127.89,69,167.23,147.97
130,131,131,Eric Axley,71,161.02,9017.37,56,166.66,156.0
131,132,132,Tommy Armour III,58,160.86,8042.84,50,168.94,154.36
132,133,133,Heath Slocum,95,160.84,13189.17,82,165.94,154.89
133,134,134,Jay Williamson,69,160.82,9005.85,56,164.57,155.59
134,135,135,Rocco Mediate,79,160.8,9648.22,60,164.98,153.73
135,136,136,Jeff Klauk,97,160.78,14309.3,89,168.02,153.28
136,137,137,Chris DiMarco,97,160.77,13826.25,86,165.52,154.61
137,138,138,Matt Kuchar,82,160.76,10770.59,67,169.28,153.63
138,139,139,K.J. Choi,65,160.71,9321.24,58,165.46,151.55
139,140,140,Tom Lehman,55,160.63,5782.61,36,164.49,149.31
140,141,141,Luke Donald,79,160.57,10597.45,66,166.25,153.01
141,142,142,Justin Leonard,95,160.54,14127.53,88,164.71,156.36
142,143,143,Jeff Maggert,79,160.51,11556.97,72,165.99,155.83
143,144,144,D.A. Points,99,160.44,13637.23,85,166.03,152.06
