,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,Dustin Johnson,85,69.92,207799.1,297177
1,2,2,Andres Romero,58,69.59,137574.4,197691
2,3,3,Anthony Kim,76,69.17,196034.2,283397
3,4,4,J.B. Holmes,74,68.72,194709.0,283345
4,5,5,Tag Ridings,50,68.54,131218.9,191443
5,6,6,Gary Woodland,53,68.33,117947.7,172619
6,7,7,Phil Mickelson,66,68.13,153802.3,225761
7,8,8,Bubba Watson,73,68.1,176466.8,259123
8,9,9,Robert Garrigus,83,67.96,227605.0,334898
9,10,10,Nick Watney,86,67.77,211686.7,312356
10,11,11,Vijay Singh,71,67.72,164562.3,242991
11,12,12,Charley Hoffman,97,67.56,269312.0,398615
12,13,13,Daniel Chopra,89,67.49,258894.2,383618
13,14,14,Charles Warren,63,67.47,162171.9,240358
14,15,15,Martin Laird,72,67.31,192453.6,285923
15,16,16,Troy Matteson,95,67.27,273466.6,406542
16,17,17,John Rollins,92,67.19,240536.1,357997
17,18,18,Sean O'Hair,80,67.18,186159.0,277110
18,19,19,Ángel Cabrera,55,67.08,123347.1,183893
19,20,20,Harrison Frazar,93,67.07,264730.2,394729
20,21,21,Leif Olson,51,67.01,133152.8,198706
21,22,22,Scott Piercy,85,66.99,230180.1,343627
22,23,23,Rory Sabbatini,81,66.95,207917.8,310538
23,24,24,Kevin Streelman,97,66.94,273837.1,409091
24,25,25,Geoff Ogilvy,78,66.86,182140.7,272419
25,26,26,Ryan Palmer,78,66.84,215471.2,322392
26,27,27,Nicholas Thompson,96,66.81,265541.5,397432
27,28,28,Matt Bettencourt,98,66.78,267006.8,399826
28,29,29,Hunter Mahan,94,66.77,238153.3,356699
29,30,30,Marc Leishman,91,66.73,264675.7,396643
30,31,31,Matt Jones,56,66.7,136074.6,204023
31,T32,T32,Fred Couples,54,66.68,132739.5,199080
