,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Ben Curtis,63,0.76,5,657,+1.40
1,2,2,Zach Johnson,94,1.0,11,1104,+0.55
2,3,3,David Toms,98,1.08,12,1112,+0.67
3,4,4,Mark Brooks,55,1.09,6,550,+0.50
4,5,5,Brian Gay,96,1.14,13,1144,+0.38
5,6,6,Robert Allenby,71,1.16,9,777,+0.56
6,7,7,Glen Day,79,1.25,11,882,+0.91
7,8,8,Lucas Glover,93,1.28,14,1090,+0.43
8,9,9,Cliff Kresge,78,1.3,12,926,+0.83
9,10,10,Brandt Snedeker,81,1.33,12,903,+0.42
10,11,11,Ben Crane,93,1.36,15,1106,+0.27
11,12,12,Kenny Perry,92,1.38,14,1017,+0.29
12,T13,T13,Jason Bohn,88,1.42,16,1129,+0.50
13,T13,T13,Peter Lonard,86,1.42,15,1056,+1.00
14,15,15,Jim Furyk,86,1.44,13,901,+0.69
15,16,16,Heath Slocum,95,1.45,17,1176,+0.71
16,17,17,Scott Verplank,88,1.46,16,1099,+0.88
17,T18,T18,Jeff Klauk,97,1.48,18,1219,+0.50
18,T18,T18,Corey Pavin,73,1.48,11,744,+0.91
19,20,20,D.A. Points,99,1.51,18,1191,+0.56
20,21,21,Tiger Woods,64,1.52,10,659,+0.30
21,T22,T22,Stephen Ames,77,1.53,12,785,+0.92
22,T22,T22,Bart Bryant,58,1.53,11,721,+1.27
23,T24,T24,Matt Kuchar,82,1.54,15,976,+0.73
24,T24,T24,Chez Reavie,81,1.54,15,975,+0.53
25,T26,T26,Joe Durant,62,1.55,10,647,+0.70
26,T26,T26,Darron Stiles,52,1.55,9,580,+1.00
27,28,28,Colt Knost,71,1.56,12,770,+0.58
28,29,29,Mark Wilson,99,1.57,19,1213,-0.05
29,T30,T30,Tim Clark,81,1.59,13,820,+0.46
30,T30,T30,Kevin Sutherland,96,1.59,16,1006,+0.75
31,32,32,Chris Riley,77,1.62,15,928,+0.73
32,33,33,Ken Duke,87,1.64,16,975,+0.50
33,34,34,Richard Johnson,85,1.65,17,1028,+0.71
34,T35,T35,Brian Davis,103,1.67,21,1256,+0.14
35,T35,T35,Jason Dufner,90,1.67,18,1079,+0.89
36,T37,T37,K.J. Choi,65,1.71,12,700,+1.08
37,T37,T37,D.J. Trahan,96,1.71,19,1112,+0.42
38,39,39,Mike Weir,85,1.72,16,928,+0.69
39,40,40,Ernie Els,70,1.73,13,752,+0.54
40,41,41,Scott McCarron,91,1.78,20,1121,+0.40
41,42,42,Nick O'Hern,90,1.8,21,1168,+0.76
42,43,43,Justin Leonard,95,1.81,19,1048,+0.58
43,44,44,Scott Sterling,51,1.82,10,550,+0.90
44,45,45,Marc Turnesa,77,1.83,18,985,+0.89
45,T46,T46,Bill Haas,91,1.86,21,1131,E
46,T46,T46,Tom Lehman,55,1.86,9,485,+0.56
47,T46,T46,Kirk Triplett,60,1.86,14,754,+0.86
48,T49,T49,Paul Goydos,79,1.88,17,905,+0.18
49,T49,T49,Boo Weekley,79,1.88,17,905,+0.65
50,51,51,Jason Day,61,1.91,13,679,+0.54
51,52,52,Tom Pernice Jr.,82,1.94,20,1030,+0.90
52,T53,T53,Tommy Armour III,58,1.96,14,716,+0.86
53,T53,T53,Jerry Kelly,90,1.96,21,1070,+0.67
54,T55,T55,Bob Estes,78,1.98,19,958,+0.74
55,T55,T55,Steve Stricker,81,1.98,17,859,+0.41
56,57,57,David Mathis,82,2.01,19,943,+0.74
57,T58,T58,Briny Baird,89,2.02,20,992,+0.65
58,T58,T58,Derek Fathauer,63,2.02,14,693,+0.93
59,T58,T58,Justin Rose,71,2.02,16,791,+0.44
60,T61,T61,Lee Janzen,74,2.03,17,837,+0.47
61,T61,T61,Patrick Sheehan,51,2.03,11,543,+0.73
62,T63,T63,John Mallinger,90,2.04,20,979,+0.40
63,T63,T63,Jay Williamson,69,2.04,16,786,+0.75
64,65,65,Rocco Mediate,79,2.08,19,913,+0.21
65,T66,T66,Jeff Maggert,79,2.1,21,1002,+0.14
66,T66,T66,Hunter Mahan,94,2.1,22,1048,+0.55
67,T68,T68,Charles Howell III,99,2.11,24,1136,+0.63
68,T68,T68,Tim Petrovic,97,2.11,25,1185,+0.28
69,70,70,Rick Price,54,2.12,12,567,+1.00
70,71,71,Bob Heintz,59,2.14,15,700,+0.33
71,72,72,Davis Love III,89,2.16,23,1066,+0.61
