,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Heath Slocum,95,8.33,98,1176,+0.23
1,2,2,Scott Verplank,88,8.37,92,1099,+0.15
2,3,3,Kirk Triplett,60,8.49,64,754,E
3,4,4,Billy Mayfair,83,8.6,82,953,+0.17
4,5,5,Mark Wilson,99,8.74,106,1213,+0.17
5,6,6,Kent Jones,73,8.76,74,845,+0.15
6,7,7,Bryce Molder,69,8.9,67,753,+0.16
7,8,8,Scott McCarron,91,8.92,100,1121,+0.06
8,9,9,Joe Durant,62,8.96,58,647,+0.14
9,10,10,Chris Riley,77,9.05,84,928,+0.10
10,11,11,Darron Stiles,52,9.14,53,580,+0.23
11,12,12,Brian Gay,96,9.44,108,1144,+0.15
12,13,13,Colt Knost,71,9.48,73,770,+0.26
13,14,14,Paul Goydos,79,9.61,87,905,+0.24
14,15,15,Corey Pavin,73,9.68,72,744,+0.13
15,16,16,David Toms,98,9.71,108,1112,+0.09
16,17,17,Brandt Snedeker,81,9.86,89,903,+0.02
17,18,18,James Nitties,86,9.9,104,1051,+0.12
18,19,19,Bart Bryant,58,9.99,72,721,+0.32
19,20,20,Mark Brooks,55,10.0,55,550,+0.13
20,21,21,John Merrick,91,10.01,93,929,+0.08
21,22,22,Marc Leishman,91,10.07,115,1142,+0.05
22,23,23,Bob Estes,78,10.13,97,958,+0.24
23,24,24,Zach Johnson,94,10.14,112,1104,+0.07
24,25,25,Chris DiMarco,97,10.16,122,1201,+0.07
25,26,26,Alex Cejka,82,10.24,101,986,+0.06
26,27,27,Bo Van Pelt,100,10.27,116,1129,+0.05
27,28,28,Chad Campbell,90,10.32,101,979,+0.05
28,29,29,Jay Williamson,69,10.43,82,786,+0.20
