,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Bubba Watson,73,56.02,58305.3,104071
1,2,2,Gary Woodland,53,55.8,33373.5,59810
2,3,3,Robert Garrigus,83,55.79,67359.0,120734
3,4,4,J.B. Holmes,74,55.5,60824.1,109597
4,5,5,Dustin Johnson,85,55.45,63099.4,113791
5,6,6,Tag Ridings,50,55.42,36625.7,66087
6,7,7,Nick Watney,86,54.94,67759.9,123329
7,8,8,Andres Romero,58,54.55,42756.9,78378
8,9,9,Phil Mickelson,66,54.46,45591.6,83711
9,10,10,Martin Laird,72,54.45,59340.0,108983
10,11,11,Ángel Cabrera,55,54.36,32920.9,60556
11,12,12,Davis Love III,89,54.3,71532.1,131737
12,13,13,Charley Hoffman,97,54.19,83739.8,154519
13,14,14,Tiger Woods,64,54.1,44840.3,82889
14,15,15,Anthony Kim,76,54.05,54746.3,101290
15,16,16,Harrison Frazar,93,54.02,74075.3,137128
16,17,17,Troy Matteson,95,53.91,81253.7,150717
17,18,18,Daniel Chopra,89,53.82,78923.7,146656
18,19,19,Fred Couples,54,53.71,36472.6,67902
19,20,20,Adam Scott,53,53.69,38335.2,71399
20,21,21,Camilo Villegas,76,53.66,56120.3,104576
21,22,22,Scott Piercy,85,53.61,74657.1,139259
22,23,23,Hunter Mahan,94,53.57,65993.6,123180
23,24,24,Charles Warren,63,53.56,52209.2,97471
24,25,25,Marc Leishman,91,53.48,73221.8,136920
25,26,26,Stewart Cink,79,53.47,49817.0,93172
26,T27,T27,Sergio Garcia,59,53.37,38149.4,71479
27,T27,T27,John Merrick,91,53.37,60482.7,113335
28,29,29,Lucas Glover,93,53.32,69131.2,129663
29,30,30,Jason Day,61,53.26,47719.9,89601
30,T31,T31,Sean O'Hair,80,53.11,50484.1,95063
31,T31,T31,Kevin Streelman,97,53.11,74305.3,139909
32,33,33,Matt Jones,56,53.05,42981.7,81021
33,34,34,George McNeill,82,53.04,66542.2,125454
34,35,35,Jeff Overton,92,53.01,69071.5,130307
35,T36,T36,Ryan Palmer,78,52.96,65457.6,123592
36,T36,T36,Boo Weekley,79,52.96,55333.5,104475
37,T38,T38,Mathew Goggin,76,52.95,54393.6,102732
38,T38,T38,D.J. Trahan,96,52.95,72405.0,136755
39,T40,T40,Steve Marino,98,52.94,72344.4,136642
40,T40,T40,Nicholas Thompson,96,52.94,81416.1,153802
41,42,42,Bill Haas,91,52.91,75552.0,142786
42,43,43,Jonathan Byrd,89,52.89,77153.1,145868
43,T44,T44,Kenny Perry,92,52.87,64923.0,122787
44,T44,T44,Vijay Singh,71,52.87,43714.4,82677
45,46,46,Michael Letzig,96,52.85,78666.3,148859
46,47,47,Retief Goosen,74,52.8,51634.3,97790
47,48,48,Peter Tomasulo,61,52.77,42678.3,80875
48,49,49,Leif Olson,51,52.76,38234.8,72469
49,50,50,J.J. Henry,97,52.73,70741.9,134151
50,51,51,Matt Bettencourt,98,52.72,79644.1,151071
51,52,52,John Senden,100,52.67,82733.6,157089
52,53,53,Bo Van Pelt,100,52.64,74075.6,140708
53,T54,T54,Ernie Els,70,52.61,48462.0,92112
54,T54,T54,Charles Howell III,99,52.61,74621.3,141844
55,T54,T54,Ryan Moore,89,52.61,68227.8,129687
56,57,57,Tim Herron,87,52.6,68150.0,129573
57,58,58,Ted Purdy,101,52.59,79118.9,150447
