,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,Anthony Kim,76,2.499,289.3,115.792,49,2.8960000000000004
1,T2,T2,Webb Simpson,94,2.495,275.4,110.384,69,2.884
2,T2,T2,Vijay Singh,71,2.495,281.9,112.985,59,2.9189999999999996
3,4,4,Darron Stiles,52,2.492,264.9,106.29,32,2.673
4,5,5,J.B. Holmes,74,2.48,304.4,122.765,47,2.883
5,6,6,Steve Marino,98,2.479,278.6,112.397,79,2.722
6,T7,T7,Harrison Frazar,93,2.474,285.1,115.26299999999999,65,2.78
7,T7,T7,Mark Wilson,99,2.474,264.5,106.93299999999999,74,2.736
8,T9,T9,Robert Garrigus,83,2.4730000000000003,297.8,120.413,56,2.822
9,T9,T9,Ryan Palmer,78,2.4730000000000003,279.6,113.073,62,2.75
10,11,11,Kevin Sutherland,96,2.472,276.4,111.77600000000001,59,2.742
11,12,12,Dustin Johnson,85,2.469,298.9,121.046,56,2.787
12,13,13,Joe Ogilvie,85,2.468,271.0,109.805,64,2.766
13,14,14,Vaughn Taylor,88,2.467,266.6,108.05799999999999,59,2.824
14,15,15,Davis Love III,89,2.4659999999999997,288.7,117.07,64,2.9010000000000002
15,16,16,Andres Romero,58,2.465,290.7,117.934,39,2.843
16,17,17,David Toms,98,2.463,265.2,107.67399999999999,76,2.767
17,18,18,John Mallinger,90,2.4619999999999997,261.7,106.303,71,2.7319999999999998
18,T19,T19,Martin Laird,72,2.461,288.8,117.334,45,2.7739999999999996
19,T19,T19,Marc Leishman,91,2.461,285.7,116.069,67,2.787
20,T21,T21,Jason Day,61,2.459,284.4,115.634,40,2.719
21,T21,T21,Matt Jones,56,2.459,283.4,115.228,35,2.699
22,T21,T21,John Merrick,91,2.459,280.7,114.15,64,2.7119999999999997
23,24,24,Geoff Ogilvy,78,2.457,278.6,113.38600000000001,63,2.752
24,T25,T25,Glen Day,79,2.454,253.9,103.486,50,2.825
25,T25,T25,Kenny Perry,92,2.454,274.2,111.73200000000001,72,2.891
26,T27,T27,Scott Piercy,85,2.4530000000000003,281.9,114.917,56,2.713
27,T27,T27,Matt Weibring,65,2.4530000000000003,268.7,109.507,44,2.728
28,29,29,Aron Price,89,2.452,263.9,107.624,67,2.7539999999999996
29,30,30,Fred Couples,54,2.451,283.3,115.615,38,2.7039999999999997
30,31,31,Brian Davis,103,2.449,262.4,107.162,88,2.7430000000000003
31,32,32,Bo Van Pelt,100,2.448,278.9,113.95100000000001,67,2.734
32,33,33,Jason Gore,74,2.447,272.2,111.221,52,2.718
33,T34,T34,Mathew Goggin,76,2.4459999999999997,277.6,113.495,55,2.759
34,T34,T34,Nicholas Thompson,96,2.4459999999999997,275.9,112.781,73,2.818
35,T34,T34,Peter Tomasulo,61,2.4459999999999997,277.5,113.476,38,2.6460000000000004
36,37,37,Phil Mickelson,66,2.445,293.0,119.822,39,2.7310000000000003
37,T38,T38,Bob Heintz,59,2.444,268.2,109.723,39,2.635
38,T38,T38,Brandt Snedeker,81,2.444,261.4,106.964,61,2.694
39,40,40,Heath Slocum,95,2.44,264.8,108.51299999999999,75,2.81
40,T41,T41,Charley Hoffman,97,2.439,290.2,118.985,71,2.667
41,T41,T41,Parker McLachlin,71,2.439,267.2,109.56299999999999,57,2.853
42,T41,T41,Kevin Stadler,65,2.439,274.4,112.53399999999999,44,2.67
43,44,44,Jeff Maggert,79,2.438,263.8,108.219,70,2.715
44,T45,T45,Matt Bettencourt,98,2.436,275.9,113.265,74,2.69
45,T45,T45,K.J. Choi,65,2.436,264.0,108.374,53,2.73
46,T45,T45,Chris Stroud,88,2.436,274.5,112.678,55,2.889
47,T48,T48,Jason Bohn,88,2.435,266.4,109.39299999999999,77,2.6489999999999996
48,T48,T48,Ernie Els,70,2.435,276.1,113.419,47,2.872
49,T48,T48,Cliff Kresge,78,2.435,261.4,107.325,62,2.6519999999999997
50,T48,T48,Billy Mayfair,83,2.435,263.4,108.18,64,2.608
51,T48,T48,D.A. Points,99,2.435,263.7,108.306,83,2.695
