,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
43,T43,T43,Steve Marino,98,12.19,1048.41,86,8.98,16.77
44,T43,T43,Carl Pettersson,86,12.19,950.85,78,9.15,18.05
45,46,46,Zach Johnson,94,12.18,1120.47,92,8.82,14.93
46,47,47,Bob Heintz,59,12.13,533.51,44,7.85,17.08
47,T48,T48,Andres Romero,58,12.09,616.78,51,1.03,15.78
48,T48,T48,Patrick Sheehan,51,12.09,435.23,36,9.3,17.72
49,50,50,Kent Jones,73,12.05,686.96,57,9.04,14.68
50,51,51,Brian Gay,96,12.03,1095.11,91,9.16,18.31
51,52,52,Chris Stroud,88,11.97,706.09,59,6.53,15.87
52,T53,T53,Paul Goydos,79,11.96,825.44,69,10.04,15.72
53,T53,T53,Marc Leishman,91,11.96,908.99,76,6.64,16.24
54,55,55,J.B. Holmes,74,11.94,632.66,53,7.76,16.64
55,56,56,Rich Beem,77,11.93,644.1,54,9.48,14.9
56,T57,T57,Anthony Kim,76,11.92,739.1,62,8.73,15.43
57,T57,T57,Ted Purdy,101,11.92,977.51,82,6.26,16.34
58,59,59,K.J. Choi,65,11.88,689.03,58,8.95,17.29
59,60,60,Geoff Ogilvy,78,11.86,818.45,69,8.82,16.35
60,61,61,John Merrick,91,11.85,829.35,70,8.81,17.72
61,62,62,Jerry Kelly,90,11.81,933.18,79,8.47,18.23
62,63,63,Robert Garrigus,83,11.79,707.18,60,7.99,15.22
63,T64,T64,Jason Bohn,88,11.78,977.61,83,7.54,16.13
64,T64,T64,D.A. Points,99,11.78,1001.2,85,8.73,16.6
65,66,66,Eric Axley,71,11.75,658.14,56,5.55,16.41
66,67,67,Tim Herron,87,11.73,985.46,84,7.23,16.96
67,68,68,Jason Gore,74,11.7,667.16,57,8.52,19.06
68,69,69,Cameron Beckman,87,11.67,921.72,79,8.41,17.2
69,70,70,Chris DiMarco,97,11.66,991.1,85,7.91,15.35
70,T71,T71,Jason Day,61,11.63,558.35,48,8.76,14.35
71,T71,T71,Jeff Overton,92,11.63,895.19,77,7.46,18.77
72,73,73,Bryce Molder,69,11.59,590.99,51,7.62,15.46
73,74,74,Ben Crane,93,11.58,937.63,81,8.56,15.21
74,75,75,Hunter Mahan,94,11.56,785.94,68,9.16,16.58
75,T76,T76,Mark Calcavecchia,72,11.52,679.56,59,7.96,15.68
76,T76,T76,Peter Tomasulo,61,11.52,495.17,43,7.81,13.95
77,78,78,Rocco Mediate,79,11.51,690.46,60,7.63,16.38
78,79,79,Ben Curtis,63,11.5,506.14,44,8.64,14.97
79,80,80,Brad Faxon,59,11.48,643.02,56,8.84,14.18
80,81,81,Steve Elkington,70,11.45,629.5,55,8.16,14.35
