,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
172,173,173,Scott Sterling,51,166.6,6662.2,40,183.7,132.6
173,174,174,Alex Cejka,82,165.9,11444.0,69,182.4,76.5
174,T175,T175,Tim Clark,81,165.7,10768.3,65,178.5,142.7
175,T175,T175,Chez Reavie,81,165.7,12097.9,73,179.9,138.4
176,177,177,Bart Bryant,58,164.6,9547.3,58,179.7,144.5
177,178,178,Glen Day,79,163.5,9319.5,57,176.0,142.2
178,179,179,Nick O'Hern,90,160.2,13939.4,87,176.6,133.9
179,180,180,Greg Kraft,51,160.1,6402.5,40,176.5,145.1
180,T181,T181,Mark Brooks,55,156.0,5616.4,36,193.9,118.1
181,T181,T181,Brian Gay,96,156.0,13883.4,89,169.8,113.7
182,183,183,Brad Faxon,59,155.2,8693.4,56,176.5,109.9
183,184,184,Corey Pavin,73,155.0,8062.1,52,169.7,116.4
